time,enrolled,available,waitlisted,total
2022-05-18T04:33:55,0,14,0,14
2022-05-18T04:44:28,0,14,0,14
2022-05-18T04:54:38,0,14,0,14
2022-05-18T05:04:49,0,14,0,14
2022-05-18T05:14:59,0,14,0,14
2022-05-18T05:25:10,0,14,0,14
2022-05-18T05:35:21,0,14,0,14
2022-05-18T05:45:30,0,14,0,14
2022-05-18T05:55:40,0,14,0,14
2022-05-18T06:05:54,0,14,0,14
2022-05-18T06:16:02,0,14,0,14
2022-05-18T06:26:10,0,14,0,14
2022-05-18T06:36:19,0,14,0,14
2022-05-18T06:46:26,0,14,0,14
2022-05-18T06:56:34,0,14,0,14
2022-05-18T07:06:42,0,14,0,14
2022-05-18T07:16:51,0,14,0,14
2022-05-18T07:26:58,0,14,0,14
2022-05-18T07:37:06,0,14,0,14
2022-05-18T07:47:14,0,14,0,14
2022-05-18T07:57:22,0,14,0,14
2022-05-18T08:07:30,0,14,0,14
2022-05-18T08:17:38,0,14,0,14
2022-05-18T08:27:47,0,14,0,14
2022-05-18T08:37:56,0,14,0,14
2022-05-18T08:48:05,0,14,0,14
2022-05-18T08:58:14,0,14,0,14
2022-05-18T09:08:36,0,14,0,14
2022-05-18T09:18:44,0,14,0,14
2022-05-18T09:28:53,0,14,0,14
2022-05-18T09:39:02,0,14,0,14
2022-05-18T09:49:11,0,14,0,14
2022-05-18T09:59:22,0,14,0,14
2022-05-18T10:09:34,0,14,0,14
2022-05-18T10:19:45,0,14,0,14
2022-05-18T10:29:56,0,14,0,14
2022-05-18T10:40:18,0,14,0,14
2022-05-18T10:50:28,0,14,0,14
2022-05-18T11:00:38,0,14,0,14
2022-05-18T11:10:48,0,14,0,14
2022-05-18T11:20:58,0,14,0,14
2022-05-18T11:31:07,0,14,0,14
2022-05-18T11:41:15,0,14,0,14
2022-05-18T11:51:24,0,14,0,14
2022-05-18T12:01:43,0,14,0,14
2022-05-18T12:11:52,0,14,0,14
2022-05-18T12:22:00,0,14,0,14
2022-05-18T12:32:11,0,14,0,14
2022-05-18T12:42:21,0,14,0,14
2022-05-18T12:52:31,0,14,0,14
2022-05-18T13:02:41,0,14,0,14
2022-05-18T13:13:02,0,14,0,14
2022-05-18T13:23:12,0,14,0,14
2022-05-18T13:33:22,0,14,0,14
2022-05-18T13:43:33,0,14,0,14
2022-05-18T13:53:45,0,14,0,14
2022-05-18T14:03:55,0,14,0,14
2022-05-18T14:14:05,0,14,0,14
2022-05-18T14:24:16,0,14,0,14
2022-05-18T14:34:37,0,14,0,14
2022-05-18T14:44:48,0,14,0,14
2022-05-18T14:54:58,0,14,0,14
2022-05-18T15:05:09,0,14,0,14
2022-05-18T15:15:21,0,14,0,14
2022-05-18T15:25:31,0,14,0,14
2022-05-18T15:35:53,0,14,0,14
2022-05-18T15:46:03,0,14,0,14
2022-05-18T15:56:14,0,14,0,14
2022-05-18T16:06:25,0,14,0,14
2022-05-18T16:16:36,0,14,0,14
2022-05-18T16:26:46,0,14,0,14
2022-05-18T16:36:56,0,14,0,14
2022-05-18T16:47:06,0,14,0,14
2022-05-18T16:57:16,0,14,0,14
2022-05-18T17:07:36,0,14,0,14
