time,enrolled,available,waitlisted,total
2022-05-20T04:30:54,0,14,0,14
2022-05-20T04:41:10,0,14,0,14
2022-05-20T04:51:27,0,14,0,14
2022-05-20T05:01:44,0,14,0,14
2022-05-20T05:11:59,0,14,0,14
2022-05-20T05:22:14,0,14,0,14
2022-05-20T05:32:30,0,14,0,14
2022-05-20T05:42:46,0,14,0,14
2022-05-20T05:53:01,0,14,0,14
2022-05-20T06:03:17,0,14,0,14
2022-05-20T06:13:32,0,14,0,14
2022-05-20T06:23:48,0,14,0,14
2022-05-20T06:34:03,0,14,0,14
2022-05-20T06:44:17,0,14,0,14
2022-05-20T06:54:30,0,14,0,14
2022-05-20T07:04:47,0,14,0,14
2022-05-20T07:15:00,0,14,0,14
2022-05-20T07:25:14,0,14,0,14
2022-05-20T07:35:27,0,14,0,14
2022-05-20T07:45:42,0,14,0,14
2022-05-20T07:55:56,0,14,0,14
2022-05-20T08:06:10,0,14,0,14
2022-05-20T08:16:24,0,14,0,14
2022-05-20T08:26:40,0,14,0,14
2022-05-20T08:36:55,0,14,0,14
2022-05-20T08:47:09,0,14,0,14
2022-05-20T08:57:24,0,14,0,14
2022-05-20T09:07:40,0,14,0,14
2022-05-20T09:18:07,0,14,0,14
2022-05-20T09:28:23,0,14,0,14
2022-05-20T09:38:39,0,14,0,14
2022-05-20T09:48:55,0,14,0,14
2022-05-20T09:59:11,0,14,0,14
2022-05-20T10:09:28,0,14,0,14
2022-05-20T10:19:43,0,14,0,14
2022-05-20T10:29:59,0,14,0,14
2022-05-20T10:40:15,0,14,0,14
2022-05-20T10:50:43,0,14,0,14
2022-05-20T11:01:00,0,14,0,14
2022-05-20T11:11:16,0,14,0,14
2022-05-20T11:21:33,0,14,0,14
2022-05-20T11:31:48,0,14,0,14
2022-05-20T11:42:04,1,13,0,14
2022-05-20T11:52:34,1,13,0,14
2022-05-20T12:02:50,1,13,0,14
2022-05-20T12:13:05,1,13,0,14
2022-05-20T12:23:21,1,13,0,14
2022-05-20T12:33:36,1,13,0,14
2022-05-20T12:43:51,1,13,0,14
2022-05-20T12:54:07,1,13,0,14
2022-05-20T13:04:34,1,13,0,14
2022-05-20T13:14:50,1,13,0,14
2022-05-20T13:25:06,1,13,0,14
2022-05-20T13:35:23,1,13,0,14
2022-05-20T13:45:40,1,13,0,14
2022-05-20T13:55:55,1,13,0,14
2022-05-20T14:06:22,1,13,0,14
2022-05-20T14:16:37,1,13,0,14
2022-05-20T14:26:52,1,13,0,14
2022-05-20T14:37:08,1,13,0,14
2022-05-20T14:47:24,1,13,0,14
2022-05-20T14:57:39,1,13,0,14
2022-05-20T15:08:05,1,13,0,14
2022-05-20T15:18:20,1,13,0,14
2022-05-20T15:28:36,1,13,0,14
2022-05-20T15:38:51,1,13,0,14
2022-05-20T15:49:06,1,13,0,14
2022-05-20T15:59:21,1,13,0,14
2022-05-20T16:09:36,1,13,0,14
2022-05-20T16:20:01,1,13,0,14
2022-05-20T16:30:16,1,13,0,14
2022-05-20T16:40:30,1,13,0,14
2022-05-20T16:50:44,1,13,0,14
2022-05-20T17:00:59,1,13,0,14
2022-05-20T17:11:13,1,13,0,14
2022-05-20T17:21:27,1,13,0,14
2022-05-20T17:31:41,1,13,0,14
2022-05-20T17:41:55,1,13,0,14
2022-05-20T17:52:09,1,13,0,14
2022-05-20T18:02:23,1,13,0,14
2022-05-20T18:12:46,1,13,0,14
2022-05-20T18:23:00,1,13,0,14
2022-05-20T18:33:13,1,13,0,14
2022-05-20T18:43:26,1,13,0,14
2022-05-20T18:53:40,1,13,0,14
2022-05-20T19:03:54,1,13,0,14
2022-05-20T19:14:08,1,13,0,14
2022-05-20T19:24:22,1,13,0,14
2022-05-20T19:34:36,1,13,0,14
2022-05-20T19:44:50,1,13,0,14
2022-05-20T19:55:03,1,13,0,14
2022-05-20T20:05:27,1,13,0,14
2022-05-20T20:15:41,1,13,0,14
2022-05-20T20:25:54,1,13,0,14
2022-05-20T20:36:08,1,13,0,14
2022-05-20T20:46:21,1,13,0,14
2022-05-20T20:56:35,1,13,0,14
2022-05-20T21:06:48,1,13,0,14
2022-05-20T21:17:02,1,13,0,14
2022-05-20T21:27:27,1,13,0,14
2022-05-20T21:37:40,1,13,0,14
2022-05-20T21:47:53,1,13,0,14
2022-05-20T21:58:08,1,13,0,14
2022-05-20T22:08:22,1,13,0,14
2022-05-20T22:18:36,1,13,0,14
2022-05-20T22:28:50,1,13,0,14
2022-05-20T22:39:04,1,13,0,14
2022-05-20T22:49:17,1,13,0,14
2022-05-20T22:59:30,1,13,0,14
2022-05-20T23:09:45,1,13,0,14
2022-05-20T23:20:09,1,13,0,14
2022-05-20T23:30:23,1,13,0,14
2022-05-20T23:40:37,1,13,0,14
2022-05-20T23:50:50,1,13,0,14
2022-05-21T00:01:04,1,13,0,14
2022-05-21T00:11:19,1,13,0,14
2022-05-21T00:21:36,1,13,0,14
2022-05-21T00:31:52,1,13,0,14
2022-05-21T00:42:08,1,13,0,14
2022-05-21T00:52:24,1,13,0,14
2022-05-21T01:02:39,1,13,0,14
2022-05-21T01:12:54,1,13,0,14
2022-05-21T01:23:09,1,13,0,14
2022-05-21T01:33:24,1,13,0,14
2022-05-21T01:43:39,1,13,0,14
2022-05-21T01:53:54,1,13,0,14
2022-05-21T02:04:18,1,13,0,14
2022-05-21T02:14:32,1,13,0,14
2022-05-21T02:24:45,1,13,0,14
2022-05-21T02:34:58,1,13,0,14
2022-05-21T02:45:12,1,13,0,14
2022-05-21T02:55:24,1,13,0,14
2022-05-21T03:05:37,1,13,0,14
2022-05-21T03:15:52,1,13,0,14
2022-05-21T03:26:11,1,13,0,14
2022-05-21T03:36:26,1,13,0,14
2022-05-21T03:46:42,1,13,0,14
2022-05-21T03:56:57,1,13,0,14
2022-05-21T04:07:13,1,13,0,14
2022-05-21T04:22:33,1,13,0,14
2022-05-21T04:33:58,1,13,0,14
2022-05-21T04:44:30,1,13,0,14
2022-05-21T04:54:46,1,13,0,14
2022-05-21T05:05:01,1,13,0,14
2022-05-21T05:15:17,1,13,0,14
2022-05-21T05:25:33,1,13,0,14
2022-05-21T05:35:49,1,13,0,14
2022-05-21T05:46:05,1,13,0,14
2022-05-21T05:56:21,1,13,0,14
2022-05-21T06:06:36,1,13,0,14
2022-05-21T06:16:51,1,13,0,14
2022-05-21T06:27:07,1,13,0,14
2022-05-21T06:37:23,1,13,0,14
2022-05-21T06:47:38,1,13,0,14
2022-05-21T06:57:54,1,13,0,14
2022-05-21T07:08:09,1,13,0,14
2022-05-21T07:18:25,1,13,0,14
2022-05-21T07:28:40,1,13,0,14
2022-05-21T07:38:55,1,13,0,14
2022-05-21T07:49:09,1,13,0,14
2022-05-21T07:59:24,1,13,0,14
2022-05-21T08:09:38,1,13,0,14
2022-05-21T08:19:55,1,13,0,14
2022-05-21T08:30:10,1,13,0,14
2022-05-21T08:40:24,1,13,0,14
2022-05-21T08:51:01,1,13,0,14
2022-05-21T09:01:15,1,13,0,14
2022-05-21T09:11:28,1,13,0,14
2022-05-21T09:21:41,1,13,0,14
2022-05-21T09:31:54,1,13,0,14
2022-05-21T09:42:07,1,13,0,14
2022-05-21T09:52:20,1,13,0,14
2022-05-21T10:02:34,1,13,0,14
2022-05-21T10:12:47,1,13,0,14
2022-05-21T10:23:00,1,13,0,14
2022-05-21T10:33:13,1,13,0,14
2022-05-21T10:43:26,1,13,0,14
2022-05-21T10:53:40,1,13,0,14
2022-05-21T11:03:53,1,13,0,14
2022-05-21T11:14:18,1,13,0,14
2022-05-21T11:24:31,1,13,0,14
2022-05-21T11:34:45,1,13,0,14
2022-05-21T11:44:59,1,13,0,14
2022-05-21T11:55:12,1,13,0,14
2022-05-21T12:05:26,1,13,0,14
2022-05-21T12:15:41,1,13,0,14
2022-05-21T12:25:54,1,13,0,14
2022-05-21T12:36:27,1,13,0,14
2022-05-21T12:46:41,1,13,0,14
2022-05-21T12:56:54,1,13,0,14
2022-05-21T13:07:08,1,13,0,14
2022-05-21T13:17:21,1,13,0,14
2022-05-21T13:27:35,1,13,0,14
2022-05-21T13:37:48,1,13,0,14
2022-05-21T13:48:01,1,13,0,14
2022-05-21T13:58:15,1,13,0,14
2022-05-21T14:08:28,1,13,0,14
2022-05-21T14:18:52,1,13,0,14
2022-05-21T14:29:05,1,13,0,14
2022-05-21T14:39:19,1,13,0,14
2022-05-21T14:49:33,1,13,0,14
2022-05-21T14:59:48,1,13,0,14
2022-05-21T15:10:01,1,13,0,14
2022-05-21T15:20:15,1,13,0,14
2022-05-21T15:30:38,1,13,0,14
2022-05-21T15:40:52,1,13,0,14
2022-05-21T15:51:06,1,13,0,14
2022-05-21T16:01:19,1,13,0,14
2022-05-21T16:11:33,1,13,0,14
2022-05-21T16:21:46,1,13,0,14
2022-05-21T16:31:59,1,13,0,14
2022-05-21T16:42:13,1,13,0,14
2022-05-21T16:52:27,1,13,0,14
2022-05-21T17:02:58,1,13,0,14
2022-05-21T17:13:12,1,13,0,14
2022-05-21T17:23:26,1,13,0,14
2022-05-21T17:33:40,1,13,0,14
2022-05-21T17:43:53,1,13,0,14
2022-05-21T17:54:06,1,13,0,14
2022-05-21T18:04:20,1,13,0,14
2022-05-21T18:14:33,1,13,0,14
2022-05-21T18:24:47,1,13,0,14
2022-05-21T18:35:01,1,13,0,14
2022-05-21T18:45:14,1,13,0,14
2022-05-21T18:55:55,1,13,0,14
2022-05-21T19:06:08,1,13,0,14
2022-05-21T19:16:22,1,13,0,14
2022-05-21T19:26:35,1,13,0,14
2022-05-21T19:36:48,1,13,0,14
2022-05-21T19:47:03,1,13,0,14
2022-05-21T19:57:18,1,13,0,14
2022-05-21T20:07:32,1,13,0,14
2022-05-21T20:17:45,1,13,0,14
2022-05-21T20:27:59,1,13,0,14
2022-05-21T20:38:24,1,13,0,14
2022-05-21T20:48:38,2,12,0,14
2022-05-21T20:58:51,2,12,0,14
2022-05-21T21:09:05,2,12,0,14
2022-05-21T21:19:18,2,12,0,14
2022-05-21T21:29:31,2,12,0,14
2022-05-21T21:39:45,2,12,0,14
2022-05-21T21:49:58,2,12,0,14
2022-05-21T22:00:11,2,12,0,14
2022-05-21T22:10:25,2,12,0,14
2022-05-21T22:21:01,2,12,0,14
2022-05-21T22:31:14,2,12,0,14
2022-05-21T22:41:27,2,12,0,14
2022-05-21T22:51:40,2,12,0,14
2022-05-21T23:01:53,2,12,0,14
2022-05-21T23:12:07,2,12,0,14
2022-05-21T23:22:21,2,12,0,14
2022-05-21T23:32:34,2,12,0,14
2022-05-21T23:42:46,2,12,0,14
2022-05-21T23:53:00,2,12,0,14
2022-05-22T00:03:13,2,12,0,14
2022-05-22T00:13:28,2,12,0,14
2022-05-22T00:23:43,2,12,0,14
2022-05-22T00:34:09,2,12,0,14
2022-05-22T00:44:22,2,12,0,14
2022-05-22T00:54:35,2,12,0,14
