time,enrolled,available,waitlisted,total
2022-05-20T04:31:10,0,28,0,28
2022-05-20T04:41:27,0,28,0,28
2022-05-20T04:51:44,0,28,0,28
2022-05-20T05:02:00,0,28,0,28
2022-05-20T05:12:16,0,28,0,28
2022-05-20T05:22:31,0,28,0,28
2022-05-20T05:32:47,0,28,0,28
2022-05-20T05:43:02,0,28,0,28
2022-05-20T05:53:18,0,28,0,28
2022-05-20T06:03:34,0,28,0,28
2022-05-20T06:13:48,0,28,0,28
2022-05-20T06:24:04,0,28,0,28
2022-05-20T06:34:19,0,28,0,28
2022-05-20T06:44:33,0,28,0,28
2022-05-20T06:54:46,0,28,0,28
2022-05-20T07:05:03,0,28,0,28
2022-05-20T07:15:17,0,28,0,28
2022-05-20T07:25:30,0,28,0,28
2022-05-20T07:35:44,0,28,0,28
2022-05-20T07:45:58,0,28,0,28
2022-05-20T07:56:12,0,28,0,28
2022-05-20T08:06:26,0,28,0,28
2022-05-20T08:16:41,0,28,0,28
2022-05-20T08:26:56,0,28,0,28
2022-05-20T08:37:11,0,28,0,28
2022-05-20T08:47:26,0,28,0,28
2022-05-20T08:57:40,0,28,0,28
2022-05-20T09:08:08,0,28,0,28
2022-05-20T09:18:24,0,28,0,28
2022-05-20T09:28:40,0,28,0,28
2022-05-20T09:38:55,0,28,0,28
2022-05-20T09:49:11,0,28,0,28
2022-05-20T09:59:27,0,28,0,28
2022-05-20T10:09:44,0,28,0,28
2022-05-20T10:20:00,0,28,0,28
2022-05-20T10:30:16,0,28,0,28
2022-05-20T10:40:31,0,28,0,28
2022-05-20T10:51:00,0,28,0,28
2022-05-20T11:01:16,0,28,0,28
2022-05-20T11:11:33,1,27,0,28
2022-05-20T11:21:49,1,27,0,28
2022-05-20T11:32:05,1,27,0,28
2022-05-20T11:42:21,1,27,0,28
2022-05-20T11:52:50,2,26,0,28
2022-05-20T12:03:06,2,26,0,28
2022-05-20T12:13:22,2,26,0,28
2022-05-20T12:23:37,2,26,0,28
2022-05-20T12:33:52,2,26,0,28
2022-05-20T12:44:07,2,26,0,28
2022-05-20T12:54:23,2,26,0,28
2022-05-20T13:04:50,2,26,0,28
2022-05-20T13:15:07,2,26,0,28
2022-05-20T13:25:23,2,26,0,28
2022-05-20T13:35:40,2,26,0,28
2022-05-20T13:45:56,2,26,0,28
2022-05-20T13:56:11,2,26,0,28
2022-05-20T14:06:38,2,26,0,28
2022-05-20T14:16:53,2,26,0,28
2022-05-20T14:27:09,2,26,0,28
2022-05-20T14:37:25,2,26,0,28
2022-05-20T14:47:40,2,26,0,28
2022-05-20T14:57:55,2,26,0,28
2022-05-20T15:08:21,2,26,0,28
2022-05-20T15:18:37,2,26,0,28
2022-05-20T15:28:52,2,26,0,28
2022-05-20T15:39:07,2,26,0,28
2022-05-20T15:49:22,2,26,0,28
2022-05-20T15:59:37,2,26,0,28
2022-05-20T16:09:52,2,26,0,28
2022-05-20T16:20:18,2,26,0,28
2022-05-20T16:30:32,2,26,0,28
2022-05-20T16:40:47,2,26,0,28
2022-05-20T16:51:01,2,26,0,28
2022-05-20T17:01:15,2,26,0,28
2022-05-20T17:11:30,2,26,0,28
2022-05-20T17:21:43,2,26,0,28
2022-05-20T17:31:57,2,26,0,28
2022-05-20T17:42:12,2,26,0,28
2022-05-20T17:52:26,2,26,0,28
2022-05-20T18:02:40,2,26,0,28
2022-05-20T18:13:03,2,26,0,28
2022-05-20T18:23:16,2,26,0,28
2022-05-20T18:33:29,2,26,0,28
2022-05-20T18:43:43,2,26,0,28
2022-05-20T18:53:56,2,26,0,28
2022-05-20T19:04:10,2,26,0,28
2022-05-20T19:14:24,2,26,0,28
2022-05-20T19:24:38,2,26,0,28
2022-05-20T19:34:52,2,26,0,28
2022-05-20T19:45:06,2,26,0,28
2022-05-20T19:55:20,2,26,0,28
2022-05-20T20:05:44,2,26,0,28
2022-05-20T20:15:57,2,26,0,28
2022-05-20T20:26:11,2,26,0,28
2022-05-20T20:36:24,2,26,0,28
2022-05-20T20:46:38,2,26,0,28
2022-05-20T20:56:51,2,26,0,28
2022-05-20T21:07:05,2,26,0,28
2022-05-20T21:17:18,2,26,0,28
2022-05-20T21:27:43,2,26,0,28
2022-05-20T21:37:56,2,26,0,28
2022-05-20T21:48:10,2,26,0,28
2022-05-20T21:58:24,2,26,0,28
2022-05-20T22:08:38,2,26,0,28
2022-05-20T22:18:52,2,26,0,28
2022-05-20T22:29:07,2,26,0,28
2022-05-20T22:39:20,2,26,0,28
2022-05-20T22:49:33,2,26,0,28
2022-05-20T22:59:47,2,26,0,28
2022-05-20T23:10:01,2,26,0,28
2022-05-20T23:20:26,2,26,0,28
2022-05-20T23:30:39,2,26,0,28
2022-05-20T23:40:53,2,26,0,28
2022-05-20T23:51:06,2,26,0,28
2022-05-21T00:01:20,2,26,0,28
2022-05-21T00:11:36,2,26,0,28
2022-05-21T00:21:52,2,26,0,28
2022-05-21T00:32:08,2,26,0,28
2022-05-21T00:42:24,2,26,0,28
2022-05-21T00:52:40,2,26,0,28
