time,enrolled,available,waitlisted,total
2022-05-20T04:31:11,0,28,0,28
2022-05-20T04:41:28,0,28,0,28
2022-05-20T04:51:45,0,28,0,28
2022-05-20T05:02:01,0,28,0,28
2022-05-20T05:12:17,0,28,0,28
2022-05-20T05:22:32,0,28,0,28
2022-05-20T05:32:48,0,28,0,28
2022-05-20T05:43:03,0,28,0,28
2022-05-20T05:53:19,0,28,0,28
2022-05-20T06:03:35,0,28,0,28
2022-05-20T06:13:49,0,28,0,28
2022-05-20T06:24:05,0,28,0,28
2022-05-20T06:34:20,0,28,0,28
2022-05-20T06:44:34,0,28,0,28
2022-05-20T06:54:47,0,28,0,28
2022-05-20T07:05:04,0,28,0,28
2022-05-20T07:15:18,0,28,0,28
2022-05-20T07:25:31,0,28,0,28
2022-05-20T07:35:45,0,28,0,28
2022-05-20T07:45:59,0,28,0,28
2022-05-20T07:56:13,0,28,0,28
2022-05-20T08:06:27,0,28,0,28
2022-05-20T08:16:42,0,28,0,28
2022-05-20T08:26:57,0,28,0,28
2022-05-20T08:37:12,0,28,0,28
2022-05-20T08:47:27,0,28,0,28
2022-05-20T08:57:41,0,28,0,28
2022-05-20T09:08:09,0,28,0,28
2022-05-20T09:18:25,0,28,0,28
2022-05-20T09:28:41,0,28,0,28
2022-05-20T09:38:56,0,28,0,28
2022-05-20T09:49:12,0,28,0,28
2022-05-20T09:59:28,0,28,0,28
2022-05-20T10:09:45,0,28,0,28
2022-05-20T10:20:01,0,28,0,28
2022-05-20T10:30:17,0,28,0,28
2022-05-20T10:40:32,0,28,0,28
2022-05-20T10:51:01,0,28,0,28
2022-05-20T11:01:17,0,28,0,28
2022-05-20T11:11:34,0,28,0,28
2022-05-20T11:21:50,0,28,0,28
2022-05-20T11:32:06,0,28,0,28
2022-05-20T11:42:22,0,28,0,28
2022-05-20T11:52:51,0,28,0,28
2022-05-20T12:03:08,0,28,0,28
2022-05-20T12:13:23,0,28,0,28
2022-05-20T12:23:38,0,28,0,28
2022-05-20T12:33:53,0,28,0,28
2022-05-20T12:44:09,0,28,0,28
2022-05-20T12:54:24,0,28,0,28
2022-05-20T13:04:51,0,28,0,28
2022-05-20T13:15:08,0,28,0,28
2022-05-20T13:25:24,0,28,0,28
2022-05-20T13:35:41,0,28,0,28
2022-05-20T13:45:57,0,28,0,28
2022-05-20T13:56:13,0,28,0,28
2022-05-20T14:06:39,0,28,0,28
2022-05-20T14:16:54,0,28,0,28
2022-05-20T14:27:10,0,28,0,28
2022-05-20T14:37:26,0,28,0,28
2022-05-20T14:47:41,0,28,0,28
2022-05-20T14:57:56,0,28,0,28
2022-05-20T15:08:22,0,28,0,28
2022-05-20T15:18:38,0,28,0,28
2022-05-20T15:28:53,0,28,0,28
2022-05-20T15:39:08,0,28,0,28
2022-05-20T15:49:23,0,28,0,28
2022-05-20T15:59:38,0,28,0,28
2022-05-20T16:09:53,0,28,0,28
2022-05-20T16:20:19,0,28,0,28
2022-05-20T16:30:33,0,28,0,28
2022-05-20T16:40:48,0,28,0,28
2022-05-20T16:51:02,0,28,0,28
2022-05-20T17:01:16,0,28,0,28
2022-05-20T17:11:31,0,28,0,28
2022-05-20T17:21:44,0,28,0,28
2022-05-20T17:31:58,0,28,0,28
2022-05-20T17:42:13,0,28,0,28
2022-05-20T17:52:27,0,28,0,28
2022-05-20T18:02:41,0,28,0,28
2022-05-20T18:13:04,0,28,0,28
2022-05-20T18:23:17,0,28,0,28
2022-05-20T18:33:31,0,28,0,28
2022-05-20T18:43:44,0,28,0,28
2022-05-20T18:53:57,0,28,0,28
2022-05-20T19:04:11,0,28,0,28
2022-05-20T19:14:25,0,28,0,28
2022-05-20T19:24:39,0,28,0,28
2022-05-20T19:34:53,0,28,0,28
2022-05-20T19:45:07,0,28,0,28
