time,enrolled,available,waitlisted,total
2022-05-20T04:31:11,0,14,0,14
2022-05-20T04:41:27,0,14,0,14
2022-05-20T04:51:44,0,14,0,14
2022-05-20T05:02:00,0,14,0,14
2022-05-20T05:12:16,0,14,0,14
2022-05-20T05:22:31,0,14,0,14
2022-05-20T05:32:47,0,14,0,14
2022-05-20T05:43:03,0,14,0,14
2022-05-20T05:53:18,0,14,0,14
2022-05-20T06:03:34,0,14,0,14
2022-05-20T06:13:49,0,14,0,14
2022-05-20T06:24:05,0,14,0,14
2022-05-20T06:34:19,0,14,0,14
2022-05-20T06:44:34,0,14,0,14
2022-05-20T06:54:47,0,14,0,14
2022-05-20T07:05:04,0,14,0,14
2022-05-20T07:15:17,0,14,0,14
2022-05-20T07:25:31,0,14,0,14
2022-05-20T07:35:44,0,14,0,14
2022-05-20T07:45:59,0,14,0,14
2022-05-20T07:56:13,0,14,0,14
2022-05-20T08:06:27,0,14,0,14
2022-05-20T08:16:41,0,14,0,14
2022-05-20T08:26:57,0,14,0,14
2022-05-20T08:37:12,0,14,0,14
2022-05-20T08:47:26,0,14,0,14
2022-05-20T08:57:41,0,14,0,14
2022-05-20T09:08:08,0,14,0,14
2022-05-20T09:18:24,0,14,0,14
2022-05-20T09:28:40,0,14,0,14
2022-05-20T09:38:56,0,14,0,14
2022-05-20T09:49:12,0,14,0,14
2022-05-20T09:59:28,0,14,0,14
2022-05-20T10:09:45,0,14,0,14
2022-05-20T10:20:00,0,14,0,14
2022-05-20T10:30:16,0,14,0,14
2022-05-20T10:40:32,0,14,0,14
2022-05-20T10:51:00,0,14,0,14
2022-05-20T11:01:17,0,14,0,14
2022-05-20T11:11:33,0,14,0,14
2022-05-20T11:21:50,0,14,0,14
2022-05-20T11:32:05,0,14,0,14
2022-05-20T11:42:21,0,14,0,14
2022-05-20T11:52:51,0,14,0,14
2022-05-20T12:03:07,0,14,0,14
2022-05-20T12:13:22,0,14,0,14
2022-05-20T12:23:38,0,14,0,14
2022-05-20T12:33:52,0,14,0,14
2022-05-20T12:44:08,0,14,0,14
2022-05-20T12:54:24,0,14,0,14
2022-05-20T13:04:51,0,14,0,14
2022-05-20T13:15:07,0,14,0,14
2022-05-20T13:25:23,0,14,0,14
2022-05-20T13:35:40,0,14,0,14
2022-05-20T13:45:56,0,14,0,14
2022-05-20T13:56:12,0,14,0,14
2022-05-20T14:06:39,0,14,0,14
2022-05-20T14:16:54,0,14,0,14
2022-05-20T14:27:09,0,14,0,14
2022-05-20T14:37:25,0,14,0,14
2022-05-20T14:47:41,0,14,0,14
2022-05-20T14:57:56,0,14,0,14
2022-05-20T15:08:22,0,14,0,14
2022-05-20T15:18:37,0,14,0,14
2022-05-20T15:28:53,0,14,0,14
2022-05-20T15:39:08,0,14,0,14
2022-05-20T15:49:23,0,14,0,14
2022-05-20T15:59:38,0,14,0,14
2022-05-20T16:09:53,0,14,0,14
2022-05-20T16:20:18,0,14,0,14
2022-05-20T16:30:33,0,14,0,14
2022-05-20T16:40:47,0,14,0,14
2022-05-20T16:51:01,0,14,0,14
2022-05-20T17:01:16,0,14,0,14
2022-05-20T17:11:30,0,14,0,14
2022-05-20T17:21:44,0,14,0,14
2022-05-20T17:31:58,0,14,0,14
2022-05-20T17:42:12,0,14,0,14
2022-05-20T17:52:26,0,14,0,14
2022-05-20T18:02:40,0,14,0,14
2022-05-20T18:13:03,0,14,0,14
2022-05-20T18:23:17,0,14,0,14
2022-05-20T18:33:30,0,14,0,14
2022-05-20T18:43:43,0,14,0,14
2022-05-20T18:53:57,0,14,0,14
2022-05-20T19:04:11,0,14,0,14
2022-05-20T19:14:25,0,14,0,14
2022-05-20T19:24:39,0,14,0,14
2022-05-20T19:34:52,0,14,0,14
2022-05-20T19:45:07,0,14,0,14
2022-05-20T19:55:20,0,14,0,14
2022-05-20T20:05:44,0,14,0,14
2022-05-20T20:15:58,0,14,0,14
2022-05-20T20:26:11,0,14,0,14
2022-05-20T20:36:25,0,14,0,14
2022-05-20T20:46:38,0,14,0,14
2022-05-20T20:56:52,0,14,0,14
2022-05-20T21:07:05,0,14,0,14
2022-05-20T21:17:19,0,14,0,14
2022-05-20T21:27:43,0,14,0,14
2022-05-20T21:37:57,0,14,0,14
2022-05-20T21:48:10,0,14,0,14
2022-05-20T21:58:25,0,14,0,14
2022-05-20T22:08:39,0,14,0,14
2022-05-20T22:18:53,0,14,0,14
2022-05-20T22:29:07,0,14,0,14
2022-05-20T22:39:20,0,14,0,14
2022-05-20T22:49:34,0,14,0,14
2022-05-20T22:59:47,0,14,0,14
2022-05-20T23:10:02,0,14,0,14
2022-05-20T23:20:26,0,14,0,14
2022-05-20T23:30:40,0,14,0,14
2022-05-20T23:40:54,0,14,0,14
2022-05-20T23:51:07,0,14,0,14
2022-05-21T00:01:21,0,14,0,14
2022-05-21T00:11:36,0,14,0,14
2022-05-21T00:21:53,0,14,0,14
2022-05-21T00:32:08,0,14,0,14
2022-05-21T00:42:25,0,14,0,14
2022-05-21T00:52:41,0,14,0,14
2022-05-21T01:02:56,0,14,0,14
2022-05-21T01:13:11,0,14,0,14
2022-05-21T01:23:26,0,14,0,14
2022-05-21T01:33:41,0,14,0,14
2022-05-21T01:43:56,0,14,0,14
2022-05-21T01:54:11,0,14,0,14
2022-05-21T02:04:35,0,14,0,14
2022-05-21T02:14:49,0,14,0,14
2022-05-21T02:25:02,0,14,0,14
2022-05-21T02:35:15,0,14,0,14
2022-05-21T02:45:28,0,14,0,14
2022-05-21T02:55:41,0,14,0,14
2022-05-21T03:05:54,0,14,0,14
2022-05-21T03:16:09,0,14,0,14
2022-05-21T03:26:28,0,14,0,14
2022-05-21T03:36:43,0,14,0,14
2022-05-21T03:46:59,0,14,0,14
2022-05-21T03:57:14,0,14,0,14
2022-05-21T04:07:30,0,14,0,14
2022-05-21T04:22:50,0,14,0,14
2022-05-21T04:34:15,0,14,0,14
2022-05-21T04:44:47,0,14,0,14
2022-05-21T04:55:03,0,14,0,14
2022-05-21T05:05:18,0,14,0,14
2022-05-21T05:15:34,0,14,0,14
2022-05-21T05:25:50,0,14,0,14
2022-05-21T05:36:06,0,14,0,14
2022-05-21T05:46:22,0,14,0,14
