time,enrolled,available,waitlisted,total
2022-05-20T04:31:35,0,25,0,25
2022-05-20T04:41:51,0,25,0,25
2022-05-20T04:52:08,0,25,0,25
2022-05-20T05:02:24,0,25,0,25
2022-05-20T05:12:40,0,25,0,25
2022-05-20T05:22:55,0,25,0,25
2022-05-20T05:33:11,0,25,0,25
2022-05-20T05:43:26,0,25,0,25
2022-05-20T05:53:42,0,25,0,25
2022-05-20T06:03:58,0,25,0,25
2022-05-20T06:14:12,0,25,0,25
2022-05-20T06:24:29,0,25,0,25
2022-05-20T06:34:43,0,25,0,25
2022-05-20T06:44:57,0,25,0,25
2022-05-20T06:55:11,0,25,0,25
2022-05-20T07:05:27,0,25,0,25
2022-05-20T07:15:41,0,25,0,25
2022-05-20T07:25:55,0,25,0,25
2022-05-20T07:36:08,0,25,0,25
2022-05-20T07:46:23,0,25,0,25
2022-05-20T07:56:37,0,25,0,25
2022-05-20T08:06:51,0,25,0,25
2022-05-20T08:17:05,0,25,0,25
2022-05-20T08:27:21,0,25,0,25
2022-05-20T08:37:35,0,25,0,25
2022-05-20T08:47:50,0,25,0,25
2022-05-20T08:58:05,0,25,0,25
2022-05-20T09:08:32,0,25,0,25
2022-05-20T09:18:48,0,25,0,25
2022-05-20T09:29:04,0,25,0,25
2022-05-20T09:39:20,0,25,0,25
2022-05-20T09:49:36,0,25,0,25
2022-05-20T09:59:52,0,25,0,25
2022-05-20T10:10:08,0,25,0,25
2022-05-20T10:20:24,0,25,0,25
2022-05-20T10:30:40,0,25,0,25
2022-05-20T10:40:56,0,25,0,25
2022-05-20T10:51:24,0,25,0,25
2022-05-20T11:01:41,0,25,0,25
2022-05-20T11:11:57,0,25,0,25
2022-05-20T11:22:13,0,25,0,25
2022-05-20T11:32:29,0,25,0,25
2022-05-20T11:42:45,0,25,0,25
2022-05-20T11:53:15,0,25,0,25
2022-05-20T12:03:31,0,25,0,25
2022-05-20T12:13:46,0,25,0,25
2022-05-20T12:24:01,0,25,0,25
2022-05-20T12:34:16,0,25,0,25
2022-05-20T12:44:32,0,25,0,25
2022-05-20T12:54:48,0,25,0,25
2022-05-20T13:05:15,0,25,0,25
2022-05-20T13:15:31,0,25,0,25
2022-05-20T13:25:47,1,24,0,25
2022-05-20T13:36:04,1,24,0,25
2022-05-20T13:46:20,1,24,0,25
2022-05-20T13:56:36,2,23,0,25
2022-05-20T14:07:02,2,23,0,25
2022-05-20T14:17:18,2,23,0,25
2022-05-20T14:27:33,2,23,0,25
2022-05-20T14:37:49,2,23,0,25
2022-05-20T14:48:05,2,23,0,25
2022-05-20T14:58:20,2,23,0,25
2022-05-20T15:08:46,2,23,0,25
2022-05-20T15:19:01,2,23,0,25
2022-05-20T15:29:17,2,23,0,25
2022-05-20T15:39:31,2,23,0,25
2022-05-20T15:49:47,2,23,0,25
2022-05-20T16:00:01,2,23,0,25
2022-05-20T16:10:16,2,23,0,25
2022-05-20T16:20:42,2,23,0,25
2022-05-20T16:30:57,2,23,0,25
2022-05-20T16:41:11,2,23,0,25
2022-05-20T16:51:25,2,23,0,25
2022-05-20T17:01:40,2,23,0,25
2022-05-20T17:11:54,2,23,0,25
2022-05-20T17:22:08,2,23,0,25
2022-05-20T17:32:22,2,23,0,25
2022-05-20T17:42:36,2,23,0,25
2022-05-20T17:52:50,2,23,0,25
2022-05-20T18:03:04,2,23,0,25
2022-05-20T18:13:27,2,23,0,25
2022-05-20T18:23:40,2,23,0,25
2022-05-20T18:33:54,2,23,0,25
2022-05-20T18:44:07,2,23,0,25
2022-05-20T18:54:20,2,23,0,25
2022-05-20T19:04:34,2,23,0,25
2022-05-20T19:14:48,2,23,0,25
2022-05-20T19:25:03,2,23,0,25
2022-05-20T19:35:16,2,23,0,25
2022-05-20T19:45:31,2,23,0,25
2022-05-20T19:55:44,2,23,0,25
2022-05-20T20:06:08,2,23,0,25
2022-05-20T20:16:21,2,23,0,25
2022-05-20T20:26:35,2,23,0,25
2022-05-20T20:36:49,2,23,0,25
2022-05-20T20:47:02,2,23,0,25
2022-05-20T20:57:16,2,23,0,25
2022-05-20T21:07:29,2,23,0,25
2022-05-20T21:17:43,2,23,0,25
2022-05-20T21:28:07,2,23,0,25
2022-05-20T21:38:20,2,23,0,25
2022-05-20T21:48:34,2,23,0,25
2022-05-20T21:58:48,2,23,0,25
2022-05-20T22:09:02,2,23,0,25
2022-05-20T22:19:16,2,23,0,25
2022-05-20T22:29:31,2,23,0,25
2022-05-20T22:39:44,2,23,0,25
2022-05-20T22:49:58,2,23,0,25
2022-05-20T23:00:11,2,23,0,25
2022-05-20T23:10:25,2,23,0,25
2022-05-20T23:20:50,2,23,0,25
2022-05-20T23:31:04,3,22,0,25
2022-05-20T23:41:17,3,22,0,25
2022-05-20T23:51:30,3,22,0,25
2022-05-21T00:01:45,3,22,0,25
2022-05-21T00:12:00,3,22,0,25
2022-05-21T00:22:17,3,22,0,25
2022-05-21T00:32:32,3,22,0,25
2022-05-21T00:42:48,3,22,0,25
2022-05-21T00:53:04,3,22,0,25
2022-05-21T01:03:19,3,22,0,25
2022-05-21T01:13:35,3,22,0,25
2022-05-21T01:23:49,3,22,0,25
2022-05-21T01:34:05,3,22,0,25
2022-05-21T01:44:20,3,22,0,25
2022-05-21T01:54:34,3,22,0,25
2022-05-21T02:04:58,3,22,0,25
2022-05-21T02:15:13,3,22,0,25
2022-05-21T02:25:26,3,22,0,25
2022-05-21T02:35:39,3,22,0,25
