time,enrolled,available,waitlisted,total
2022-05-20T04:31:35,0,25,0,25
2022-05-20T04:41:52,0,25,0,25
2022-05-20T04:52:09,0,25,0,25
2022-05-20T05:02:25,0,25,0,25
2022-05-20T05:12:41,0,25,0,25
2022-05-20T05:22:55,0,25,0,25
2022-05-20T05:33:11,0,25,0,25
2022-05-20T05:43:27,0,25,0,25
2022-05-20T05:53:43,0,25,0,25
2022-05-20T06:03:59,0,25,0,25
2022-05-20T06:14:13,0,25,0,25
2022-05-20T06:24:29,0,25,0,25
2022-05-20T06:34:44,0,25,0,25
2022-05-20T06:44:58,0,25,0,25
2022-05-20T06:55:11,0,25,0,25
2022-05-20T07:05:28,0,25,0,25
2022-05-20T07:15:41,0,25,0,25
2022-05-20T07:25:55,0,25,0,25
2022-05-20T07:36:09,0,25,0,25
2022-05-20T07:46:23,0,25,0,25
2022-05-20T07:56:37,0,25,0,25
2022-05-20T08:06:51,0,25,0,25
2022-05-20T08:17:05,0,25,0,25
2022-05-20T08:27:21,0,25,0,25
2022-05-20T08:37:36,0,25,0,25
2022-05-20T08:47:51,0,25,0,25
2022-05-20T08:58:05,0,25,0,25
2022-05-20T09:08:33,0,25,0,25
2022-05-20T09:18:49,0,25,0,25
2022-05-20T09:29:04,0,25,0,25
2022-05-20T09:39:20,0,25,0,25
2022-05-20T09:49:36,0,25,0,25
2022-05-20T09:59:52,0,25,0,25
2022-05-20T10:10:09,0,25,0,25
2022-05-20T10:20:24,0,25,0,25
2022-05-20T10:30:41,1,24,0,25
2022-05-20T10:40:56,1,24,0,25
2022-05-20T10:51:25,1,24,0,25
2022-05-20T11:01:41,1,24,0,25
2022-05-20T11:11:58,1,24,0,25
2022-05-20T11:22:14,2,23,0,25
2022-05-20T11:32:29,2,23,0,25
2022-05-20T11:42:46,2,23,0,25
2022-05-20T11:53:15,2,23,0,25
2022-05-20T12:03:31,2,23,0,25
2022-05-20T12:13:47,2,23,0,25
2022-05-20T12:24:02,2,23,0,25
2022-05-20T12:34:17,2,23,0,25
2022-05-20T12:44:32,2,23,0,25
2022-05-20T12:54:48,2,23,0,25
2022-05-20T13:05:15,2,23,0,25
2022-05-20T13:15:32,3,22,0,25
2022-05-20T13:25:48,4,21,0,25
2022-05-20T13:36:04,4,21,0,25
2022-05-20T13:46:21,4,21,0,25
2022-05-20T13:56:36,4,21,0,25
2022-05-20T14:07:03,4,21,0,25
2022-05-20T14:17:18,4,21,0,25
2022-05-20T14:27:34,4,21,0,25
2022-05-20T14:37:49,4,21,0,25
2022-05-20T14:48:05,4,21,0,25
2022-05-20T14:58:20,4,21,0,25
2022-05-20T15:08:46,4,21,0,25
2022-05-20T15:19:01,4,21,0,25
2022-05-20T15:29:17,4,21,0,25
2022-05-20T15:39:32,4,21,0,25
2022-05-20T15:49:47,4,21,0,25
2022-05-20T16:00:02,4,21,0,25
2022-05-20T16:10:17,4,21,0,25
2022-05-20T16:20:42,4,21,0,25
2022-05-20T16:30:57,4,21,0,25
2022-05-20T16:41:11,4,21,0,25
2022-05-20T16:51:26,4,21,0,25
2022-05-20T17:01:40,4,21,0,25
2022-05-20T17:11:55,4,21,0,25
2022-05-20T17:22:08,4,21,0,25
2022-05-20T17:32:22,4,21,0,25
2022-05-20T17:42:36,4,21,0,25
2022-05-20T17:52:51,4,21,0,25
2022-05-20T18:03:04,4,21,0,25
2022-05-20T18:13:27,4,21,0,25
2022-05-20T18:23:41,5,20,0,25
2022-05-20T18:33:54,5,20,0,25
2022-05-20T18:44:07,5,20,0,25
2022-05-20T18:54:21,5,20,0,25
2022-05-20T19:04:35,5,20,0,25
2022-05-20T19:14:49,5,20,0,25
2022-05-20T19:25:03,5,20,0,25
2022-05-20T19:35:17,5,20,0,25
2022-05-20T19:45:31,5,20,0,25
2022-05-20T19:55:45,5,20,0,25
2022-05-20T20:06:08,5,20,0,25
2022-05-20T20:16:22,5,20,0,25
2022-05-20T20:26:36,5,20,0,25
2022-05-20T20:36:49,5,20,0,25
2022-05-20T20:47:02,5,20,0,25
2022-05-20T20:57:16,5,20,0,25
2022-05-20T21:07:30,5,20,0,25
2022-05-20T21:17:43,5,20,0,25
2022-05-20T21:28:08,5,20,0,25
2022-05-20T21:38:21,5,20,0,25
2022-05-20T21:48:34,5,20,0,25
2022-05-20T21:58:49,5,20,0,25
2022-05-20T22:09:03,5,20,0,25
2022-05-20T22:19:17,5,20,0,25
2022-05-20T22:29:32,5,20,0,25
2022-05-20T22:39:45,5,20,0,25
2022-05-20T22:49:58,5,20,0,25
2022-05-20T23:00:11,5,20,0,25
2022-05-20T23:10:26,5,20,0,25
2022-05-20T23:20:50,5,20,0,25
2022-05-20T23:31:04,5,20,0,25
2022-05-20T23:41:18,5,20,0,25
2022-05-20T23:51:31,5,20,0,25
2022-05-21T00:01:45,5,20,0,25
2022-05-21T00:12:01,5,20,0,25
2022-05-21T00:22:17,5,20,0,25
2022-05-21T00:32:33,5,20,0,25
2022-05-21T00:42:49,5,20,0,25
2022-05-21T00:53:05,5,20,0,25
2022-05-21T01:03:20,5,20,0,25
2022-05-21T01:13:35,5,20,0,25
2022-05-21T01:23:50,5,20,0,25
2022-05-21T01:34:05,5,20,0,25
2022-05-21T01:44:20,5,20,0,25
2022-05-21T01:54:35,5,20,0,25
2022-05-21T02:04:59,5,20,0,25
2022-05-21T02:15:13,5,20,0,25
2022-05-21T02:25:26,5,20,0,25
2022-05-21T02:35:40,5,20,0,25
2022-05-21T02:45:52,5,20,0,25
2022-05-21T02:56:05,5,20,0,25
2022-05-21T03:06:18,5,20,0,25
2022-05-21T03:16:33,5,20,0,25
2022-05-21T03:26:52,5,20,0,25
2022-05-21T03:37:08,5,20,0,25
2022-05-21T03:47:23,5,20,0,25
2022-05-21T03:57:39,5,20,0,25
2022-05-21T04:07:54,5,20,0,25
2022-05-21T04:23:14,5,20,0,25
2022-05-21T04:34:40,5,20,0,25
2022-05-21T04:45:11,5,20,0,25
2022-05-21T04:55:27,5,20,0,25
2022-05-21T05:05:42,5,20,0,25
2022-05-21T05:15:58,5,20,0,25
2022-05-21T05:26:14,5,20,0,25
2022-05-21T05:36:30,5,20,0,25
2022-05-21T05:46:46,5,20,0,25
2022-05-21T05:57:02,5,20,0,25
2022-05-21T06:07:17,5,20,0,25
2022-05-21T06:17:32,5,20,0,25
2022-05-21T06:27:49,5,20,0,25
