time,enrolled,available,waitlisted,total
2022-05-20T04:31:52,0,110,0,110
2022-05-20T04:42:08,0,110,0,110
2022-05-20T04:52:25,0,110,0,110
2022-05-20T05:02:41,0,110,0,110
2022-05-20T05:12:57,0,110,0,110
2022-05-20T05:23:12,0,110,0,110
2022-05-20T05:33:28,0,110,0,110
2022-05-20T05:43:43,0,110,0,110
2022-05-20T05:53:59,0,110,0,110
2022-05-20T06:04:15,0,110,0,110
2022-05-20T06:14:29,0,110,0,110
2022-05-20T06:24:45,0,110,0,110
2022-05-20T06:35:00,0,110,0,110
2022-05-20T06:45:14,0,110,0,110
2022-05-20T06:55:27,0,110,0,110
2022-05-20T07:05:44,0,110,0,110
2022-05-20T07:15:58,0,110,0,110
2022-05-20T07:26:11,0,110,0,110
2022-05-20T07:36:25,0,110,0,110
2022-05-20T07:46:40,0,110,0,110
2022-05-20T07:56:54,0,110,0,110
2022-05-20T08:07:08,0,110,0,110
2022-05-20T08:17:22,0,110,0,110
2022-05-20T08:27:37,0,110,0,110
2022-05-20T08:37:52,0,110,0,110
2022-05-20T08:48:07,0,110,0,110
2022-05-20T08:58:22,1,109,0,110
2022-05-20T09:08:49,1,109,0,110
2022-05-20T09:19:05,1,109,0,110
2022-05-20T09:29:21,1,109,0,110
2022-05-20T09:39:37,1,109,0,110
2022-05-20T09:49:52,2,108,0,110
2022-05-20T10:00:09,2,108,0,110
2022-05-20T10:10:25,2,108,0,110
2022-05-20T10:20:41,3,107,0,110
2022-05-20T10:30:57,5,105,0,110
2022-05-20T10:41:13,5,105,0,110
2022-05-20T10:51:41,7,103,0,110
2022-05-20T11:01:58,7,103,0,110
2022-05-20T11:12:14,7,103,0,110
2022-05-20T11:22:30,7,103,0,110
2022-05-20T11:32:46,7,103,0,110
2022-05-20T11:43:02,7,103,0,110
2022-05-20T11:53:32,7,103,0,110
2022-05-20T12:03:48,9,101,0,110
2022-05-20T12:14:03,9,101,0,110
2022-05-20T12:24:18,9,101,0,110
2022-05-20T12:34:33,9,101,0,110
2022-05-20T12:44:49,9,101,0,110
2022-05-20T12:55:05,10,100,0,110
2022-05-20T13:05:32,10,100,0,110
2022-05-20T13:15:48,12,98,0,110
2022-05-20T13:26:04,13,97,0,110
2022-05-20T13:36:21,13,97,0,110
2022-05-20T13:46:37,14,96,0,110
2022-05-20T13:56:53,14,96,0,110
2022-05-20T14:07:19,14,96,0,110
2022-05-20T14:17:34,14,96,0,110
2022-05-20T14:27:50,14,96,0,110
2022-05-20T14:38:06,15,95,0,110
2022-05-20T14:48:21,15,95,0,110
2022-05-20T14:58:37,15,95,0,110
2022-05-20T15:09:03,15,95,0,110
2022-05-20T15:19:18,15,95,0,110
2022-05-20T15:29:34,15,95,0,110
2022-05-20T15:39:48,15,95,0,110
2022-05-20T15:50:03,15,95,0,110
2022-05-20T16:00:18,15,95,0,110
2022-05-20T16:10:33,15,95,0,110
2022-05-20T16:20:59,15,95,0,110
2022-05-20T16:31:13,15,95,0,110
2022-05-20T16:41:28,15,95,0,110
2022-05-20T16:51:42,15,95,0,110
2022-05-20T17:01:57,15,95,0,110
2022-05-20T17:12:11,15,95,0,110
2022-05-20T17:22:24,15,95,0,110
2022-05-20T17:32:39,15,95,0,110
2022-05-20T17:42:53,15,95,0,110
2022-05-20T17:53:07,15,95,0,110
2022-05-20T18:03:21,15,95,0,110
2022-05-20T18:13:44,15,95,0,110
2022-05-20T18:23:57,15,95,0,110
2022-05-20T18:34:11,15,95,0,110
2022-05-20T18:44:24,15,95,0,110
2022-05-20T18:54:37,15,95,0,110
2022-05-20T19:04:51,15,95,0,110
2022-05-20T19:15:05,15,95,0,110
2022-05-20T19:25:19,15,95,0,110
2022-05-20T19:35:33,16,94,0,110
2022-05-20T19:45:47,16,94,0,110
2022-05-20T19:56:01,17,93,0,110
2022-05-20T20:06:25,17,93,0,110
2022-05-20T20:16:38,17,93,0,110
2022-05-20T20:26:52,17,93,0,110
2022-05-20T20:37:05,17,93,0,110
2022-05-20T20:47:19,17,93,0,110
2022-05-20T20:57:32,17,93,0,110
2022-05-20T21:07:46,17,93,0,110
2022-05-20T21:17:59,17,93,0,110
2022-05-20T21:28:24,17,93,0,110
2022-05-20T21:38:37,18,92,0,110
2022-05-20T21:48:51,18,92,0,110
2022-05-20T21:59:05,21,89,0,110
2022-05-20T22:09:19,21,89,0,110
2022-05-20T22:19:33,21,89,0,110
2022-05-20T22:29:48,21,89,0,110
2022-05-20T22:40:01,21,89,0,110
2022-05-20T22:50:15,21,89,0,110
2022-05-20T23:00:28,21,89,0,110
2022-05-20T23:10:42,21,89,0,110
2022-05-20T23:21:07,21,89,0,110
2022-05-20T23:31:20,21,89,0,110
2022-05-20T23:41:34,21,89,0,110
2022-05-20T23:51:47,21,89,0,110
