time,enrolled,available,waitlisted,total
2022-05-20T04:32:11,0,60,0,60
2022-05-20T04:42:27,0,60,0,60
2022-05-20T04:52:44,0,60,0,60
2022-05-20T05:03:00,0,60,0,60
2022-05-20T05:13:16,0,60,0,60
2022-05-20T05:23:31,0,60,0,60
2022-05-20T05:33:47,0,60,0,60
2022-05-20T05:44:02,0,60,0,60
2022-05-20T05:54:18,0,60,0,60
2022-05-20T06:04:34,0,60,0,60
2022-05-20T06:14:48,0,60,0,60
2022-05-20T06:25:04,0,60,0,60
2022-05-20T06:35:19,0,60,0,60
2022-05-20T06:45:33,0,60,0,60
2022-05-20T06:55:46,0,60,0,60
2022-05-20T07:06:03,0,60,0,60
2022-05-20T07:16:17,0,60,0,60
2022-05-20T07:26:30,0,60,0,60
2022-05-20T07:36:44,0,60,0,60
2022-05-20T07:46:58,0,60,0,60
2022-05-20T07:57:13,0,60,0,60
2022-05-20T08:07:27,0,60,0,60
2022-05-20T08:17:41,0,60,0,60
2022-05-20T08:27:57,0,60,0,60
2022-05-20T08:38:11,0,60,0,60
2022-05-20T08:48:26,0,60,0,60
2022-05-20T08:58:41,0,60,0,60
2022-05-20T09:09:08,0,60,0,60
2022-05-20T09:19:24,0,60,0,60
2022-05-20T09:29:40,0,60,0,60
2022-05-20T09:39:56,0,60,0,60
2022-05-20T09:50:12,0,60,0,60
2022-05-20T10:00:28,0,60,0,60
2022-05-20T10:10:45,0,60,0,60
2022-05-20T10:21:00,0,60,0,60
2022-05-20T10:31:16,0,60,0,60
2022-05-20T10:41:32,0,60,0,60
2022-05-20T10:52:00,0,60,0,60
2022-05-20T11:02:17,0,60,0,60
2022-05-20T11:12:33,0,60,0,60
2022-05-20T11:22:49,0,60,0,60
2022-05-20T11:33:05,1,59,0,60
2022-05-20T11:43:21,2,58,0,60
2022-05-20T11:53:51,2,58,0,60
2022-05-20T12:04:07,3,57,0,60
2022-05-20T12:14:22,4,56,0,60
2022-05-20T12:24:37,4,56,0,60
2022-05-20T12:34:52,4,56,0,60
2022-05-20T12:45:08,4,56,0,60
2022-05-20T12:55:24,4,56,0,60
2022-05-20T13:05:51,4,56,0,60
2022-05-20T13:16:07,4,56,0,60
2022-05-20T13:26:23,4,56,0,60
2022-05-20T13:36:40,4,56,0,60
2022-05-20T13:46:56,6,54,0,60
2022-05-20T13:57:12,6,54,0,60
2022-05-20T14:07:38,6,54,0,60
2022-05-20T14:17:54,6,54,0,60
2022-05-20T14:28:09,6,54,0,60
2022-05-20T14:38:25,7,53,0,60
2022-05-20T14:48:40,7,53,0,60
2022-05-20T14:58:56,7,53,0,60
2022-05-20T15:09:22,7,53,0,60
2022-05-20T15:19:37,7,53,0,60
2022-05-20T15:29:53,7,53,0,60
2022-05-20T15:40:07,7,53,0,60
2022-05-20T15:50:22,7,53,0,60
2022-05-20T16:00:38,7,53,0,60
2022-05-20T16:10:52,7,53,0,60
2022-05-20T16:21:18,7,53,0,60
2022-05-20T16:31:33,7,53,0,60
2022-05-20T16:41:47,7,53,0,60
2022-05-20T16:52:01,7,53,0,60
2022-05-20T17:02:16,7,53,0,60
2022-05-20T17:12:30,7,53,0,60
2022-05-20T17:22:44,8,52,0,60
2022-05-20T17:32:58,9,51,0,60
2022-05-20T17:43:12,9,51,0,60
2022-05-20T17:53:26,10,50,0,60
2022-05-20T18:03:40,10,50,0,60
2022-05-20T18:14:03,10,50,0,60
2022-05-20T18:24:16,10,50,0,60
2022-05-20T18:34:30,10,50,0,60
2022-05-20T18:44:43,10,50,0,60
2022-05-20T18:54:56,10,50,0,60
2022-05-20T19:05:10,10,50,0,60
2022-05-20T19:15:24,10,50,0,60
2022-05-20T19:25:38,10,50,0,60
2022-05-20T19:35:52,10,50,0,60
2022-05-20T19:46:07,10,50,0,60
2022-05-20T19:56:20,10,50,0,60
2022-05-20T20:06:44,10,50,0,60
2022-05-20T20:16:57,11,49,0,60
2022-05-20T20:27:11,11,49,0,60
2022-05-20T20:37:24,11,49,0,60
2022-05-20T20:47:38,12,48,0,60
2022-05-20T20:57:51,12,48,0,60
2022-05-20T21:08:05,12,48,0,60
2022-05-20T21:18:19,12,48,0,60
2022-05-20T21:28:43,12,48,0,60
2022-05-20T21:38:56,12,48,0,60
2022-05-20T21:49:10,12,48,0,60
2022-05-20T21:59:24,12,48,0,60
2022-05-20T22:09:38,12,48,0,60
2022-05-20T22:19:52,12,48,0,60
2022-05-20T22:30:07,12,48,0,60
2022-05-20T22:40:20,12,48,0,60
2022-05-20T22:50:34,12,48,0,60
2022-05-20T23:00:47,12,48,0,60
2022-05-20T23:11:01,12,48,0,60
2022-05-20T23:21:26,12,48,0,60
2022-05-20T23:31:39,12,48,0,60
2022-05-20T23:41:53,12,48,0,60
2022-05-20T23:52:06,12,48,0,60
2022-05-21T00:02:21,12,48,0,60
2022-05-21T00:12:36,12,48,0,60
2022-05-21T00:22:53,12,48,0,60
2022-05-21T00:33:08,12,48,0,60
2022-05-21T00:43:25,12,48,0,60
2022-05-21T00:53:40,12,48,0,60
2022-05-21T01:03:55,12,48,0,60
2022-05-21T01:14:11,12,48,0,60
2022-05-21T01:24:25,12,48,0,60
2022-05-21T01:34:41,12,48,0,60
2022-05-21T01:44:56,12,48,0,60
2022-05-21T01:55:10,12,48,0,60
2022-05-21T02:05:34,12,48,0,60
2022-05-21T02:15:48,12,48,0,60
2022-05-21T02:26:02,12,48,0,60
2022-05-21T02:36:15,12,48,0,60
2022-05-21T02:46:28,12,48,0,60
2022-05-21T02:56:41,12,48,0,60
2022-05-21T03:06:53,12,48,0,60
2022-05-21T03:17:09,12,48,0,60
2022-05-21T03:27:28,12,48,0,60
2022-05-21T03:37:43,12,48,0,60
2022-05-21T03:47:59,12,48,0,60
2022-05-21T03:58:14,12,48,0,60
2022-05-21T04:08:29,12,48,0,60
2022-05-21T04:23:50,12,48,0,60
2022-05-21T04:35:15,12,48,0,60
2022-05-21T04:45:47,12,48,0,60
2022-05-21T04:56:02,12,48,0,60
2022-05-21T05:06:18,12,48,0,60
2022-05-21T05:16:34,12,48,0,60
2022-05-21T05:26:50,12,48,0,60
2022-05-21T05:37:06,12,48,0,60
2022-05-21T05:47:22,12,48,0,60
2022-05-21T05:57:37,12,48,0,60
2022-05-21T06:07:53,12,48,0,60
2022-05-21T06:18:07,12,48,0,60
2022-05-21T06:28:24,12,48,0,60
2022-05-21T06:38:39,12,48,0,60
2022-05-21T06:48:55,12,48,0,60
2022-05-21T06:59:10,12,48,0,60
2022-05-21T07:09:26,12,48,0,60
2022-05-21T07:19:41,12,48,0,60
2022-05-21T07:29:56,12,48,0,60
2022-05-21T07:40:11,12,48,0,60
2022-05-21T07:50:26,12,48,0,60
2022-05-21T08:00:40,12,48,0,60
2022-05-21T08:10:55,12,48,0,60
2022-05-21T08:21:12,12,48,0,60
2022-05-21T08:31:27,12,48,0,60
2022-05-21T08:41:41,12,48,0,60
2022-05-21T08:52:17,13,47,0,60
2022-05-21T09:02:31,13,47,0,60
2022-05-21T09:12:44,13,47,0,60
2022-05-21T09:22:57,13,47,0,60
2022-05-21T09:33:10,13,47,0,60
2022-05-21T09:43:23,13,47,0,60
2022-05-21T09:53:37,13,47,0,60
2022-05-21T10:03:50,13,47,0,60
2022-05-21T10:14:03,13,47,0,60
2022-05-21T10:24:16,13,47,0,60
2022-05-21T10:34:30,13,47,0,60
2022-05-21T10:44:43,13,47,0,60
2022-05-21T10:54:56,13,47,0,60
2022-05-21T11:05:10,13,47,0,60
2022-05-21T11:15:34,13,47,0,60
2022-05-21T11:25:48,14,46,0,60
2022-05-21T11:36:02,14,46,0,60
2022-05-21T11:46:16,14,46,0,60
2022-05-21T11:56:29,14,46,0,60
2022-05-21T12:06:43,14,46,0,60
2022-05-21T12:16:57,14,46,0,60
2022-05-21T12:27:10,14,46,0,60
2022-05-21T12:37:44,14,46,0,60
2022-05-21T12:47:57,15,45,0,60
2022-05-21T12:58:11,15,45,0,60
2022-05-21T13:08:24,15,45,0,60
2022-05-21T13:18:38,15,45,0,60
2022-05-21T13:28:51,16,44,0,60
2022-05-21T13:39:05,16,44,0,60
2022-05-21T13:49:18,16,44,0,60
2022-05-21T13:59:31,16,44,0,60
2022-05-21T14:09:45,16,44,0,60
2022-05-21T14:20:08,16,44,0,60
2022-05-21T14:30:22,16,44,0,60
2022-05-21T14:40:35,16,44,0,60
2022-05-21T14:50:50,16,44,0,60
2022-05-21T15:01:05,17,43,0,60
2022-05-21T15:11:18,17,43,0,60
2022-05-21T15:21:31,17,43,0,60
2022-05-21T15:31:55,17,43,0,60
2022-05-21T15:42:09,17,43,0,60
2022-05-21T15:52:22,17,43,0,60
2022-05-21T16:02:35,17,43,0,60
2022-05-21T16:12:49,18,42,0,60
2022-05-21T16:23:03,18,42,0,60
2022-05-21T16:33:16,18,42,0,60
2022-05-21T16:43:29,18,42,0,60
2022-05-21T16:53:43,18,42,0,60
2022-05-21T17:04:15,18,42,0,60
2022-05-21T17:14:29,19,41,0,60
2022-05-21T17:24:43,19,41,0,60
