time,enrolled,available,waitlisted,total
2022-05-18T04:35:05,0,48,0,48
2022-05-18T04:45:38,0,48,0,48
2022-05-18T04:55:48,0,48,0,48
2022-05-18T05:06:00,0,48,0,48
2022-05-18T05:16:09,0,48,0,48
2022-05-18T05:26:21,0,48,0,48
2022-05-18T05:36:31,0,48,0,48
2022-05-18T05:46:40,0,48,0,48
2022-05-18T05:56:51,0,48,0,48
2022-05-18T06:07:04,0,48,0,48
2022-05-18T06:17:12,0,48,0,48
2022-05-18T06:27:21,0,48,0,48
2022-05-18T06:37:29,0,48,0,48
2022-05-18T06:47:36,0,48,0,48
2022-05-18T06:57:44,0,48,0,48
2022-05-18T07:07:53,0,48,0,48
2022-05-18T07:18:01,0,48,0,48
2022-05-18T07:28:08,0,48,0,48
2022-05-18T07:38:16,0,48,0,48
2022-05-18T07:48:25,0,48,0,48
2022-05-18T07:58:33,0,48,0,48
2022-05-18T08:08:41,0,48,0,48
2022-05-18T08:18:48,0,48,0,48
2022-05-18T08:28:57,0,48,0,48
2022-05-18T08:39:06,0,48,0,48
2022-05-18T08:49:16,0,48,0,48
2022-05-18T08:59:25,0,48,0,48
2022-05-18T09:09:46,0,48,0,48
2022-05-18T09:19:54,0,48,0,48
2022-05-18T09:30:04,0,48,0,48
2022-05-18T09:40:12,0,48,0,48
2022-05-18T09:50:21,0,48,0,48
2022-05-18T10:00:33,0,48,0,48
2022-05-18T10:10:45,0,48,0,48
2022-05-18T10:20:56,0,48,0,48
2022-05-18T10:31:06,0,48,0,48
2022-05-18T10:41:29,0,48,0,48
2022-05-18T10:51:39,0,48,0,48
2022-05-18T11:01:49,0,48,0,48
2022-05-18T11:11:59,0,48,0,48
2022-05-18T11:22:08,0,48,0,48
2022-05-18T11:32:17,0,48,0,48
2022-05-18T11:42:26,0,48,0,48
2022-05-18T11:52:45,0,48,0,48
2022-05-18T12:02:53,0,48,0,48
2022-05-18T12:13:02,0,48,0,48
2022-05-18T12:23:10,0,48,0,48
2022-05-18T12:33:21,0,48,0,48
2022-05-18T12:43:31,0,48,0,48
2022-05-18T12:53:41,0,48,0,48
2022-05-18T13:03:52,0,48,0,48
2022-05-18T13:14:13,0,48,0,48
2022-05-18T13:24:22,0,48,0,48
2022-05-18T13:34:32,0,48,0,48
2022-05-18T13:44:44,0,48,0,48
2022-05-18T13:54:55,0,48,0,48
2022-05-18T14:05:05,0,48,0,48
2022-05-18T14:15:16,0,48,0,48
2022-05-18T14:25:26,0,48,0,48
2022-05-18T14:35:48,0,48,0,48
2022-05-18T14:45:58,0,48,0,48
2022-05-18T14:56:08,0,48,0,48
2022-05-18T15:06:20,0,48,0,48
2022-05-18T15:16:31,0,48,0,48
2022-05-18T15:26:42,0,48,0,48
2022-05-18T15:37:03,0,48,0,48
2022-05-18T15:47:13,0,48,0,48
2022-05-18T15:57:24,0,48,0,48
2022-05-18T16:07:35,0,48,0,48
2022-05-18T16:17:46,0,48,0,48
2022-05-18T16:27:56,0,48,0,48
2022-05-18T16:38:06,0,48,0,48
2022-05-18T16:48:16,0,48,0,48
2022-05-18T16:58:36,0,48,0,48
2022-05-18T17:08:46,0,48,0,48
2022-05-18T17:18:57,0,48,0,48
2022-05-18T17:29:06,0,48,0,48
2022-05-18T17:39:15,0,48,0,48
2022-05-18T17:49:24,0,48,0,48
2022-05-18T17:59:34,0,48,0,48
2022-05-18T18:09:43,0,48,0,48
2022-05-18T18:19:53,0,48,0,48
2022-05-18T18:30:03,0,48,0,48
2022-05-18T18:40:23,0,48,0,48
2022-05-18T18:50:32,0,48,0,48
2022-05-18T19:00:40,0,48,0,48
2022-05-18T19:10:49,0,48,0,48
2022-05-18T19:20:58,0,48,0,48
2022-05-18T19:31:08,0,48,0,48
2022-05-18T19:41:17,0,48,0,48
2022-05-18T19:51:26,0,48,0,48
2022-05-18T20:01:35,0,48,0,48
2022-05-18T20:11:44,0,48,0,48
2022-05-18T20:22:03,0,48,0,48
2022-05-18T20:32:12,0,48,0,48
2022-05-18T20:42:21,0,48,0,48
2022-05-18T20:52:30,0,48,0,48
2022-05-18T21:02:38,0,48,0,48
2022-05-18T21:12:49,0,48,0,48
2022-05-18T21:22:58,0,48,0,48
2022-05-18T21:33:07,0,48,0,48
2022-05-18T21:43:16,0,48,0,48
