time,enrolled,available,waitlisted,total
2022-05-20T04:32:04,0,120,0,120
2022-05-20T04:42:21,0,120,0,120
2022-05-20T04:52:38,0,120,0,120
2022-05-20T05:02:54,0,120,0,120
2022-05-20T05:13:10,0,120,0,120
2022-05-20T05:23:25,0,120,0,120
2022-05-20T05:33:41,0,120,0,120
2022-05-20T05:43:56,0,120,0,120
2022-05-20T05:54:12,0,120,0,120
2022-05-20T06:04:28,0,120,0,120
2022-05-20T06:14:42,0,120,0,120
2022-05-20T06:24:58,0,120,0,120
2022-05-20T06:35:13,0,120,0,120
2022-05-20T06:45:27,0,120,0,120
2022-05-20T06:55:40,0,120,0,120
2022-05-20T07:05:57,0,120,0,120
2022-05-20T07:16:10,0,120,0,120
2022-05-20T07:26:24,0,120,0,120
2022-05-20T07:36:38,0,120,0,120
2022-05-20T07:46:52,0,120,0,120
2022-05-20T07:57:06,0,120,0,120
2022-05-20T08:07:20,0,120,0,120
2022-05-20T08:17:34,0,120,0,120
2022-05-20T08:27:50,0,120,0,120
2022-05-20T08:38:05,0,120,0,120
2022-05-20T08:48:20,0,120,0,120
2022-05-20T08:58:34,0,120,0,120
2022-05-20T09:09:02,0,120,0,120
2022-05-20T09:19:18,0,120,0,120
2022-05-20T09:29:33,0,120,0,120
2022-05-20T09:39:49,0,120,0,120
2022-05-20T09:50:05,0,120,0,120
2022-05-20T10:00:21,0,120,0,120
2022-05-20T10:10:38,0,120,0,120
2022-05-20T10:20:53,0,120,0,120
2022-05-20T10:31:10,0,120,0,120
2022-05-20T10:41:25,0,120,0,120
2022-05-20T10:51:54,0,120,0,120
2022-05-20T11:02:11,1,119,0,120
2022-05-20T11:12:27,4,116,0,120
2022-05-20T11:22:43,4,116,0,120
2022-05-20T11:32:58,4,116,0,120
2022-05-20T11:43:15,4,116,0,120
2022-05-20T11:53:44,4,116,0,120
2022-05-20T12:04:00,4,116,0,120
2022-05-20T12:14:16,4,116,0,120
2022-05-20T12:24:31,4,116,0,120
2022-05-20T12:34:46,4,116,0,120
2022-05-20T12:45:01,4,116,0,120
2022-05-20T12:55:17,4,116,0,120
2022-05-20T13:05:44,4,116,0,120
2022-05-20T13:16:01,4,116,0,120
2022-05-20T13:26:17,4,116,0,120
2022-05-20T13:36:34,4,116,0,120
2022-05-20T13:46:50,5,115,0,120
2022-05-20T13:57:05,6,114,0,120
2022-05-20T14:07:32,5,115,0,120
2022-05-20T14:17:47,5,115,0,120
2022-05-20T14:28:03,5,115,0,120
2022-05-20T14:38:18,5,115,0,120
2022-05-20T14:48:34,5,115,0,120
2022-05-20T14:58:49,5,115,0,120
2022-05-20T15:09:15,5,115,0,120
2022-05-20T15:19:31,5,115,0,120
2022-05-20T15:29:46,5,115,0,120
2022-05-20T15:40:01,5,115,0,120
2022-05-20T15:50:16,6,114,0,120
2022-05-20T16:00:31,6,114,0,120
2022-05-20T16:10:46,6,114,0,120
2022-05-20T16:21:12,6,114,0,120
2022-05-20T16:31:26,6,114,0,120
2022-05-20T16:41:40,6,114,0,120
2022-05-20T16:51:55,6,114,0,120
2022-05-20T17:02:09,6,114,0,120
2022-05-20T17:12:24,6,114,0,120
2022-05-20T17:22:37,6,114,0,120
2022-05-20T17:32:51,6,114,0,120
2022-05-20T17:43:05,6,114,0,120
2022-05-20T17:53:20,7,113,0,120
2022-05-20T18:03:33,7,113,0,120
2022-05-20T18:13:56,7,113,0,120
2022-05-20T18:24:10,7,113,0,120
2022-05-20T18:34:23,7,113,0,120
2022-05-20T18:44:36,7,113,0,120
2022-05-20T18:54:50,7,113,0,120
2022-05-20T19:05:04,7,113,0,120
2022-05-20T19:15:18,7,113,0,120
2022-05-20T19:25:32,7,113,0,120
2022-05-20T19:35:46,7,113,0,120
2022-05-20T19:46:00,7,113,0,120
2022-05-20T19:56:13,7,113,0,120
2022-05-20T20:06:37,7,113,0,120
2022-05-20T20:16:51,8,112,0,120
2022-05-20T20:27:05,8,112,0,120
2022-05-20T20:37:18,8,112,0,120
2022-05-20T20:47:31,8,112,0,120
2022-05-20T20:57:45,8,112,0,120
2022-05-20T21:07:59,8,112,0,120
2022-05-20T21:18:12,8,112,0,120
2022-05-20T21:28:37,8,112,0,120
2022-05-20T21:38:50,8,112,0,120
2022-05-20T21:49:04,8,112,0,120
2022-05-20T21:59:18,8,112,0,120
2022-05-20T22:09:32,8,112,0,120
2022-05-20T22:19:46,8,112,0,120
2022-05-20T22:30:01,8,112,0,120
2022-05-20T22:40:14,8,112,0,120
