time,enrolled,available,waitlisted,total
2022-05-18T04:35:15,0,60,0,60
2022-05-18T04:45:48,0,60,0,60
2022-05-18T04:55:58,0,60,0,60
2022-05-18T05:06:10,0,60,0,60
2022-05-18T05:16:19,0,60,0,60
2022-05-18T05:26:31,0,60,0,60
2022-05-18T05:36:41,0,60,0,60
2022-05-18T05:46:51,0,60,0,60
2022-05-18T05:57:01,0,60,0,60
2022-05-18T06:07:14,0,60,0,60
2022-05-18T06:17:22,0,60,0,60
2022-05-18T06:27:31,0,60,0,60
2022-05-18T06:37:39,0,60,0,60
2022-05-18T06:47:46,0,60,0,60
2022-05-18T06:57:54,0,60,0,60
2022-05-18T07:08:03,0,60,0,60
2022-05-18T07:18:11,0,60,0,60
2022-05-18T07:28:18,0,60,0,60
2022-05-18T07:38:26,0,60,0,60
2022-05-18T07:48:35,0,60,0,60
2022-05-18T07:58:43,0,60,0,60
2022-05-18T08:08:51,0,60,0,60
2022-05-18T08:18:58,0,60,0,60
2022-05-18T08:29:07,0,60,0,60
2022-05-18T08:39:16,0,60,0,60
2022-05-18T08:49:26,0,60,0,60
2022-05-18T08:59:35,0,60,0,60
2022-05-18T09:09:56,0,60,0,60
2022-05-18T09:20:04,0,60,0,60
2022-05-18T09:30:14,0,60,0,60
2022-05-18T09:40:22,0,60,0,60
2022-05-18T09:50:32,0,60,0,60
2022-05-18T10:00:43,0,60,0,60
2022-05-18T10:10:55,0,60,0,60
2022-05-18T10:21:06,0,60,0,60
2022-05-18T10:31:16,0,60,0,60
2022-05-18T10:41:39,0,60,0,60
2022-05-18T10:51:49,0,60,0,60
2022-05-18T11:01:59,0,60,0,60
2022-05-18T11:12:09,0,60,0,60
2022-05-18T11:22:18,0,60,0,60
2022-05-18T11:32:27,0,60,0,60
2022-05-18T11:42:36,0,60,0,60
2022-05-18T11:52:55,0,60,0,60
2022-05-18T12:03:04,0,60,0,60
2022-05-18T12:13:12,0,60,0,60
2022-05-18T12:23:20,0,60,0,60
2022-05-18T12:33:31,0,60,0,60
2022-05-18T12:43:41,0,60,0,60
2022-05-18T12:53:51,0,60,0,60
2022-05-18T13:04:02,0,60,0,60
2022-05-18T13:14:23,0,60,0,60
2022-05-18T13:24:32,0,60,0,60
2022-05-18T13:34:43,0,60,0,60
2022-05-18T13:44:54,0,60,0,60
2022-05-18T13:55:05,0,60,0,60
2022-05-18T14:05:15,0,60,0,60
2022-05-18T14:15:26,0,60,0,60
2022-05-18T14:25:47,0,60,0,60
2022-05-18T14:35:58,0,60,0,60
2022-05-18T14:46:08,0,60,0,60
2022-05-18T14:56:18,0,60,0,60
2022-05-18T15:06:30,0,60,0,60
2022-05-18T15:16:41,0,60,0,60
2022-05-18T15:26:52,0,60,0,60
2022-05-18T15:37:13,0,60,0,60
2022-05-18T15:47:23,0,60,0,60
2022-05-18T15:57:34,0,60,0,60
2022-05-18T16:07:45,0,60,0,60
2022-05-18T16:17:56,0,60,0,60
2022-05-18T16:28:06,0,60,0,60
2022-05-18T16:38:16,0,60,0,60
2022-05-18T16:48:26,0,60,0,60
2022-05-18T16:58:46,0,60,0,60
2022-05-18T17:08:56,0,60,0,60
2022-05-18T17:19:07,0,60,0,60
2022-05-18T17:29:16,0,60,0,60
2022-05-18T17:39:25,0,60,0,60
2022-05-18T17:49:34,0,60,0,60
2022-05-18T17:59:44,0,60,0,60
2022-05-18T18:09:53,0,60,0,60
2022-05-18T18:20:03,0,60,0,60
2022-05-18T18:30:13,0,60,0,60
2022-05-18T18:40:33,0,60,0,60
2022-05-18T18:50:42,0,60,0,60
2022-05-18T19:00:50,0,60,0,60
2022-05-18T19:10:59,0,60,0,60
2022-05-18T19:21:08,0,60,0,60
2022-05-18T19:31:18,0,60,0,60
2022-05-18T19:41:27,0,60,0,60
2022-05-18T19:51:36,0,60,0,60
2022-05-18T20:01:45,0,60,0,60
2022-05-18T20:11:54,0,60,0,60
2022-05-18T20:22:14,0,60,0,60
2022-05-18T20:32:22,0,60,0,60
2022-05-18T20:42:31,0,60,0,60
2022-05-18T20:52:40,0,60,0,60
2022-05-18T21:02:48,0,60,0,60
2022-05-18T21:12:59,0,60,0,60
2022-05-18T21:23:08,0,60,0,60
2022-05-18T21:33:17,0,60,0,60
2022-05-18T21:43:26,0,60,0,60
2022-05-18T21:53:45,0,60,0,60
2022-05-18T22:03:54,0,60,0,60
2022-05-18T22:14:02,0,60,0,60
2022-05-18T22:24:11,0,60,0,60
2022-05-18T22:34:21,0,60,0,60
2022-05-18T22:44:29,0,60,0,60
2022-05-18T22:54:38,0,60,0,60
2022-05-18T23:04:48,0,60,0,60
2022-05-18T23:14:57,0,60,0,60
2022-05-18T23:25:09,0,60,0,60
2022-05-18T23:35:30,0,60,0,60
2022-05-18T23:45:39,0,60,0,60
2022-05-18T23:55:48,0,60,0,60
2022-05-19T00:05:59,0,60,0,60
2022-05-19T00:16:11,0,60,0,60
2022-05-19T00:26:23,0,60,0,60
2022-05-19T00:36:39,0,60,0,60
2022-05-19T00:46:52,0,60,0,60
2022-05-19T00:57:03,0,60,0,60
2022-05-19T01:07:12,0,60,0,60
2022-05-19T01:17:23,0,60,0,60
2022-05-19T01:27:32,0,60,0,60
2022-05-19T01:37:41,0,60,0,60
2022-05-19T01:47:51,0,60,0,60
2022-05-19T01:58:12,0,60,0,60
2022-05-19T02:08:22,0,60,0,60
2022-05-19T02:18:31,0,60,0,60
2022-05-19T02:28:39,0,60,0,60
2022-05-19T02:38:47,0,60,0,60
2022-05-19T02:48:56,0,60,0,60
2022-05-19T02:59:04,0,60,0,60
2022-05-19T03:09:13,0,60,0,60
2022-05-19T03:19:25,0,60,0,60
2022-05-19T03:29:44,0,60,0,60
2022-05-19T03:39:55,0,60,0,60
2022-05-19T03:50:05,0,60,0,60
2022-05-19T04:00:16,0,60,0,60
2022-05-19T04:10:27,0,60,0,60
2022-05-19T04:26:26,0,60,0,60
2022-05-19T04:38:01,0,60,0,60
2022-05-19T04:48:13,0,60,0,60
2022-05-19T04:58:25,0,60,0,60
2022-05-19T05:08:37,0,60,0,60
2022-05-19T05:18:49,0,60,0,60
2022-05-19T05:29:00,0,60,0,60
2022-05-19T05:39:10,0,60,0,60
2022-05-19T05:49:20,0,60,0,60
2022-05-19T05:59:31,0,60,0,60
2022-05-19T06:09:42,0,60,0,60
2022-05-19T06:19:53,0,60,0,60
2022-05-19T06:30:04,0,60,0,60
2022-05-19T06:40:15,0,60,0,60
2022-05-19T06:50:26,0,60,0,60
2022-05-19T07:00:36,0,60,0,60
2022-05-19T07:10:51,0,60,0,60
2022-05-19T07:21:00,0,60,0,60
2022-05-19T07:31:10,0,60,0,60
2022-05-19T07:41:20,0,60,0,60
2022-05-19T07:51:29,0,60,0,60
2022-05-19T08:01:38,0,60,0,60
2022-05-19T08:11:47,0,60,0,60
2022-05-19T08:21:56,0,60,0,60
2022-05-19T08:32:06,0,60,0,60
2022-05-19T08:42:16,0,60,0,60
2022-05-19T08:52:27,0,60,0,60
2022-05-19T09:02:38,0,60,0,60
2022-05-19T09:13:04,0,60,0,60
2022-05-19T09:23:14,0,60,0,60
2022-05-19T09:33:25,0,60,0,60
2022-05-19T09:43:36,0,60,0,60
2022-05-19T09:53:47,0,60,0,60
2022-05-19T10:03:59,0,60,0,60
2022-05-19T10:14:11,0,60,0,60
2022-05-19T10:24:22,0,60,0,60
2022-05-19T10:34:39,0,60,0,60
2022-05-19T10:44:52,0,60,0,60
2022-05-19T10:55:04,0,60,0,60
2022-05-19T11:05:18,0,60,0,60
2022-05-19T11:15:44,0,60,0,60
2022-05-19T11:25:57,0,60,0,60
2022-05-19T11:36:09,0,60,0,60
2022-05-19T11:46:21,0,60,0,60
2022-05-19T11:56:33,0,60,0,60
2022-05-19T12:06:45,0,60,0,60
2022-05-19T12:16:57,0,60,0,60
2022-05-19T12:27:09,0,60,0,60
2022-05-19T12:37:22,0,60,0,60
2022-05-19T12:47:55,0,60,0,60
2022-05-19T12:58:08,0,60,0,60
2022-05-19T13:08:23,0,60,0,60
2022-05-19T13:18:37,0,60,0,60
2022-05-19T13:28:51,0,60,0,60
2022-05-19T13:39:05,0,60,0,60
2022-05-19T13:49:20,0,60,0,60
2022-05-19T13:59:45,0,60,0,60
2022-05-19T14:10:01,0,60,0,60
2022-05-19T14:20:17,0,60,0,60
2022-05-19T14:30:32,0,60,0,60
2022-05-19T14:40:50,0,60,0,60
2022-05-19T14:51:07,0,60,0,60
2022-05-19T15:01:23,0,60,0,60
2022-05-19T15:11:59,0,60,0,60
2022-05-19T15:22:17,0,60,0,60
2022-05-19T15:32:35,0,60,0,60
2022-05-19T15:42:54,0,60,0,60
2022-05-19T15:53:12,0,60,0,60
2022-05-19T16:03:31,0,60,0,60
2022-05-19T16:13:48,0,60,0,60
2022-05-19T16:24:06,0,60,0,60
2022-05-19T16:34:25,0,60,0,60
2022-05-19T16:44:55,0,60,0,60
2022-05-19T16:55:12,0,60,0,60
2022-05-19T17:05:29,0,60,0,60
2022-05-19T17:15:47,0,60,0,60
2022-05-19T17:26:03,0,60,0,60
2022-05-19T17:36:19,0,60,0,60
2022-05-19T17:46:35,0,60,0,60
2022-05-19T17:57:11,0,60,0,60
2022-05-19T18:07:27,0,60,0,60
2022-05-19T18:17:42,0,60,0,60
2022-05-19T18:27:57,0,60,0,60
2022-05-19T18:38:13,0,60,0,60
2022-05-19T18:48:28,0,60,0,60
2022-05-19T18:58:49,0,60,0,60
2022-05-19T19:09:14,0,60,0,60
2022-05-19T19:19:41,0,60,0,60
2022-05-19T19:30:19,0,60,0,60
2022-05-19T19:40:49,0,60,0,60
2022-05-19T19:51:14,0,60,0,60
2022-05-19T20:01:39,0,60,0,60
2022-05-19T20:12:06,0,60,0,60
2022-05-19T20:22:27,0,60,0,60
2022-05-19T20:32:54,0,60,0,60
2022-05-19T20:43:11,0,60,0,60
2022-05-19T20:53:33,0,60,0,60
2022-05-19T21:03:56,0,60,0,60
2022-05-19T21:14:19,0,60,0,60
2022-05-19T21:24:41,0,60,0,60
2022-05-19T21:35:04,0,60,0,60
2022-05-19T21:45:26,0,60,0,60
2022-05-19T21:55:59,0,60,0,60
2022-05-19T22:06:22,0,60,0,60
2022-05-19T22:16:42,0,60,0,60
2022-05-19T22:27:00,0,60,0,60
2022-05-19T22:37:19,0,60,0,60
2022-05-19T22:47:34,0,60,0,60
2022-05-19T22:57:48,0,60,0,60
2022-05-19T23:08:03,0,60,0,60
2022-05-19T23:18:20,0,60,0,60
2022-05-19T23:28:39,0,60,0,60
2022-05-19T23:39:13,0,60,0,60
2022-05-19T23:49:27,0,60,0,60
2022-05-19T23:59:41,0,60,0,60
2022-05-20T00:09:59,0,60,0,60
2022-05-20T00:20:19,0,60,0,60
2022-05-20T00:30:34,0,60,0,60
2022-05-20T00:40:49,0,60,0,60
2022-05-20T00:51:06,0,60,0,60
2022-05-20T01:01:22,0,60,0,60
2022-05-20T01:11:38,0,60,0,60
2022-05-20T01:22:05,0,60,0,60
2022-05-20T01:32:19,0,60,0,60
2022-05-20T01:42:33,0,60,0,60
2022-05-20T01:52:48,0,60,0,60
2022-05-20T02:03:03,0,60,0,60
2022-05-20T02:13:18,0,60,0,60
2022-05-20T02:23:41,0,60,0,60
2022-05-20T02:33:57,0,60,0,60
2022-05-20T02:44:12,0,60,0,60
