time,enrolled,available,waitlisted,total
2022-05-18T04:35:37,0,70,0,70
2022-05-18T04:46:10,0,70,0,70
2022-05-18T04:56:20,0,70,0,70
2022-05-18T05:06:32,0,70,0,70
2022-05-18T05:16:41,0,70,0,70
2022-05-18T05:26:53,0,70,0,70
2022-05-18T05:37:03,0,70,0,70
2022-05-18T05:47:12,0,70,0,70
2022-05-18T05:57:23,0,70,0,70
2022-05-18T06:07:36,0,70,0,70
2022-05-18T06:17:44,0,70,0,70
2022-05-18T06:27:52,0,70,0,70
2022-05-18T06:38:00,0,70,0,70
2022-05-18T06:48:08,0,70,0,70
2022-05-18T06:58:15,0,70,0,70
2022-05-18T07:08:25,0,70,0,70
2022-05-18T07:18:32,0,70,0,70
2022-05-18T07:28:40,0,70,0,70
2022-05-18T07:38:48,0,70,0,70
2022-05-18T07:48:56,0,70,0,70
2022-05-18T07:59:04,0,70,0,70
2022-05-18T08:09:12,0,70,0,70
2022-05-18T08:19:20,0,70,0,70
2022-05-18T08:29:29,0,70,0,70
2022-05-18T08:39:38,0,70,0,70
2022-05-18T08:49:47,0,70,0,70
2022-05-18T08:59:57,0,70,0,70
2022-05-18T09:10:17,0,70,0,70
2022-05-18T09:20:26,0,70,0,70
2022-05-18T09:30:35,0,70,0,70
2022-05-18T09:40:44,0,70,0,70
2022-05-18T09:50:53,0,70,0,70
2022-05-18T10:01:05,0,70,0,70
2022-05-18T10:11:17,0,70,0,70
2022-05-18T10:21:28,0,70,0,70
2022-05-18T10:31:38,0,70,0,70
2022-05-18T10:42:01,0,70,0,70
2022-05-18T10:52:10,0,70,0,70
2022-05-18T11:02:21,0,70,0,70
2022-05-18T11:12:31,0,70,0,70
2022-05-18T11:22:40,0,70,0,70
2022-05-18T11:32:49,0,70,0,70
2022-05-18T11:42:57,0,70,0,70
2022-05-18T11:53:17,0,70,0,70
2022-05-18T12:03:25,0,70,0,70
2022-05-18T12:13:34,0,70,0,70
2022-05-18T12:23:42,0,70,0,70
2022-05-18T12:33:53,0,70,0,70
2022-05-18T12:44:03,0,70,0,70
2022-05-18T12:54:13,0,70,0,70
2022-05-18T13:04:23,0,70,0,70
2022-05-18T13:14:44,0,70,0,70
2022-05-18T13:24:54,0,70,0,70
2022-05-18T13:35:05,0,70,0,70
2022-05-18T13:45:16,0,70,0,70
2022-05-18T13:55:27,0,70,0,70
2022-05-18T14:05:37,0,70,0,70
2022-05-18T14:15:47,0,70,0,70
2022-05-18T14:26:09,0,70,0,70
2022-05-18T14:36:20,0,70,0,70
2022-05-18T14:46:30,0,70,0,70
2022-05-18T14:56:40,0,70,0,70
2022-05-18T15:06:52,0,70,0,70
2022-05-18T15:17:03,0,70,0,70
2022-05-18T15:27:13,0,70,0,70
2022-05-18T15:37:35,0,70,0,70
2022-05-18T15:47:45,0,70,0,70
2022-05-18T15:57:56,0,70,0,70
2022-05-18T16:08:07,0,70,0,70
2022-05-18T16:18:18,0,70,0,70
2022-05-18T16:28:28,0,70,0,70
2022-05-18T16:38:38,0,70,0,70
2022-05-18T16:48:48,0,70,0,70
2022-05-18T16:59:08,0,70,0,70
2022-05-18T17:09:18,0,70,0,70
2022-05-18T17:19:28,0,70,0,70
2022-05-18T17:29:37,0,70,0,70
2022-05-18T17:39:47,0,70,0,70
2022-05-18T17:49:56,0,70,0,70
2022-05-18T18:00:05,0,70,0,70
2022-05-18T18:10:15,0,70,0,70
2022-05-18T18:20:25,0,70,0,70
2022-05-18T18:30:35,0,70,0,70
2022-05-18T18:40:55,0,70,0,70
2022-05-18T18:51:03,0,70,0,70
2022-05-18T19:01:12,0,70,0,70
2022-05-18T19:11:21,0,70,0,70
2022-05-18T19:21:30,0,70,0,70
2022-05-18T19:31:39,0,70,0,70
2022-05-18T19:41:49,0,70,0,70
2022-05-18T19:51:57,0,70,0,70
2022-05-18T20:02:07,0,70,0,70
2022-05-18T20:12:16,0,70,0,70
2022-05-18T20:22:35,0,70,0,70
2022-05-18T20:32:44,0,70,0,70
2022-05-18T20:42:52,0,70,0,70
2022-05-18T20:53:01,0,70,0,70
2022-05-18T21:03:10,0,70,0,70
2022-05-18T21:13:21,0,70,0,70
2022-05-18T21:23:30,0,70,0,70
2022-05-18T21:33:39,0,70,0,70
2022-05-18T21:43:48,0,70,0,70
2022-05-18T21:54:06,0,70,0,70
2022-05-18T22:04:15,0,70,0,70
2022-05-18T22:14:24,0,70,0,70
2022-05-18T22:24:33,0,70,0,70
2022-05-18T22:34:42,0,70,0,70
2022-05-18T22:44:51,0,70,0,70
2022-05-18T22:55:00,0,70,0,70
2022-05-18T23:05:10,0,70,0,70
2022-05-18T23:15:19,0,70,0,70
2022-05-18T23:25:30,0,70,0,70
2022-05-18T23:35:52,0,70,0,70
2022-05-18T23:46:01,0,70,0,70
2022-05-18T23:56:09,0,70,0,70
2022-05-19T00:06:21,0,70,0,70
2022-05-19T00:16:33,0,70,0,70
2022-05-19T00:26:45,0,70,0,70
2022-05-19T00:37:01,0,70,0,70
2022-05-19T00:47:14,0,70,0,70
2022-05-19T00:57:24,0,70,0,70
2022-05-19T01:07:34,0,70,0,70
2022-05-19T01:17:44,0,70,0,70
2022-05-19T01:27:53,0,70,0,70
2022-05-19T01:38:03,0,70,0,70
2022-05-19T01:48:13,0,70,0,70
2022-05-19T01:58:33,0,70,0,70
2022-05-19T02:08:43,0,70,0,70
2022-05-19T02:18:53,0,70,0,70
2022-05-19T02:29:01,0,70,0,70
2022-05-19T02:39:09,0,70,0,70
2022-05-19T02:49:17,0,70,0,70
2022-05-19T02:59:25,0,70,0,70
2022-05-19T03:09:34,0,70,0,70
2022-05-19T03:19:46,0,70,0,70
2022-05-19T03:30:05,0,70,0,70
2022-05-19T03:40:16,0,70,0,70
2022-05-19T03:50:27,0,70,0,70
2022-05-19T04:00:38,0,70,0,70
2022-05-19T04:10:49,0,70,0,70
2022-05-19T04:26:48,0,70,0,70
2022-05-19T04:38:23,0,70,0,70
2022-05-19T04:48:35,0,70,0,70
2022-05-19T04:58:46,0,70,0,70
2022-05-19T05:08:59,0,70,0,70
2022-05-19T05:19:10,0,70,0,70
2022-05-19T05:29:21,0,70,0,70
2022-05-19T05:39:32,0,70,0,70
2022-05-19T05:49:41,0,70,0,70
2022-05-19T05:59:53,0,70,0,70
2022-05-19T06:10:04,0,70,0,70
2022-05-19T06:20:15,0,70,0,70
2022-05-19T06:30:26,0,70,0,70
2022-05-19T06:40:37,0,70,0,70
2022-05-19T06:50:47,0,70,0,70
2022-05-19T07:00:57,0,70,0,70
2022-05-19T07:11:12,0,70,0,70
2022-05-19T07:21:22,0,70,0,70
2022-05-19T07:31:31,0,70,0,70
2022-05-19T07:41:41,0,70,0,70
2022-05-19T07:51:50,0,70,0,70
2022-05-19T08:01:59,0,70,0,70
2022-05-19T08:12:08,0,70,0,70
2022-05-19T08:22:17,0,70,0,70
2022-05-19T08:32:27,0,70,0,70
2022-05-19T08:42:38,0,70,0,70
2022-05-19T08:52:49,0,70,0,70
2022-05-19T09:03:15,0,70,0,70
2022-05-19T09:13:26,0,70,0,70
2022-05-19T09:23:36,0,70,0,70
2022-05-19T09:33:46,0,70,0,70
2022-05-19T09:43:58,0,70,0,70
2022-05-19T09:54:09,0,70,0,70
2022-05-19T10:04:21,0,70,0,70
2022-05-19T10:14:32,0,70,0,70
2022-05-19T10:24:44,0,70,0,70
2022-05-19T10:35:01,0,70,0,70
2022-05-19T10:45:14,0,70,0,70
2022-05-19T10:55:26,0,70,0,70
2022-05-19T11:05:39,0,70,0,70
2022-05-19T11:16:06,0,70,0,70
2022-05-19T11:26:18,0,70,0,70
2022-05-19T11:36:31,0,70,0,70
2022-05-19T11:46:43,0,70,0,70
2022-05-19T11:56:55,0,70,0,70
2022-05-19T12:07:07,0,70,0,70
