time,enrolled,available,waitlisted,total
2022-05-20T04:32:29,0,100,0,100
2022-05-20T04:42:45,0,100,0,100
2022-05-20T04:53:02,0,100,0,100
2022-05-20T05:03:18,0,100,0,100
2022-05-20T05:13:34,0,100,0,100
2022-05-20T05:23:49,0,100,0,100
2022-05-20T05:34:05,0,100,0,100
2022-05-20T05:44:20,0,100,0,100
2022-05-20T05:54:36,0,100,0,100
2022-05-20T06:04:52,0,100,0,100
2022-05-20T06:15:06,0,100,0,100
2022-05-20T06:25:22,0,100,0,100
2022-05-20T06:35:37,0,100,0,100
2022-05-20T06:45:51,0,100,0,100
2022-05-20T06:56:04,0,100,0,100
2022-05-20T07:06:21,0,100,0,100
2022-05-20T07:16:35,0,100,0,100
2022-05-20T07:26:48,0,100,0,100
2022-05-20T07:37:02,0,100,0,100
2022-05-20T07:47:17,0,100,0,100
2022-05-20T07:57:31,0,100,0,100
2022-05-20T08:07:45,0,100,0,100
2022-05-20T08:17:59,0,100,0,100
2022-05-20T08:28:15,0,100,0,100
2022-05-20T08:38:29,0,100,0,100
2022-05-20T08:48:44,0,100,0,100
2022-05-20T08:58:59,0,100,0,100
2022-05-20T09:09:26,0,100,0,100
2022-05-20T09:19:42,0,100,0,100
2022-05-20T09:29:58,0,100,0,100
2022-05-20T09:40:14,0,100,0,100
2022-05-20T09:50:30,0,100,0,100
2022-05-20T10:00:46,0,100,0,100
2022-05-20T10:11:03,0,100,0,100
2022-05-20T10:21:18,0,100,0,100
2022-05-20T10:31:34,0,100,0,100
2022-05-20T10:41:49,0,100,0,100
2022-05-20T10:52:18,0,100,0,100
2022-05-20T11:02:35,0,100,0,100
2022-05-20T11:12:51,0,100,0,100
2022-05-20T11:23:07,0,100,0,100
2022-05-20T11:33:23,0,100,0,100
2022-05-20T11:43:39,0,100,0,100
2022-05-20T11:54:09,1,99,0,100
2022-05-20T12:04:25,1,99,0,100
2022-05-20T12:14:40,1,99,0,100
2022-05-20T12:24:55,1,99,0,100
2022-05-20T12:35:10,1,99,0,100
2022-05-20T12:45:26,1,99,0,100
2022-05-20T12:55:42,1,99,0,100
2022-05-20T13:06:09,1,99,0,100
2022-05-20T13:16:25,1,99,0,100
2022-05-20T13:26:41,1,99,0,100
2022-05-20T13:36:58,1,99,0,100
2022-05-20T13:47:14,1,99,0,100
2022-05-20T13:57:30,1,99,0,100
2022-05-20T14:07:56,1,99,0,100
2022-05-20T14:18:11,1,99,0,100
2022-05-20T14:28:27,1,99,0,100
2022-05-20T14:38:43,1,99,0,100
2022-05-20T14:48:58,1,99,0,100
2022-05-20T14:59:14,1,99,0,100
2022-05-20T15:09:40,1,99,0,100
2022-05-20T15:19:55,1,99,0,100
2022-05-20T15:30:11,1,99,0,100
2022-05-20T15:40:25,1,99,0,100
2022-05-20T15:50:40,1,99,0,100
2022-05-20T16:00:56,1,99,0,100
2022-05-20T16:11:11,1,99,0,100
2022-05-20T16:21:36,1,99,0,100
2022-05-20T16:31:51,1,99,0,100
2022-05-20T16:42:05,1,99,0,100
2022-05-20T16:52:19,1,99,0,100
2022-05-20T17:02:34,1,99,0,100
2022-05-20T17:12:48,1,99,0,100
2022-05-20T17:23:02,1,99,0,100
2022-05-20T17:33:16,1,99,0,100
2022-05-20T17:43:30,1,99,0,100
2022-05-20T17:53:44,1,99,0,100
2022-05-20T18:03:58,1,99,0,100
2022-05-20T18:14:21,1,99,0,100
2022-05-20T18:24:34,1,99,0,100
2022-05-20T18:34:48,1,99,0,100
2022-05-20T18:45:01,1,99,0,100
2022-05-20T18:55:14,1,99,0,100
2022-05-20T19:05:28,1,99,0,100
2022-05-20T19:15:42,1,99,0,100
2022-05-20T19:25:56,1,99,0,100
2022-05-20T19:36:10,1,99,0,100
2022-05-20T19:46:24,1,99,0,100
2022-05-20T19:56:48,1,99,0,100
2022-05-20T20:07:02,1,99,0,100
2022-05-20T20:17:15,1,99,0,100
2022-05-20T20:27:29,1,99,0,100
2022-05-20T20:37:42,1,99,0,100
2022-05-20T20:47:56,1,99,0,100
2022-05-20T20:58:09,1,99,0,100
2022-05-20T21:08:23,1,99,0,100
2022-05-20T21:18:36,1,99,0,100
2022-05-20T21:29:01,1,99,0,100
2022-05-20T21:39:14,1,99,0,100
2022-05-20T21:49:28,1,99,0,100
2022-05-20T21:59:42,1,99,0,100
2022-05-20T22:09:56,1,99,0,100
2022-05-20T22:20:11,1,99,0,100
2022-05-20T22:30:25,1,99,0,100
2022-05-20T22:40:38,1,99,0,100
2022-05-20T22:50:51,1,99,0,100
2022-05-20T23:01:05,1,99,0,100
2022-05-20T23:11:19,1,99,0,100
2022-05-20T23:21:44,1,99,0,100
2022-05-20T23:31:57,1,99,0,100
2022-05-20T23:42:11,1,99,0,100
