time,enrolled,available,waitlisted,total
2022-05-18T04:35:47,0,48,0,48
2022-05-18T04:46:21,0,48,0,48
2022-05-18T04:56:31,0,48,0,48
2022-05-18T05:06:42,0,48,0,48
2022-05-18T05:16:52,0,48,0,48
2022-05-18T05:27:04,0,48,0,48
2022-05-18T05:37:14,0,48,0,48
2022-05-18T05:47:23,0,48,0,48
2022-05-18T05:57:33,0,48,0,48
2022-05-18T06:07:47,0,48,0,48
2022-05-18T06:17:55,0,48,0,48
2022-05-18T06:28:03,0,48,0,48
2022-05-18T06:38:11,0,48,0,48
2022-05-18T06:48:18,0,48,0,48
2022-05-18T06:58:26,0,48,0,48
2022-05-18T07:08:35,0,48,0,48
2022-05-18T07:18:43,0,48,0,48
2022-05-18T07:28:51,0,48,0,48
2022-05-18T07:38:59,0,48,0,48
2022-05-18T07:49:07,0,48,0,48
2022-05-18T07:59:15,0,48,0,48
2022-05-18T08:09:23,0,48,0,48
2022-05-18T08:19:31,0,48,0,48
2022-05-18T08:29:40,0,48,0,48
2022-05-18T08:39:48,0,48,0,48
2022-05-18T08:49:58,0,48,0,48
2022-05-18T09:00:07,0,48,0,48
2022-05-18T09:10:28,0,48,0,48
2022-05-18T09:20:37,0,48,0,48
2022-05-18T09:30:46,0,48,0,48
2022-05-18T09:40:55,0,48,0,48
2022-05-18T09:51:04,0,48,0,48
2022-05-18T10:01:15,0,48,0,48
2022-05-18T10:11:27,0,48,0,48
2022-05-18T10:21:38,0,48,0,48
2022-05-18T10:31:49,0,48,0,48
2022-05-18T10:42:11,0,48,0,48
2022-05-18T10:52:21,0,48,0,48
2022-05-18T11:02:31,0,48,0,48
2022-05-18T11:12:41,0,48,0,48
2022-05-18T11:22:50,0,48,0,48
2022-05-18T11:32:59,0,48,0,48
2022-05-18T11:43:08,0,48,0,48
2022-05-18T11:53:28,0,48,0,48
2022-05-18T12:03:36,0,48,0,48
2022-05-18T12:13:44,0,48,0,48
2022-05-18T12:23:53,0,48,0,48
2022-05-18T12:34:03,0,48,0,48
2022-05-18T12:44:13,0,48,0,48
2022-05-18T12:54:24,0,48,0,48
2022-05-18T13:04:34,0,48,0,48
2022-05-18T13:14:55,0,48,0,48
2022-05-18T13:25:05,0,48,0,48
2022-05-18T13:35:15,0,48,0,48
2022-05-18T13:45:26,0,48,0,48
2022-05-18T13:55:37,0,48,0,48
2022-05-18T14:05:47,0,48,0,48
2022-05-18T14:15:58,0,48,0,48
2022-05-18T14:26:20,0,48,0,48
2022-05-18T14:36:30,0,48,0,48
2022-05-18T14:46:40,0,48,0,48
2022-05-18T14:56:51,0,48,0,48
2022-05-18T15:07:03,0,48,0,48
2022-05-18T15:17:14,0,48,0,48
2022-05-18T15:27:24,0,48,0,48
2022-05-18T15:37:45,0,48,0,48
2022-05-18T15:47:56,0,48,0,48
2022-05-18T15:58:07,0,48,0,48
2022-05-18T16:08:18,0,48,0,48
2022-05-18T16:18:29,0,48,0,48
2022-05-18T16:28:39,0,48,0,48
2022-05-18T16:38:48,0,48,0,48
2022-05-18T16:48:58,0,48,0,48
2022-05-18T16:59:18,0,48,0,48
2022-05-18T17:09:29,0,48,0,48
2022-05-18T17:19:39,0,48,0,48
2022-05-18T17:29:48,0,48,0,48
2022-05-18T17:39:57,0,48,0,48
2022-05-18T17:50:06,0,48,0,48
2022-05-18T18:00:16,0,48,0,48
2022-05-18T18:10:25,0,48,0,48
2022-05-18T18:20:35,0,48,0,48
2022-05-18T18:30:45,0,48,0,48
2022-05-18T18:41:05,0,48,0,48
2022-05-18T18:51:14,0,48,0,48
2022-05-18T19:01:23,0,48,0,48
2022-05-18T19:11:31,0,48,0,48
2022-05-18T19:21:41,0,48,0,48
2022-05-18T19:31:50,0,48,0,48
2022-05-18T19:41:59,0,48,0,48
2022-05-18T19:52:08,0,48,0,48
2022-05-18T20:02:17,0,48,0,48
2022-05-18T20:12:26,0,48,0,48
2022-05-18T20:22:46,0,48,0,48
2022-05-18T20:32:54,0,48,0,48
2022-05-18T20:43:03,0,48,0,48
2022-05-18T20:53:12,0,48,0,48
2022-05-18T21:03:20,0,48,0,48
2022-05-18T21:13:31,0,48,0,48
2022-05-18T21:23:40,0,48,0,48
2022-05-18T21:33:49,0,48,0,48
2022-05-18T21:43:58,0,48,0,48
2022-05-18T21:54:17,0,48,0,48
2022-05-18T22:04:26,0,48,0,48
2022-05-18T22:14:35,0,48,0,48
2022-05-18T22:24:44,0,48,0,48
2022-05-18T22:34:53,0,48,0,48
2022-05-18T22:45:01,0,48,0,48
2022-05-18T22:55:10,0,48,0,48
2022-05-18T23:05:20,0,48,0,48
2022-05-18T23:15:30,0,48,0,48
2022-05-18T23:25:41,0,48,0,48
2022-05-18T23:36:03,0,48,0,48
2022-05-18T23:46:12,0,48,0,48
2022-05-18T23:56:20,0,48,0,48
2022-05-19T00:06:32,0,48,0,48
2022-05-19T00:16:44,0,48,0,48
2022-05-19T00:26:56,0,48,0,48
2022-05-19T00:37:12,0,48,0,48
2022-05-19T00:47:24,0,48,0,48
2022-05-19T00:57:35,0,48,0,48
2022-05-19T01:07:45,0,48,0,48
2022-05-19T01:17:55,0,48,0,48
2022-05-19T01:28:04,0,48,0,48
2022-05-19T01:38:13,0,48,0,48
2022-05-19T01:48:24,0,48,0,48
2022-05-19T01:58:44,0,48,0,48
2022-05-19T02:08:54,0,48,0,48
2022-05-19T02:19:03,0,48,0,48
2022-05-19T02:29:11,0,48,0,48
2022-05-19T02:39:20,0,48,0,48
2022-05-19T02:49:28,0,48,0,48
2022-05-19T02:59:36,0,48,0,48
2022-05-19T03:09:45,0,48,0,48
2022-05-19T03:19:57,0,48,0,48
2022-05-19T03:30:16,0,48,0,48
2022-05-19T03:40:27,0,48,0,48
2022-05-19T03:50:38,0,48,0,48
2022-05-19T04:00:48,0,48,0,48
2022-05-19T04:10:59,0,48,0,48
2022-05-19T04:26:59,0,48,0,48
2022-05-19T04:38:33,0,48,0,48
2022-05-19T04:48:46,0,48,0,48
2022-05-19T04:58:57,0,48,0,48
2022-05-19T05:09:10,0,48,0,48
2022-05-19T05:19:21,0,48,0,48
2022-05-19T05:29:32,0,48,0,48
2022-05-19T05:39:42,0,48,0,48
2022-05-19T05:49:52,0,48,0,48
2022-05-19T06:00:03,0,48,0,48
2022-05-19T06:10:14,0,48,0,48
2022-05-19T06:20:26,0,48,0,48
2022-05-19T06:30:36,0,48,0,48
2022-05-19T06:40:48,0,48,0,48
2022-05-19T06:50:58,0,48,0,48
2022-05-19T07:01:08,0,48,0,48
2022-05-19T07:11:23,0,48,0,48
2022-05-19T07:21:33,0,48,0,48
2022-05-19T07:31:42,0,48,0,48
2022-05-19T07:41:52,0,48,0,48
2022-05-19T07:52:01,0,48,0,48
2022-05-19T08:02:10,0,48,0,48
2022-05-19T08:12:19,0,48,0,48
2022-05-19T08:22:28,0,48,0,48
2022-05-19T08:32:38,0,48,0,48
2022-05-19T08:42:48,0,48,0,48
2022-05-19T08:52:59,0,48,0,48
