time,enrolled,available,waitlisted,total
2022-05-18T04:35:49,0,120,0,120
2022-05-18T04:46:22,0,120,0,120
2022-05-18T04:56:32,0,120,0,120
2022-05-18T05:06:44,0,120,0,120
2022-05-18T05:16:53,0,120,0,120
2022-05-18T05:27:05,0,120,0,120
2022-05-18T05:37:15,0,120,0,120
2022-05-18T05:47:24,0,120,0,120
2022-05-18T05:57:35,0,120,0,120
2022-05-18T06:07:48,0,120,0,120
2022-05-18T06:17:56,0,120,0,120
2022-05-18T06:28:05,0,120,0,120
2022-05-18T06:38:12,0,120,0,120
2022-05-18T06:48:20,0,120,0,120
2022-05-18T06:58:27,0,120,0,120
2022-05-18T07:08:37,0,120,0,120
2022-05-18T07:18:45,0,120,0,120
2022-05-18T07:28:52,0,120,0,120
2022-05-18T07:39:00,0,120,0,120
2022-05-18T07:49:08,0,120,0,120
2022-05-18T07:59:16,0,120,0,120
2022-05-18T08:09:24,0,120,0,120
2022-05-18T08:19:32,0,120,0,120
2022-05-18T08:29:41,0,120,0,120
2022-05-18T08:39:50,0,120,0,120
2022-05-18T08:50:00,0,120,0,120
2022-05-18T09:00:09,0,120,0,120
2022-05-18T09:10:30,0,120,0,120
2022-05-18T09:20:38,0,120,0,120
2022-05-18T09:30:48,0,120,0,120
2022-05-18T09:40:56,0,120,0,120
2022-05-18T09:51:05,0,120,0,120
2022-05-18T10:01:17,0,120,0,120
2022-05-18T10:11:29,0,120,0,120
2022-05-18T10:21:40,0,120,0,120
2022-05-18T10:31:50,0,120,0,120
2022-05-18T10:42:13,0,120,0,120
2022-05-18T10:52:23,0,120,0,120
2022-05-18T11:02:33,0,120,0,120
2022-05-18T11:12:43,0,120,0,120
2022-05-18T11:22:52,0,120,0,120
2022-05-18T11:33:01,0,120,0,120
2022-05-18T11:43:10,0,120,0,120
2022-05-18T11:53:29,0,120,0,120
2022-05-18T12:03:37,0,120,0,120
2022-05-18T12:13:46,0,120,0,120
2022-05-18T12:23:54,0,120,0,120
2022-05-18T12:34:05,0,120,0,120
2022-05-18T12:44:15,0,120,0,120
2022-05-18T12:54:25,0,120,0,120
2022-05-18T13:04:36,0,120,0,120
2022-05-18T13:14:56,0,120,0,120
2022-05-18T13:25:06,0,120,0,120
2022-05-18T13:35:17,0,120,0,120
2022-05-18T13:45:28,0,120,0,120
2022-05-18T13:55:39,0,120,0,120
2022-05-18T14:05:49,0,120,0,120
2022-05-18T14:15:59,0,120,0,120
2022-05-18T14:26:21,0,120,0,120
2022-05-18T14:36:32,0,120,0,120
2022-05-18T14:46:42,0,120,0,120
2022-05-18T14:56:52,0,120,0,120
2022-05-18T15:07:04,0,120,0,120
2022-05-18T15:17:15,0,120,0,120
2022-05-18T15:27:25,0,120,0,120
2022-05-18T15:37:47,0,120,0,120
2022-05-18T15:47:57,0,120,0,120
2022-05-18T15:58:08,0,120,0,120
2022-05-18T16:08:19,0,120,0,120
2022-05-18T16:18:30,0,120,0,120
2022-05-18T16:28:40,0,120,0,120
2022-05-18T16:38:50,0,120,0,120
2022-05-18T16:49:00,0,120,0,120
2022-05-18T16:59:20,0,120,0,120
2022-05-18T17:09:30,0,120,0,120
2022-05-18T17:19:40,0,120,0,120
2022-05-18T17:29:50,0,120,0,120
2022-05-18T17:39:59,0,120,0,120
2022-05-18T17:50:08,0,120,0,120
2022-05-18T18:00:17,0,120,0,120
2022-05-18T18:10:27,0,120,0,120
2022-05-18T18:20:37,0,120,0,120
2022-05-18T18:30:47,0,120,0,120
2022-05-18T18:41:07,0,120,0,120
2022-05-18T18:51:15,0,120,0,120
2022-05-18T19:01:24,0,120,0,120
2022-05-18T19:11:33,0,120,0,120
2022-05-18T19:21:42,0,120,0,120
2022-05-18T19:31:51,0,120,0,120
2022-05-18T19:42:01,0,120,0,120
2022-05-18T19:52:09,0,120,0,120
2022-05-18T20:02:19,0,120,0,120
2022-05-18T20:12:28,0,120,0,120
2022-05-18T20:22:47,0,120,0,120
2022-05-18T20:32:56,0,120,0,120
2022-05-18T20:43:05,0,120,0,120
2022-05-18T20:53:14,0,120,0,120
2022-05-18T21:03:22,0,120,0,120
2022-05-18T21:13:33,0,120,0,120
2022-05-18T21:23:42,0,120,0,120
2022-05-18T21:33:51,0,120,0,120
2022-05-18T21:44:00,0,120,0,120
2022-05-18T21:54:18,0,120,0,120
2022-05-18T22:04:27,0,120,0,120
2022-05-18T22:14:36,0,120,0,120
2022-05-18T22:24:45,0,120,0,120
2022-05-18T22:34:54,0,120,0,120
2022-05-18T22:45:03,0,120,0,120
2022-05-18T22:55:12,0,120,0,120
2022-05-18T23:05:22,0,120,0,120
2022-05-18T23:15:31,0,120,0,120
2022-05-18T23:25:43,0,120,0,120
2022-05-18T23:36:04,0,120,0,120
2022-05-18T23:46:13,0,120,0,120
2022-05-18T23:56:22,0,120,0,120
2022-05-19T00:06:33,0,120,0,120
2022-05-19T00:16:45,0,120,0,120
2022-05-19T00:26:57,0,120,0,120
2022-05-19T00:37:13,0,120,0,120
2022-05-19T00:47:26,0,120,0,120
2022-05-19T00:57:37,0,120,0,120
2022-05-19T01:07:46,0,120,0,120
2022-05-19T01:17:56,0,120,0,120
2022-05-19T01:28:06,0,120,0,120
2022-05-19T01:38:15,0,120,0,120
2022-05-19T01:48:25,0,120,0,120
2022-05-19T01:58:45,0,120,0,120
2022-05-19T02:08:56,0,120,0,120
2022-05-19T02:19:05,0,120,0,120
2022-05-19T02:29:13,0,120,0,120
2022-05-19T02:39:21,0,120,0,120
2022-05-19T02:49:29,0,120,0,120
2022-05-19T02:59:37,0,120,0,120
2022-05-19T03:09:47,0,120,0,120
2022-05-19T03:19:58,0,120,0,120
2022-05-19T03:30:17,0,120,0,120
2022-05-19T03:40:29,0,120,0,120
2022-05-19T03:50:39,0,120,0,120
2022-05-19T04:00:50,0,120,0,120
2022-05-19T04:11:01,0,120,0,120
2022-05-19T04:27:00,0,120,0,120
2022-05-19T04:38:35,0,120,0,120
