time,enrolled,available,waitlisted,total
2022-05-20T04:32:49,0,15,0,15
2022-05-20T04:43:06,0,15,0,15
2022-05-20T04:53:22,0,15,0,15
2022-05-20T05:03:39,0,15,0,15
2022-05-20T05:13:54,0,15,0,15
2022-05-20T05:24:09,0,15,0,15
2022-05-20T05:34:25,0,15,0,15
2022-05-20T05:44:41,0,15,0,15
2022-05-20T05:54:56,0,15,0,15
2022-05-20T06:05:12,0,15,0,15
2022-05-20T06:15:26,0,15,0,15
2022-05-20T06:25:43,0,15,0,15
2022-05-20T06:35:57,0,15,0,15
2022-05-20T06:46:11,0,15,0,15
2022-05-20T06:56:24,0,15,0,15
2022-05-20T07:06:41,0,15,0,15
2022-05-20T07:16:55,0,15,0,15
2022-05-20T07:27:08,0,15,0,15
2022-05-20T07:37:22,0,15,0,15
2022-05-20T07:47:37,0,15,0,15
2022-05-20T07:57:51,0,15,0,15
2022-05-20T08:08:05,0,15,0,15
2022-05-20T08:18:19,0,15,0,15
2022-05-20T08:28:35,0,15,0,15
2022-05-20T08:38:49,0,15,0,15
2022-05-20T08:49:04,0,15,0,15
2022-05-20T08:59:19,0,15,0,15
2022-05-20T09:09:46,0,15,0,15
2022-05-20T09:20:02,0,15,0,15
2022-05-20T09:30:18,0,15,0,15
2022-05-20T09:40:34,0,15,0,15
2022-05-20T09:50:50,0,15,0,15
2022-05-20T10:01:06,0,15,0,15
2022-05-20T10:11:23,0,15,0,15
2022-05-20T10:21:38,0,15,0,15
2022-05-20T10:31:54,0,15,0,15
2022-05-20T10:42:10,0,15,0,15
2022-05-20T10:52:39,0,15,0,15
2022-05-20T11:02:55,0,15,0,15
2022-05-20T11:13:11,0,15,0,15
2022-05-20T11:23:27,0,15,0,15
2022-05-20T11:33:43,0,15,0,15
2022-05-20T11:43:59,0,15,0,15
2022-05-20T11:54:29,0,15,0,15
2022-05-20T12:04:45,0,15,0,15
2022-05-20T12:15:00,0,15,0,15
2022-05-20T12:25:15,0,15,0,15
2022-05-20T12:35:30,0,15,0,15
2022-05-20T12:45:46,0,15,0,15
2022-05-20T12:56:02,0,15,0,15
2022-05-20T13:06:29,0,15,0,15
2022-05-20T13:16:45,0,15,0,15
2022-05-20T13:27:01,0,15,0,15
2022-05-20T13:37:18,0,15,0,15
2022-05-20T13:47:34,0,15,0,15
2022-05-20T13:57:50,0,15,0,15
2022-05-20T14:08:16,0,15,0,15
2022-05-20T14:18:31,0,15,0,15
2022-05-20T14:28:47,0,15,0,15
2022-05-20T14:39:03,0,15,0,15
2022-05-20T14:49:18,0,15,0,15
2022-05-20T14:59:34,0,15,0,15
2022-05-20T15:10:00,0,15,0,15
2022-05-20T15:20:15,0,15,0,15
2022-05-20T15:30:31,0,15,0,15
2022-05-20T15:40:45,0,15,0,15
2022-05-20T15:51:01,0,15,0,15
2022-05-20T16:01:16,0,15,0,15
2022-05-20T16:11:31,0,15,0,15
2022-05-20T16:21:56,0,15,0,15
2022-05-20T16:32:11,0,15,0,15
2022-05-20T16:42:25,0,15,0,15
2022-05-20T16:52:39,0,15,0,15
2022-05-20T17:02:54,0,15,0,15
2022-05-20T17:13:08,0,15,0,15
2022-05-20T17:23:22,0,15,0,15
2022-05-20T17:33:36,0,15,0,15
2022-05-20T17:43:50,0,15,0,15
2022-05-20T17:54:04,0,15,0,15
2022-05-20T18:04:18,0,15,0,15
2022-05-20T18:14:41,0,15,0,15
2022-05-20T18:24:54,0,15,0,15
2022-05-20T18:35:08,0,15,0,15
2022-05-20T18:45:21,0,15,0,15
2022-05-20T18:55:34,0,15,0,15
2022-05-20T19:05:48,0,15,0,15
2022-05-20T19:16:02,0,15,0,15
2022-05-20T19:26:16,0,15,0,15
2022-05-20T19:36:30,0,15,0,15
2022-05-20T19:46:45,0,15,0,15
2022-05-20T19:57:08,0,15,0,15
2022-05-20T20:07:22,0,15,0,15
2022-05-20T20:17:35,0,15,0,15
2022-05-20T20:27:49,0,15,0,15
2022-05-20T20:38:02,0,15,0,15
2022-05-20T20:48:16,0,15,0,15
2022-05-20T20:58:29,0,15,0,15
2022-05-20T21:08:43,0,15,0,15
2022-05-20T21:18:57,0,15,0,15
2022-05-20T21:29:21,0,15,0,15
2022-05-20T21:39:34,0,15,0,15
2022-05-20T21:49:48,0,15,0,15
2022-05-20T22:00:02,0,15,0,15
2022-05-20T22:10:16,0,15,0,15
2022-05-20T22:20:31,0,15,0,15
2022-05-20T22:30:45,0,15,0,15
2022-05-20T22:40:58,0,15,0,15
2022-05-20T22:51:11,0,15,0,15
2022-05-20T23:01:25,0,15,0,15
2022-05-20T23:11:40,0,15,0,15
2022-05-20T23:22:04,0,15,0,15
2022-05-20T23:32:17,0,15,0,15
2022-05-20T23:42:31,0,15,0,15
2022-05-20T23:52:44,0,15,0,15
2022-05-21T00:02:59,0,15,0,15
2022-05-21T00:13:15,0,15,0,15
2022-05-21T00:23:31,0,15,0,15
2022-05-21T00:33:47,0,15,0,15
2022-05-21T00:44:03,0,15,0,15
2022-05-21T00:54:18,0,15,0,15
2022-05-21T01:04:33,0,15,0,15
2022-05-21T01:14:49,0,15,0,15
2022-05-21T01:25:03,0,15,0,15
2022-05-21T01:35:19,0,15,0,15
2022-05-21T01:45:34,0,15,0,15
2022-05-21T01:55:48,0,15,0,15
2022-05-21T02:06:12,0,15,0,15
2022-05-21T02:16:26,0,15,0,15
2022-05-21T02:26:40,0,15,0,15
2022-05-21T02:36:53,0,15,0,15
2022-05-21T02:47:06,0,15,0,15
2022-05-21T02:57:19,0,15,0,15
2022-05-21T03:07:31,0,15,0,15
2022-05-21T03:17:47,0,15,0,15
2022-05-21T03:28:06,0,15,0,15
2022-05-21T03:38:21,0,15,0,15
2022-05-21T03:48:37,0,15,0,15
2022-05-21T03:58:52,0,15,0,15
2022-05-21T04:09:07,0,15,0,15
2022-05-21T04:24:28,0,15,0,15
2022-05-21T04:35:53,0,15,0,15
2022-05-21T04:46:25,0,15,0,15
2022-05-21T04:56:40,0,15,0,15
2022-05-21T05:06:56,0,15,0,15
2022-05-21T05:17:12,0,15,0,15
2022-05-21T05:27:28,0,15,0,15
2022-05-21T05:37:44,0,15,0,15
2022-05-21T05:48:00,0,15,0,15
2022-05-21T05:58:15,0,15,0,15
2022-05-21T06:08:31,0,15,0,15
2022-05-21T06:18:45,0,15,0,15
2022-05-21T06:29:02,0,15,0,15
2022-05-21T06:39:17,0,15,0,15
2022-05-21T06:49:33,0,15,0,15
2022-05-21T06:59:48,0,15,0,15
2022-05-21T07:10:04,0,15,0,15
2022-05-21T07:20:19,0,15,0,15
2022-05-21T07:30:34,0,15,0,15
2022-05-21T07:40:49,0,15,0,15
2022-05-21T07:51:04,0,15,0,15
2022-05-21T08:01:19,0,15,0,15
2022-05-21T08:11:33,0,15,0,15
2022-05-21T08:21:50,0,15,0,15
2022-05-21T08:32:04,0,15,0,15
2022-05-21T08:42:19,0,15,0,15
2022-05-21T08:52:55,0,15,0,15
2022-05-21T09:03:09,0,15,0,15
2022-05-21T09:13:22,0,15,0,15
2022-05-21T09:23:35,0,15,0,15
2022-05-21T09:33:48,0,15,0,15
2022-05-21T09:44:01,0,15,0,15
2022-05-21T09:54:15,0,15,0,15
2022-05-21T10:04:28,0,15,0,15
2022-05-21T10:14:41,0,15,0,15
2022-05-21T10:24:54,0,15,0,15
2022-05-21T10:35:08,0,15,0,15
2022-05-21T10:45:21,0,15,0,15
2022-05-21T10:55:34,0,15,0,15
2022-05-21T11:05:48,0,15,0,15
2022-05-21T11:16:12,0,15,0,15
2022-05-21T11:26:26,0,15,0,15
2022-05-21T11:36:40,0,15,0,15
2022-05-21T11:46:54,0,15,0,15
2022-05-21T11:57:07,0,15,0,15
2022-05-21T12:07:21,0,15,0,15
2022-05-21T12:17:35,0,15,0,15
2022-05-21T12:27:48,0,15,0,15
2022-05-21T12:38:22,0,15,0,15
2022-05-21T12:48:35,0,15,0,15
2022-05-21T12:58:49,0,15,0,15
2022-05-21T13:09:02,0,15,0,15
2022-05-21T13:19:16,0,15,0,15
2022-05-21T13:29:29,0,15,0,15
2022-05-21T13:39:43,0,15,0,15
