time,enrolled,available,waitlisted,total
2022-05-18T04:36:12,0,60,0,60
2022-05-18T04:46:34,0,60,0,60
2022-05-18T04:56:44,0,60,0,60
2022-05-18T05:06:56,0,60,0,60
2022-05-18T05:17:05,0,60,0,60
2022-05-18T05:27:17,0,60,0,60
2022-05-18T05:37:27,0,60,0,60
2022-05-18T05:47:36,0,60,0,60
2022-05-18T05:57:47,0,60,0,60
2022-05-18T06:08:00,0,60,0,60
2022-05-18T06:18:08,0,60,0,60
2022-05-18T06:28:16,0,60,0,60
2022-05-18T06:38:24,0,60,0,60
2022-05-18T06:48:32,0,60,0,60
2022-05-18T06:58:39,0,60,0,60
2022-05-18T07:08:48,0,60,0,60
2022-05-18T07:18:56,0,60,0,60
2022-05-18T07:29:04,0,60,0,60
2022-05-18T07:39:12,0,60,0,60
2022-05-18T07:49:20,0,60,0,60
2022-05-18T07:59:28,0,60,0,60
2022-05-18T08:09:36,0,60,0,60
2022-05-18T08:19:44,0,60,0,60
2022-05-18T08:29:53,0,60,0,60
2022-05-18T08:40:02,0,60,0,60
2022-05-18T08:50:11,0,60,0,60
2022-05-18T09:00:20,0,60,0,60
2022-05-18T09:10:41,0,60,0,60
2022-05-18T09:20:50,0,60,0,60
2022-05-18T09:30:59,0,60,0,60
2022-05-18T09:41:08,0,60,0,60
2022-05-18T09:51:17,0,60,0,60
2022-05-18T10:01:29,0,60,0,60
2022-05-18T10:11:40,0,60,0,60
2022-05-18T10:21:51,0,60,0,60
2022-05-18T10:32:02,0,60,0,60
2022-05-18T10:42:24,0,60,0,60
2022-05-18T10:52:34,0,60,0,60
2022-05-18T11:02:45,0,60,0,60
2022-05-18T11:12:55,0,60,0,60
2022-05-18T11:23:03,0,60,0,60
2022-05-18T11:33:13,0,60,0,60
2022-05-18T11:43:21,0,60,0,60
2022-05-18T11:53:41,0,60,0,60
2022-05-18T12:03:49,0,60,0,60
2022-05-18T12:13:57,0,60,0,60
2022-05-18T12:24:06,0,60,0,60
2022-05-18T12:34:16,0,60,0,60
2022-05-18T12:44:26,0,60,0,60
2022-05-18T12:54:37,0,60,0,60
2022-05-18T13:04:47,0,60,0,60
2022-05-18T13:15:08,0,60,0,60
2022-05-18T13:25:18,0,60,0,60
2022-05-18T13:35:29,0,60,0,60
2022-05-18T13:45:40,0,60,0,60
2022-05-18T13:55:50,0,60,0,60
2022-05-18T14:06:01,0,60,0,60
2022-05-18T14:16:11,0,60,0,60
2022-05-18T14:26:33,0,60,0,60
2022-05-18T14:36:43,0,60,0,60
2022-05-18T14:46:53,0,60,0,60
2022-05-18T14:57:04,0,60,0,60
2022-05-18T15:07:16,0,60,0,60
2022-05-18T15:17:27,0,60,0,60
2022-05-18T15:27:37,0,60,0,60
2022-05-18T15:37:58,0,60,0,60
2022-05-18T15:48:09,0,60,0,60
2022-05-18T15:58:20,0,60,0,60
2022-05-18T16:08:31,0,60,0,60
2022-05-18T16:18:42,0,60,0,60
2022-05-18T16:28:52,0,60,0,60
2022-05-18T16:39:02,0,60,0,60
2022-05-18T16:49:11,0,60,0,60
2022-05-18T16:59:32,0,60,0,60
2022-05-18T17:09:42,0,60,0,60
2022-05-18T17:19:52,0,60,0,60
2022-05-18T17:30:01,0,60,0,60
2022-05-18T17:40:11,0,60,0,60
2022-05-18T17:50:19,0,60,0,60
2022-05-18T18:00:29,0,60,0,60
2022-05-18T18:10:38,0,60,0,60
2022-05-18T18:20:49,0,60,0,60
2022-05-18T18:30:59,0,60,0,60
2022-05-18T18:41:18,0,60,0,60
2022-05-18T18:51:27,0,60,0,60
2022-05-18T19:01:36,0,60,0,60
2022-05-18T19:11:45,0,60,0,60
2022-05-18T19:21:54,0,60,0,60
2022-05-18T19:32:03,0,60,0,60
2022-05-18T19:42:12,0,60,0,60
2022-05-18T19:52:21,0,60,0,60
2022-05-18T20:02:30,0,60,0,60
2022-05-18T20:12:39,0,60,0,60
2022-05-18T20:22:59,0,60,0,60
2022-05-18T20:33:07,0,60,0,60
2022-05-18T20:43:16,0,60,0,60
2022-05-18T20:53:25,0,60,0,60
2022-05-18T21:03:34,0,60,0,60
2022-05-18T21:13:44,0,60,0,60
2022-05-18T21:23:53,0,60,0,60
2022-05-18T21:34:02,0,60,0,60
2022-05-18T21:44:11,0,60,0,60
2022-05-18T21:54:30,0,60,0,60
2022-05-18T22:04:39,0,60,0,60
2022-05-18T22:14:48,0,60,0,60
2022-05-18T22:24:57,0,60,0,60
2022-05-18T22:35:06,0,60,0,60
2022-05-18T22:45:15,0,60,0,60
2022-05-18T22:55:24,0,60,0,60
2022-05-18T23:05:33,0,60,0,60
2022-05-18T23:15:43,0,60,0,60
2022-05-18T23:25:54,0,60,0,60
2022-05-18T23:36:16,0,60,0,60
2022-05-18T23:46:25,0,60,0,60
2022-05-18T23:56:33,0,60,0,60
2022-05-19T00:06:45,0,60,0,60
2022-05-19T00:16:57,0,60,0,60
2022-05-19T00:27:09,0,60,0,60
2022-05-19T00:37:25,0,60,0,60
2022-05-19T00:47:37,0,60,0,60
2022-05-19T00:57:48,0,60,0,60
2022-05-19T01:07:58,0,60,0,60
2022-05-19T01:18:08,0,60,0,60
2022-05-19T01:28:17,0,60,0,60
2022-05-19T01:38:27,0,60,0,60
2022-05-19T01:48:37,0,60,0,60
2022-05-19T01:58:57,0,60,0,60
2022-05-19T02:09:07,0,60,0,60
2022-05-19T02:19:16,0,60,0,60
2022-05-19T02:29:25,0,60,0,60
2022-05-19T02:39:33,0,60,0,60
2022-05-19T02:49:41,0,60,0,60
2022-05-19T02:59:49,0,60,0,60
2022-05-19T03:09:58,0,60,0,60
2022-05-19T03:20:10,0,60,0,60
2022-05-19T03:30:29,0,60,0,60
2022-05-19T03:40:40,0,60,0,60
2022-05-19T03:50:51,0,60,0,60
2022-05-19T04:01:02,0,60,0,60
2022-05-19T04:11:13,0,60,0,60
2022-05-19T04:27:12,0,60,0,60
2022-05-19T04:38:47,0,60,0,60
2022-05-19T04:48:59,0,60,0,60
2022-05-19T04:59:10,0,60,0,60
2022-05-19T05:09:23,0,60,0,60
2022-05-19T05:19:34,0,60,0,60
2022-05-19T05:29:45,0,60,0,60
2022-05-19T05:39:55,0,60,0,60
2022-05-19T05:50:05,0,60,0,60
2022-05-19T06:00:17,0,60,0,60
2022-05-19T06:10:27,0,60,0,60
2022-05-19T06:20:39,0,60,0,60
2022-05-19T06:30:50,0,60,0,60
2022-05-19T06:41:01,0,60,0,60
2022-05-19T06:51:11,0,60,0,60
2022-05-19T07:01:21,0,60,0,60
2022-05-19T07:11:36,0,60,0,60
2022-05-19T07:21:46,0,60,0,60
2022-05-19T07:31:55,0,60,0,60
2022-05-19T07:42:05,0,60,0,60
2022-05-19T07:52:14,0,60,0,60
2022-05-19T08:02:23,0,60,0,60
2022-05-19T08:12:32,0,60,0,60
2022-05-19T08:22:41,0,60,0,60
2022-05-19T08:32:51,0,60,0,60
2022-05-19T08:43:02,0,60,0,60
2022-05-19T08:53:12,0,60,0,60
