time,enrolled,available,waitlisted,total
2022-05-20T04:33:27,0,30,0,30
2022-05-20T04:43:44,0,30,0,30
2022-05-20T04:54:00,0,30,0,30
2022-05-20T05:04:17,0,30,0,30
2022-05-20T05:14:32,0,30,0,30
2022-05-20T05:24:47,0,30,0,30
2022-05-20T05:35:03,0,30,0,30
2022-05-20T05:45:19,0,30,0,30
2022-05-20T05:55:34,0,30,0,30
2022-05-20T06:05:50,0,30,0,30
2022-05-20T06:16:04,0,30,0,30
2022-05-20T06:26:21,0,30,0,30
2022-05-20T06:36:35,0,30,0,30
2022-05-20T06:46:49,0,30,0,30
2022-05-20T06:57:02,0,30,0,30
2022-05-20T07:07:19,0,30,0,30
2022-05-20T07:17:33,0,30,0,30
2022-05-20T07:27:46,0,30,0,30
2022-05-20T07:38:00,0,30,0,30
2022-05-20T07:48:15,0,30,0,30
2022-05-20T07:58:28,0,30,0,30
2022-05-20T08:08:43,0,30,0,30
2022-05-20T08:18:57,0,30,0,30
2022-05-20T08:29:13,0,30,0,30
2022-05-20T08:39:27,0,30,0,30
2022-05-20T08:49:42,0,30,0,30
2022-05-20T08:59:57,0,30,0,30
2022-05-20T09:10:24,0,30,0,30
2022-05-20T09:20:40,0,30,0,30
2022-05-20T09:30:56,0,30,0,30
2022-05-20T09:41:12,0,30,0,30
2022-05-20T09:51:28,0,30,0,30
2022-05-20T10:01:44,0,30,0,30
2022-05-20T10:12:01,0,30,0,30
2022-05-20T10:22:16,0,30,0,30
2022-05-20T10:32:32,0,30,0,30
2022-05-20T10:42:48,0,30,0,30
2022-05-20T10:53:17,0,30,0,30
2022-05-20T11:03:33,0,30,0,30
2022-05-20T11:13:49,0,30,0,30
2022-05-20T11:24:06,0,30,0,30
2022-05-20T11:34:21,0,30,0,30
2022-05-20T11:44:37,0,30,0,30
2022-05-20T11:55:07,0,30,0,30
2022-05-20T12:05:23,0,30,0,30
2022-05-20T12:15:38,0,30,0,30
2022-05-20T12:25:53,0,30,0,30
2022-05-20T12:36:08,0,30,0,30
2022-05-20T12:46:24,0,30,0,30
2022-05-20T12:56:40,0,30,0,30
2022-05-20T13:07:07,0,30,0,30
2022-05-20T13:17:23,0,30,0,30
2022-05-20T13:27:39,0,30,0,30
2022-05-20T13:37:56,0,30,0,30
2022-05-20T13:48:12,0,30,0,30
2022-05-20T13:58:28,0,30,0,30
2022-05-20T14:08:54,0,30,0,30
2022-05-20T14:19:10,0,30,0,30
2022-05-20T14:29:26,0,30,0,30
2022-05-20T14:39:41,0,30,0,30
2022-05-20T14:49:56,0,30,0,30
2022-05-20T15:00:12,0,30,0,30
2022-05-20T15:10:38,0,30,0,30
2022-05-20T15:20:53,0,30,0,30
2022-05-20T15:31:09,0,30,0,30
2022-05-20T15:41:24,0,30,0,30
2022-05-20T15:51:39,0,30,0,30
2022-05-20T16:01:54,0,30,0,30
2022-05-20T16:12:09,0,30,0,30
2022-05-20T16:22:34,0,30,0,30
2022-05-20T16:32:49,0,30,0,30
2022-05-20T16:43:03,0,30,0,30
2022-05-20T16:53:17,0,30,0,30
2022-05-20T17:03:32,0,30,0,30
2022-05-20T17:13:46,0,30,0,30
2022-05-20T17:23:59,0,30,0,30
2022-05-20T17:34:13,0,30,0,30
2022-05-20T17:44:28,0,30,0,30
2022-05-20T17:54:42,0,30,0,30
2022-05-20T18:04:56,0,30,0,30
2022-05-20T18:15:19,0,30,0,30
2022-05-20T18:25:32,0,30,0,30
2022-05-20T18:35:45,0,30,0,30
2022-05-20T18:45:59,0,30,0,30
2022-05-20T18:56:12,0,30,0,30
2022-05-20T19:06:26,0,30,0,30
2022-05-20T19:16:40,0,30,0,30
2022-05-20T19:26:54,0,30,0,30
2022-05-20T19:37:08,0,30,0,30
2022-05-20T19:47:22,0,30,0,30
2022-05-20T19:57:46,0,30,0,30
2022-05-20T20:07:59,0,30,0,30
2022-05-20T20:18:13,0,30,0,30
2022-05-20T20:28:27,0,30,0,30
2022-05-20T20:38:40,0,30,0,30
2022-05-20T20:48:54,0,30,0,30
2022-05-20T20:59:07,0,30,0,30
2022-05-20T21:09:21,0,30,0,30
2022-05-20T21:19:35,0,30,0,30
2022-05-20T21:29:59,0,30,0,30
2022-05-20T21:40:12,0,30,0,30
2022-05-20T21:50:26,0,30,0,30
2022-05-20T22:00:40,0,30,0,30
2022-05-20T22:10:54,0,30,0,30
2022-05-20T22:21:09,0,30,0,30
2022-05-20T22:31:23,0,30,0,30
2022-05-20T22:41:36,0,30,0,30
2022-05-20T22:51:49,0,30,0,30
2022-05-20T23:02:03,0,30,0,30
2022-05-20T23:12:28,0,30,0,30
2022-05-20T23:22:42,0,30,0,30
2022-05-20T23:32:55,0,30,0,30
2022-05-20T23:43:09,0,30,0,30
2022-05-20T23:53:22,0,30,0,30
2022-05-21T00:03:37,0,30,0,30
2022-05-21T00:13:53,0,30,0,30
2022-05-21T00:24:09,0,30,0,30
2022-05-21T00:34:25,0,30,0,30
2022-05-21T00:44:41,0,30,0,30
2022-05-21T00:54:56,0,30,0,30
2022-05-21T01:05:11,0,30,0,30
2022-05-21T01:15:27,0,30,0,30
2022-05-21T01:25:41,0,30,0,30
2022-05-21T01:35:57,0,30,0,30
2022-05-21T01:46:12,0,30,0,30
