time,enrolled,available,waitlisted,total
2022-05-20T04:33:28,0,30,0,30
2022-05-20T04:43:45,0,30,0,30
2022-05-20T04:54:01,0,30,0,30
2022-05-20T05:04:18,0,30,0,30
2022-05-20T05:14:33,0,30,0,30
2022-05-20T05:24:48,0,30,0,30
2022-05-20T05:35:04,0,30,0,30
2022-05-20T05:45:20,0,30,0,30
2022-05-20T05:55:35,0,30,0,30
2022-05-20T06:05:51,0,30,0,30
2022-05-20T06:16:05,0,30,0,30
2022-05-20T06:26:22,0,30,0,30
2022-05-20T06:36:36,0,30,0,30
2022-05-20T06:46:50,0,30,0,30
2022-05-20T06:57:03,0,30,0,30
2022-05-20T07:07:20,0,30,0,30
2022-05-20T07:17:34,0,30,0,30
2022-05-20T07:27:47,0,30,0,30
2022-05-20T07:38:01,0,30,0,30
2022-05-20T07:48:16,0,30,0,30
2022-05-20T07:58:30,0,30,0,30
2022-05-20T08:08:44,0,30,0,30
2022-05-20T08:18:58,0,30,0,30
2022-05-20T08:29:14,0,30,0,30
2022-05-20T08:39:28,0,30,0,30
2022-05-20T08:49:43,0,30,0,30
2022-05-20T08:59:58,0,30,0,30
2022-05-20T09:10:25,0,30,0,30
2022-05-20T09:20:41,0,30,0,30
2022-05-20T09:30:57,0,30,0,30
2022-05-20T09:41:13,0,30,0,30
2022-05-20T09:51:29,0,30,0,30
2022-05-20T10:01:45,0,30,0,30
2022-05-20T10:12:02,0,30,0,30
2022-05-20T10:22:17,0,30,0,30
2022-05-20T10:32:33,0,30,0,30
2022-05-20T10:42:49,0,30,0,30
2022-05-20T10:53:18,0,30,0,30
2022-05-20T11:03:34,0,30,0,30
2022-05-20T11:13:50,0,30,0,30
2022-05-20T11:24:07,0,30,0,30
2022-05-20T11:34:22,0,30,0,30
2022-05-20T11:44:38,0,30,0,30
2022-05-20T11:55:08,0,30,0,30
2022-05-20T12:05:24,0,30,0,30
2022-05-20T12:15:39,0,30,0,30
2022-05-20T12:25:54,0,30,0,30
2022-05-20T12:36:09,0,30,0,30
2022-05-20T12:46:25,0,30,0,30
2022-05-20T12:56:41,0,30,0,30
2022-05-20T13:07:08,0,30,0,30
2022-05-20T13:17:24,0,30,0,30
2022-05-20T13:27:40,0,30,0,30
2022-05-20T13:37:57,0,30,0,30
2022-05-20T13:48:13,1,29,0,30
2022-05-20T13:58:29,1,29,0,30
2022-05-20T14:08:56,1,29,0,30
2022-05-20T14:19:11,1,29,0,30
2022-05-20T14:29:27,1,29,0,30
2022-05-20T14:39:42,1,29,0,30
2022-05-20T14:49:58,1,29,0,30
2022-05-20T15:00:13,1,29,0,30
2022-05-20T15:10:39,1,29,0,30
2022-05-20T15:20:54,1,29,0,30
2022-05-20T15:31:10,1,29,0,30
2022-05-20T15:41:25,1,29,0,30
2022-05-20T15:51:40,1,29,0,30
2022-05-20T16:01:55,1,29,0,30
2022-05-20T16:12:10,1,29,0,30
2022-05-20T16:22:35,1,29,0,30
2022-05-20T16:32:50,1,29,0,30
2022-05-20T16:43:04,1,29,0,30
2022-05-20T16:53:18,1,29,0,30
2022-05-20T17:03:33,1,29,0,30
2022-05-20T17:13:47,1,29,0,30
2022-05-20T17:24:01,1,29,0,30
2022-05-20T17:34:15,1,29,0,30
2022-05-20T17:44:29,1,29,0,30
2022-05-20T17:54:43,1,29,0,30
2022-05-20T18:04:57,1,29,0,30
2022-05-20T18:15:20,1,29,0,30
2022-05-20T18:25:33,1,29,0,30
2022-05-20T18:35:46,2,28,0,30
2022-05-20T18:46:00,2,28,0,30
2022-05-20T18:56:13,2,28,0,30
2022-05-20T19:06:27,2,28,0,30
2022-05-20T19:16:41,3,27,0,30
2022-05-20T19:26:55,3,27,0,30
2022-05-20T19:37:09,3,27,0,30
2022-05-20T19:47:23,3,27,0,30
2022-05-20T19:57:47,3,27,0,30
2022-05-20T20:08:00,3,27,0,30
2022-05-20T20:18:14,3,27,0,30
2022-05-20T20:28:28,3,27,0,30
2022-05-20T20:38:41,3,27,0,30
2022-05-20T20:48:55,3,27,0,30
2022-05-20T20:59:08,3,27,0,30
2022-05-20T21:09:22,3,27,0,30
2022-05-20T21:19:36,3,27,0,30
2022-05-20T21:30:00,3,27,0,30
2022-05-20T21:40:13,3,27,0,30
2022-05-20T21:50:27,3,27,0,30
2022-05-20T22:00:41,3,27,0,30
2022-05-20T22:10:55,3,27,0,30
2022-05-20T22:21:10,3,27,0,30
2022-05-20T22:31:24,3,27,0,30
2022-05-20T22:41:37,3,27,0,30
2022-05-20T22:51:50,3,27,0,30
2022-05-20T23:02:04,3,27,0,30
2022-05-20T23:12:29,3,27,0,30
2022-05-20T23:22:43,3,27,0,30
2022-05-20T23:32:56,3,27,0,30
2022-05-20T23:43:10,3,27,0,30
2022-05-20T23:53:23,3,27,0,30
2022-05-21T00:03:38,3,27,0,30
2022-05-21T00:13:54,3,27,0,30
2022-05-21T00:24:10,3,27,0,30
2022-05-21T00:34:26,3,27,0,30
2022-05-21T00:44:42,3,27,0,30
2022-05-21T00:54:57,3,27,0,30
2022-05-21T01:05:12,3,27,0,30
2022-05-21T01:15:28,3,27,0,30
2022-05-21T01:25:42,3,27,0,30
2022-05-21T01:35:58,3,27,0,30
2022-05-21T01:46:13,3,27,0,30
2022-05-21T01:56:27,3,27,0,30
2022-05-21T02:06:51,3,27,0,30
2022-05-21T02:17:05,3,27,0,30
2022-05-21T02:27:18,3,27,0,30
2022-05-21T02:37:32,3,27,0,30
2022-05-21T02:47:45,3,27,0,30
2022-05-21T02:57:57,3,27,0,30
2022-05-21T03:08:10,3,27,0,30
2022-05-21T03:18:30,3,27,0,30
2022-05-21T03:28:45,3,27,0,30
2022-05-21T03:39:00,3,27,0,30
2022-05-21T03:49:16,3,27,0,30
2022-05-21T03:59:31,3,27,0,30
2022-05-21T04:09:47,3,27,0,30
