time,enrolled,available,waitlisted,total
2022-06-17T09:01:54,0,0,0,0
2022-06-17T09:12:21,0,0,0,0
2022-06-17T09:22:50,0,0,0,0
2022-06-17T09:33:18,0,0,0,0
2022-06-17T09:43:48,0,0,0,0
2022-06-17T09:54:17,0,0,0,0
2022-06-17T10:04:46,0,0,0,0
2022-06-17T10:15:15,0,0,0,0
2022-06-17T10:25:43,0,0,0,0
2022-06-17T10:36:12,0,0,0,0
2022-06-17T10:46:39,0,0,0,0
2022-06-17T10:57:20,0,0,0,0
2022-06-17T11:07:48,0,0,0,0
2022-06-17T11:18:16,0,0,0,0
2022-06-17T11:28:44,0,0,0,0
2022-06-17T11:39:12,0,0,0,0
2022-06-17T11:49:39,0,0,0,0
2022-06-17T12:00:17,0,0,0,0
2022-06-17T12:10:45,0,0,0,0
2022-06-17T12:21:13,0,0,0,0
2022-06-17T12:31:41,0,0,0,0
2022-06-17T12:42:08,0,0,0,0
2022-06-17T12:52:36,0,0,0,0
2022-06-17T13:03:03,0,0,0,0
2022-06-17T13:13:41,0,0,0,0
2022-06-17T13:24:09,0,0,0,0
2022-06-17T13:34:37,0,0,0,0
2022-06-17T13:45:05,0,0,0,0
2022-06-17T13:55:33,0,0,0,0
2022-06-17T14:06:00,0,0,0,0
2022-06-17T14:16:28,0,0,0,0
2022-06-17T14:26:56,0,0,0,0
2022-06-17T14:37:24,0,0,0,0
2022-06-17T14:47:52,0,0,0,0
2022-06-17T14:58:35,0,0,0,0
2022-06-17T15:09:03,0,0,0,0
2022-06-17T15:19:31,0,0,0,0
2022-06-17T15:29:59,0,0,0,0
2022-06-17T15:40:27,0,0,0,0
2022-06-17T15:50:55,0,0,0,0
2022-06-17T16:01:22,0,0,0,0
2022-06-17T16:11:50,0,0,0,0
2022-06-17T16:22:17,0,0,0,0
2022-06-17T16:32:56,0,0,0,0
2022-06-17T16:43:23,0,0,0,0
2022-06-17T16:53:50,0,0,0,0
2022-06-17T17:04:18,0,0,0,0
2022-06-17T17:14:46,0,0,0,0
2022-06-17T17:25:12,0,0,0,0
2022-06-17T17:35:39,0,0,0,0
2022-06-17T17:46:06,0,0,0,0
2022-06-17T17:56:44,0,0,0,0
2022-06-17T18:07:10,0,0,0,0
2022-06-17T18:17:37,0,0,0,0
2022-06-17T18:28:03,0,0,0,0
2022-06-17T18:38:31,0,0,0,0
2022-06-17T18:48:57,0,0,0,0
2022-06-17T18:59:23,0,0,0,0
2022-06-17T19:09:50,0,0,0,0
2022-06-17T19:20:17,0,0,0,0
2022-06-17T19:30:43,0,0,0,0
2022-06-17T19:41:21,0,0,0,0
2022-06-17T19:51:47,0,0,0,0
2022-06-17T20:02:14,0,0,0,0
2022-06-17T20:12:41,0,0,0,0
2022-06-17T20:23:07,0,0,0,0
2022-06-17T20:33:34,0,0,0,0
2022-06-17T20:44:00,0,0,0,0
2022-06-17T20:54:27,0,0,0,0
2022-06-17T21:04:53,0,0,0,0
2022-06-17T21:15:20,0,0,0,0
2022-06-17T21:25:57,0,0,0,0
2022-06-17T21:36:23,0,0,0,0
2022-06-17T21:46:50,0,0,0,0
2022-06-17T21:57:17,0,0,0,0
2022-06-17T22:07:43,0,0,0,0
2022-06-17T22:18:09,0,0,0,0
2022-06-17T22:28:35,0,0,0,0
2022-06-17T22:39:03,0,0,0,0
2022-06-17T22:49:40,0,0,0,0
2022-06-17T23:00:07,0,0,0,0
2022-06-17T23:10:34,0,0,0,0
2022-06-17T23:21:01,0,0,0,0
2022-06-17T23:31:29,0,0,0,0
2022-06-17T23:41:57,0,0,0,0
2022-06-17T23:52:23,0,0,0,0
2022-06-18T00:02:50,0,0,0,0
2022-06-18T00:13:19,0,0,0,0
2022-06-18T00:23:48,0,0,0,0
2022-06-18T00:34:16,0,0,0,0
2022-06-18T00:44:45,0,0,0,0
2022-06-18T00:55:13,0,0,0,0
2022-06-18T01:05:42,0,0,0,0
2022-06-18T01:16:15,0,0,0,0
2022-06-18T01:26:51,0,0,0,0
2022-06-18T01:37:25,0,0,0,0
2022-06-18T01:48:00,0,0,0,0
2022-06-18T01:58:43,0,0,0,0
2022-06-18T02:09:16,0,0,0,0
2022-06-18T02:19:55,0,0,0,0
2022-06-18T02:30:33,0,0,0,0
2022-06-18T02:41:11,0,0,0,0
2022-06-18T02:51:48,0,0,0,0
2022-06-18T03:02:23,0,0,0,0
2022-06-18T03:13:00,0,0,0,0
2022-06-18T03:23:38,0,0,0,0
2022-06-18T03:34:12,0,0,0,0
2022-06-18T03:44:50,0,0,0,0
2022-06-18T03:57:35,0,0,0,0
2022-06-18T04:08:25,0,0,0,0
2022-06-18T04:26:57,0,0,0,0
2022-06-18T04:37:29,0,0,0,0
2022-06-18T04:47:59,0,0,0,0
2022-06-18T04:58:27,0,0,0,0
2022-06-18T05:08:56,0,0,0,0
2022-06-18T05:19:24,0,0,0,0
2022-06-18T05:29:53,0,0,0,0
2022-06-18T05:40:21,0,0,0,0
2022-06-18T05:50:50,0,0,0,0
2022-06-18T06:01:21,0,0,0,0
2022-06-18T06:11:48,0,0,0,0
2022-06-18T06:22:17,0,0,0,0
2022-06-18T06:32:44,0,0,0,0
2022-06-18T06:43:12,0,0,0,0
2022-06-18T06:53:48,0,0,0,0
2022-06-18T07:04:17,0,0,0,0
2022-06-18T07:14:45,0,0,0,0
2022-06-18T07:25:13,0,0,0,0
2022-06-18T07:35:41,0,0,0,0
2022-06-18T07:46:09,0,0,0,0
2022-06-18T07:56:37,0,0,0,0
2022-06-18T08:07:05,0,0,0,0
2022-06-18T08:17:34,0,0,0,0
2022-06-18T08:28:01,0,0,0,0
2022-06-18T08:38:29,0,0,0,0
2022-06-18T08:49:09,0,0,0,0
2022-06-18T08:59:36,0,0,0,0
2022-06-18T09:10:03,0,0,0,0
2022-06-18T09:20:30,0,0,0,0
2022-06-18T09:30:58,0,0,0,0
2022-06-18T09:41:25,0,0,0,0
2022-06-18T09:51:53,0,0,0,0
2022-06-18T10:02:20,0,0,0,0
2022-06-18T10:12:46,0,0,0,0
2022-06-18T10:23:12,0,0,0,0
2022-06-18T10:33:48,0,0,0,0
2022-06-18T10:44:15,0,0,0,0
2022-06-18T10:54:56,0,0,0,0
2022-06-18T11:05:21,0,0,0,0
2022-06-18T11:15:48,0,0,0,0
2022-06-18T11:26:14,0,0,0,0
2022-06-18T11:36:40,0,0,0,0
2022-06-18T11:47:06,0,0,0,0
2022-06-18T11:57:31,0,0,0,0
2022-06-18T12:07:58,0,0,0,0
2022-06-18T12:18:24,0,0,0,0
2022-06-18T12:29:01,0,0,0,0
2022-06-18T12:39:27,0,0,0,0
2022-06-18T12:49:53,0,0,0,0
2022-06-18T13:00:19,0,0,0,0
2022-06-18T13:10:45,0,0,0,0
2022-06-18T13:21:11,0,0,0,0
2022-06-18T13:31:37,0,0,0,0
2022-06-18T13:42:03,0,0,0,0
2022-06-18T13:52:29,0,0,0,0
2022-06-18T14:02:56,0,0,0,0
2022-06-18T14:13:39,0,0,0,0
2022-06-18T14:24:05,0,0,0,0
2022-06-18T14:34:30,0,0,0,0
2022-06-18T14:44:55,0,0,0,0
2022-06-18T14:55:21,0,0,0,0
2022-06-18T15:05:46,0,0,0,0
2022-06-18T15:16:12,0,0,0,0
2022-06-18T15:26:38,0,0,0,0
2022-06-18T15:37:04,0,0,0,0
2022-06-18T15:47:29,0,0,0,0
2022-06-18T15:57:55,0,0,0,0
2022-06-18T16:08:22,0,0,0,0
2022-06-18T16:18:58,0,0,0,0
2022-06-18T16:29:23,0,0,0,0
2022-06-18T16:39:49,0,0,0,0
2022-06-18T16:50:14,0,0,0,0
2022-06-18T17:00:40,0,0,0,0
2022-06-18T17:11:06,0,0,0,0
2022-06-18T17:21:32,0,0,0,0
2022-06-18T17:31:57,0,0,0,0
2022-06-18T17:42:23,0,0,0,0
2022-06-18T17:52:49,0,0,0,0
2022-06-18T18:03:16,0,0,0,0
2022-06-18T18:13:51,0,0,0,0
2022-06-18T18:24:17,0,0,0,0
2022-06-18T18:34:43,0,0,0,0
2022-06-18T18:45:09,0,0,0,0
2022-06-18T18:55:35,0,0,0,0
2022-06-18T19:06:01,0,0,0,0
2022-06-18T19:16:28,0,0,0,0
