time,enrolled,available,waitlisted,total
2022-05-20T04:35:20,0,30,0,30
2022-05-20T04:45:37,0,30,0,30
2022-05-20T04:55:54,0,30,0,30
2022-05-20T05:06:10,0,30,0,30
2022-05-20T05:16:25,0,30,0,30
2022-05-20T05:26:40,0,30,0,30
2022-05-20T05:36:56,0,30,0,30
2022-05-20T05:47:12,0,30,0,30
2022-05-20T05:57:27,0,30,0,30
2022-05-20T06:07:43,0,30,0,30
2022-05-20T06:17:57,0,30,0,30
2022-05-20T06:28:14,0,30,0,30
2022-05-20T06:38:28,0,30,0,30
2022-05-20T06:48:42,0,30,0,30
2022-05-20T06:58:55,0,30,0,30
2022-05-20T07:09:12,0,30,0,30
2022-05-20T07:19:25,0,30,0,30
2022-05-20T07:29:39,0,30,0,30
2022-05-20T07:39:53,0,30,0,30
2022-05-20T07:50:07,0,30,0,30
2022-05-20T08:00:21,0,30,0,30
2022-05-20T08:10:35,0,30,0,30
2022-05-20T08:20:50,0,30,0,30
2022-05-20T08:31:06,0,30,0,30
2022-05-20T08:41:20,0,30,0,30
2022-05-20T08:51:35,0,30,0,30
2022-05-20T09:01:50,0,30,0,30
2022-05-20T09:12:18,0,30,0,30
2022-05-20T09:22:34,0,30,0,30
2022-05-20T09:32:49,0,30,0,30
2022-05-20T09:43:05,0,30,0,30
2022-05-20T09:53:21,0,30,0,30
2022-05-20T10:03:38,0,30,0,30
2022-05-20T10:13:54,0,30,0,30
2022-05-20T10:24:09,0,30,0,30
2022-05-20T10:34:25,0,30,0,30
2022-05-20T10:44:41,0,30,0,30
2022-05-20T10:55:10,0,30,0,30
2022-05-20T11:05:26,0,30,0,30
2022-05-20T11:15:42,0,30,0,30
2022-05-20T11:25:59,0,30,0,30
2022-05-20T11:36:14,0,30,0,30
2022-05-20T11:46:30,0,30,0,30
2022-05-20T11:57:00,0,30,0,30
2022-05-20T12:07:16,0,30,0,30
2022-05-20T12:17:31,0,30,0,30
2022-05-20T12:27:46,0,30,0,30
2022-05-20T12:38:01,0,30,0,30
2022-05-20T12:48:17,0,30,0,30
2022-05-20T12:58:33,0,30,0,30
2022-05-20T13:09:00,0,30,0,30
2022-05-20T13:19:16,0,30,0,30
2022-05-20T13:29:32,0,30,0,30
2022-05-20T13:39:49,0,30,0,30
2022-05-20T13:50:05,0,30,0,30
2022-05-20T14:00:21,0,30,0,30
2022-05-20T14:10:48,0,30,0,30
2022-05-20T14:21:03,0,30,0,30
2022-05-20T14:31:19,0,30,0,30
2022-05-20T14:41:34,0,30,0,30
2022-05-20T14:51:49,0,30,0,30
2022-05-20T15:02:05,0,30,0,30
2022-05-20T15:12:31,0,30,0,30
2022-05-20T15:22:46,0,30,0,30
2022-05-20T15:33:02,0,30,0,30
2022-05-20T15:43:17,0,30,0,30
2022-05-20T15:53:31,0,30,0,30
2022-05-20T16:03:47,0,30,0,30
2022-05-20T16:14:02,0,30,0,30
2022-05-20T16:24:27,0,30,0,30
2022-05-20T16:34:41,0,30,0,30
2022-05-20T16:44:56,0,30,0,30
2022-05-20T16:55:10,0,30,0,30
2022-05-20T17:05:25,0,30,0,30
2022-05-20T17:15:39,0,30,0,30
2022-05-20T17:25:52,0,30,0,30
2022-05-20T17:36:06,0,30,0,30
2022-05-20T17:46:21,0,30,0,30
2022-05-20T17:56:35,0,30,0,30
2022-05-20T18:06:48,0,30,0,30
2022-05-20T18:17:11,0,30,0,30
2022-05-20T18:27:25,0,30,0,30
2022-05-20T18:37:38,0,30,0,30
2022-05-20T18:47:51,0,30,0,30
2022-05-20T18:58:05,0,30,0,30
2022-05-20T19:08:19,0,30,0,30
2022-05-20T19:18:33,0,30,0,30
2022-05-20T19:28:47,0,30,0,30
2022-05-20T19:39:00,0,30,0,30
2022-05-20T19:49:15,0,30,0,30
2022-05-20T19:59:39,0,30,0,30
2022-05-20T20:09:52,0,30,0,30
2022-05-20T20:20:06,0,30,0,30
2022-05-20T20:30:20,0,30,0,30
2022-05-20T20:40:33,0,30,0,30
2022-05-20T20:50:47,0,30,0,30
2022-05-20T21:01:00,0,30,0,30
2022-05-20T21:11:14,0,30,0,30
2022-05-20T21:21:27,0,30,0,30
2022-05-20T21:31:52,0,30,0,30
2022-05-20T21:42:05,0,30,0,30
2022-05-20T21:52:19,0,30,0,30
2022-05-20T22:02:33,0,30,0,30
2022-05-20T22:12:47,0,30,0,30
2022-05-20T22:23:02,0,30,0,30
2022-05-20T22:33:15,0,30,0,30
2022-05-20T22:43:29,0,30,0,30
2022-05-20T22:53:42,0,30,0,30
2022-05-20T23:03:56,0,30,0,30
2022-05-20T23:14:21,0,30,0,30
2022-05-20T23:24:34,0,30,0,30
2022-05-20T23:34:48,0,30,0,30
2022-05-20T23:45:02,0,30,0,30
2022-05-20T23:55:15,0,30,0,30
2022-05-21T00:05:30,0,30,0,30
2022-05-21T00:15:46,0,30,0,30
2022-05-21T00:26:02,0,30,0,30
2022-05-21T00:36:18,0,30,0,30
2022-05-21T00:46:34,0,30,0,30
2022-05-21T00:56:49,0,30,0,30
2022-05-21T01:07:04,0,30,0,30
2022-05-21T01:17:20,0,30,0,30
2022-05-21T01:27:34,0,30,0,30
2022-05-21T01:37:50,0,30,0,30
2022-05-21T01:48:05,0,30,0,30
2022-05-21T01:58:29,0,30,0,30
2022-05-21T02:08:43,0,30,0,30
2022-05-21T02:18:57,0,30,0,30
2022-05-21T02:29:10,0,30,0,30
2022-05-21T02:39:23,0,30,0,30
2022-05-21T02:49:36,0,30,0,30
2022-05-21T02:59:49,0,30,0,30
2022-05-21T03:10:02,0,30,0,30
2022-05-21T03:20:22,0,30,0,30
2022-05-21T03:30:37,0,30,0,30
2022-05-21T03:40:52,0,30,0,30
2022-05-21T03:51:08,0,30,0,30
2022-05-21T04:01:23,0,30,0,30
2022-05-21T04:26:59,0,30,0,30
2022-05-21T04:38:24,0,30,0,30
2022-05-21T04:48:56,0,30,0,30
2022-05-21T04:59:12,0,30,0,30
2022-05-21T05:09:27,0,30,0,30
2022-05-21T05:19:43,0,30,0,30
2022-05-21T05:29:59,0,30,0,30
2022-05-21T05:40:15,0,30,0,30
2022-05-21T05:50:31,0,30,0,30
2022-05-21T06:00:46,0,30,0,30
2022-05-21T06:11:02,0,30,0,30
2022-05-21T06:21:18,0,30,0,30
2022-05-21T06:31:33,0,30,0,30
2022-05-21T06:41:49,0,30,0,30
2022-05-21T06:52:04,0,30,0,30
2022-05-21T07:02:19,0,30,0,30
2022-05-21T07:12:35,0,30,0,30
2022-05-21T07:22:50,0,30,0,30
2022-05-21T07:33:05,0,30,0,30
2022-05-21T07:43:20,0,30,0,30
2022-05-21T07:53:34,0,30,0,30
2022-05-21T08:03:49,0,30,0,30
2022-05-21T08:14:06,0,30,0,30
2022-05-21T08:24:20,0,30,0,30
2022-05-21T08:34:35,0,30,0,30
2022-05-21T08:44:50,0,30,0,30
2022-05-21T08:55:26,0,30,0,30
2022-05-21T09:05:40,0,30,0,30
2022-05-21T09:15:53,0,30,0,30
2022-05-21T09:26:06,0,30,0,30
2022-05-21T09:36:18,0,30,0,30
2022-05-21T09:46:32,0,30,0,30
2022-05-21T09:56:45,0,30,0,30
2022-05-21T10:06:59,0,30,0,30
2022-05-21T10:17:12,0,30,0,30
2022-05-21T10:27:25,0,30,0,30
2022-05-21T10:37:38,0,30,0,30
2022-05-21T10:47:51,0,30,0,30
2022-05-21T10:58:04,0,30,0,30
2022-05-21T11:08:18,0,30,0,30
2022-05-21T11:18:43,0,30,0,30
2022-05-21T11:28:57,0,30,0,30
2022-05-21T11:39:11,0,30,0,30
2022-05-21T11:49:24,0,30,0,30
2022-05-21T11:59:37,0,30,0,30
2022-05-21T12:09:52,0,30,0,30
2022-05-21T12:20:06,0,30,0,30
2022-05-21T12:30:19,0,30,0,30
2022-05-21T12:40:53,0,30,0,30
2022-05-21T12:51:06,0,30,0,30
2022-05-21T13:01:19,0,30,0,30
2022-05-21T13:11:33,0,30,0,30
2022-05-21T13:21:46,0,30,0,30
2022-05-21T13:32:00,0,30,0,30
2022-05-21T13:42:13,0,30,0,30
2022-05-21T13:52:26,0,30,0,30
2022-05-21T14:02:40,0,30,0,30
2022-05-21T14:13:04,0,30,0,30
2022-05-21T14:23:17,0,30,0,30
2022-05-21T14:33:30,0,30,0,30
2022-05-21T14:43:44,0,30,0,30
2022-05-21T14:53:58,0,30,0,30
2022-05-21T15:04:13,0,30,0,30
2022-05-21T15:14:27,0,30,0,30
2022-05-21T15:24:50,0,30,0,30
2022-05-21T15:35:04,0,30,0,30
2022-05-21T15:45:17,0,30,0,30
2022-05-21T15:55:31,0,30,0,30
2022-05-21T16:05:44,0,30,0,30
2022-05-21T16:15:58,0,30,0,30
2022-05-21T16:26:11,0,30,0,30
2022-05-21T16:36:25,0,30,0,30
2022-05-21T16:46:38,0,30,0,30
2022-05-21T16:56:51,0,30,0,30
2022-05-21T17:07:23,0,30,0,30
2022-05-21T17:17:38,0,30,0,30
2022-05-21T17:27:51,0,30,0,30
2022-05-21T17:38:05,0,30,0,30
2022-05-21T17:48:18,0,30,0,30
2022-05-21T17:58:31,0,30,0,30
2022-05-21T18:08:45,0,30,0,30
2022-05-21T18:18:58,0,30,0,30
2022-05-21T18:29:12,0,30,0,30
2022-05-21T18:39:25,0,30,0,30
2022-05-21T18:50:07,0,30,0,30
2022-05-21T19:00:20,0,30,0,30
2022-05-21T19:10:33,0,30,0,30
2022-05-21T19:20:47,0,30,0,30
2022-05-21T19:31:00,0,30,0,30
2022-05-21T19:41:14,0,30,0,30
2022-05-21T19:51:29,0,30,0,30
2022-05-21T20:01:43,0,30,0,30
2022-05-21T20:11:57,0,30,0,30
2022-05-21T20:22:10,0,30,0,30
2022-05-21T20:32:35,0,30,0,30
2022-05-21T20:42:49,0,30,0,30
2022-05-21T20:53:03,0,30,0,30
2022-05-21T21:03:16,0,30,0,30
2022-05-21T21:13:30,0,30,0,30
2022-05-21T21:23:43,0,30,0,30
2022-05-21T21:33:56,0,30,0,30
2022-05-21T21:44:10,0,30,0,30
2022-05-21T21:54:23,0,30,0,30
2022-05-21T22:04:36,0,30,0,30
2022-05-21T22:15:12,0,30,0,30
2022-05-21T22:25:26,0,30,0,30
2022-05-21T22:35:39,0,30,0,30
2022-05-21T22:45:52,0,30,0,30
2022-05-21T22:56:05,0,30,0,30
2022-05-21T23:06:19,0,30,0,30
2022-05-21T23:16:32,0,30,0,30
2022-05-21T23:26:46,0,30,0,30
2022-05-21T23:36:58,0,30,0,30
2022-05-21T23:47:11,0,30,0,30
2022-05-21T23:57:24,0,30,0,30
2022-05-22T00:07:38,0,30,0,30
2022-05-22T00:17:54,0,30,0,30
2022-05-22T00:28:07,0,30,0,30
2022-05-22T00:38:34,0,30,0,30
2022-05-22T00:48:47,0,30,0,30
2022-05-22T00:59:00,0,30,0,30
2022-05-22T01:09:13,0,30,0,30
2022-05-22T01:19:25,0,30,0,30
2022-05-22T01:29:38,0,30,0,30
2022-05-22T01:39:51,0,30,0,30
2022-05-22T01:50:04,0,30,0,30
2022-05-22T02:00:17,0,30,0,30
2022-05-22T02:10:29,0,30,0,30
2022-05-22T02:20:42,0,30,0,30
2022-05-22T02:30:58,0,30,0,30
2022-05-22T02:41:14,0,30,0,30
2022-05-22T02:51:30,0,30,0,30
2022-05-22T03:01:54,0,30,0,30
2022-05-22T03:12:56,0,30,0,30
2022-05-22T03:23:12,0,30,0,30
2022-05-22T03:33:27,0,30,0,30
2022-05-22T03:43:52,0,30,0,30
2022-05-22T03:54:07,0,30,0,30
2022-05-22T04:04:22,0,30,0,30
2022-05-22T04:25:32,0,30,0,30
2022-05-22T04:35:49,0,30,0,30
2022-05-22T04:46:04,0,30,0,30
2022-05-22T04:56:20,0,30,0,30
2022-05-22T05:06:36,0,30,0,30
2022-05-22T05:16:52,0,30,0,30
2022-05-22T05:27:07,0,30,0,30
2022-05-22T05:37:22,0,30,0,30
2022-05-22T05:47:38,0,30,0,30
2022-05-22T05:57:54,0,30,0,30
2022-05-22T06:08:09,0,30,0,30
2022-05-22T06:18:24,0,30,0,30
2022-05-22T06:28:39,0,30,0,30
2022-05-22T06:38:54,0,30,0,30
2022-05-22T06:49:08,0,30,0,30
2022-05-22T06:59:22,0,30,0,30
2022-05-22T07:09:36,0,30,0,30
2022-05-22T07:19:49,0,30,0,30
2022-05-22T07:30:02,0,30,0,30
2022-05-22T07:40:16,0,30,0,30
2022-05-22T07:50:29,0,30,0,30
2022-05-22T08:00:42,0,30,0,30
2022-05-22T08:10:54,0,30,0,30
2022-05-22T08:21:07,0,30,0,30
2022-05-22T08:31:21,0,30,0,30
2022-05-22T08:41:34,0,30,0,30
2022-05-22T08:51:47,0,30,0,30
2022-05-22T09:02:00,0,30,0,30
2022-05-22T09:12:13,0,30,0,30
2022-05-22T09:22:26,0,30,0,30
2022-05-22T09:32:40,0,30,0,30
2022-05-22T09:42:53,0,30,0,30
2022-05-22T09:53:06,0,30,0,30
2022-05-22T10:03:19,0,30,0,30
2022-05-22T10:13:32,0,30,0,30
2022-05-22T10:23:46,0,30,0,30
2022-05-22T10:34:00,0,30,0,30
2022-05-22T10:44:15,0,30,0,30
2022-05-22T10:54:28,0,30,0,30
2022-05-22T11:04:41,0,30,0,30
2022-05-22T11:15:01,0,30,0,30
2022-05-22T11:25:15,0,30,0,30
2022-05-22T11:35:28,0,30,0,30
2022-05-22T11:45:42,0,30,0,30
2022-05-22T11:55:56,0,30,0,30
2022-05-22T12:06:09,0,30,0,30
2022-05-22T12:16:22,0,30,0,30
2022-05-22T12:26:35,0,30,0,30
2022-05-22T12:36:48,0,30,0,30
2022-05-22T12:47:02,0,30,0,30
2022-05-22T12:57:15,0,30,0,30
2022-05-22T13:07:28,0,30,0,30
2022-05-22T13:17:41,0,30,0,30
