time,enrolled,available,waitlisted,total
2022-05-20T04:35:22,0,10,0,10
2022-05-20T04:45:39,0,10,0,10
2022-05-20T04:55:56,0,10,0,10
2022-05-20T05:06:12,0,10,0,10
2022-05-20T05:16:27,0,10,0,10
2022-05-20T05:26:42,0,10,0,10
2022-05-20T05:36:58,0,10,0,10
2022-05-20T05:47:14,0,10,0,10
2022-05-20T05:57:29,0,10,0,10
2022-05-20T06:07:45,0,10,0,10
2022-05-20T06:17:59,0,10,0,10
2022-05-20T06:28:16,0,10,0,10
2022-05-20T06:38:30,0,10,0,10
2022-05-20T06:48:44,0,10,0,10
2022-05-20T06:58:57,0,10,0,10
2022-05-20T07:09:14,0,10,0,10
2022-05-20T07:19:27,0,10,0,10
2022-05-20T07:29:41,0,10,0,10
2022-05-20T07:39:55,0,10,0,10
2022-05-20T07:50:10,0,10,0,10
2022-05-20T08:00:23,0,10,0,10
2022-05-20T08:10:38,0,10,0,10
2022-05-20T08:20:52,0,10,0,10
2022-05-20T08:31:08,0,10,0,10
2022-05-20T08:41:22,0,10,0,10
2022-05-20T08:51:37,0,10,0,10
2022-05-20T09:01:52,0,10,0,10
2022-05-20T09:12:20,0,10,0,10
2022-05-20T09:22:36,0,10,0,10
2022-05-20T09:32:51,0,10,0,10
2022-05-20T09:43:07,0,10,0,10
2022-05-20T09:53:23,0,10,0,10
2022-05-20T10:03:40,0,10,0,10
2022-05-20T10:13:56,0,10,0,10
2022-05-20T10:24:11,0,10,0,10
2022-05-20T10:34:27,0,10,0,10
2022-05-20T10:44:43,0,10,0,10
2022-05-20T10:55:12,0,10,0,10
2022-05-20T11:05:28,0,10,0,10
2022-05-20T11:15:45,0,10,0,10
2022-05-20T11:26:01,0,10,0,10
2022-05-20T11:36:16,0,10,0,10
2022-05-20T11:46:33,0,10,0,10
2022-05-20T11:57:02,0,10,0,10
2022-05-20T12:07:18,0,10,0,10
2022-05-20T12:17:33,0,10,0,10
2022-05-20T12:27:48,0,10,0,10
2022-05-20T12:38:03,0,10,0,10
2022-05-20T12:48:19,0,10,0,10
2022-05-20T12:58:35,0,10,0,10
2022-05-20T13:09:02,0,10,0,10
2022-05-20T13:19:18,0,10,0,10
2022-05-20T13:29:34,0,10,0,10
2022-05-20T13:39:52,0,10,0,10
2022-05-20T13:50:08,0,10,0,10
2022-05-20T14:00:23,0,10,0,10
2022-05-20T14:10:50,0,10,0,10
2022-05-20T14:21:05,0,10,0,10
2022-05-20T14:31:21,0,10,0,10
2022-05-20T14:41:36,0,10,0,10
2022-05-20T14:51:52,0,10,0,10
2022-05-20T15:02:07,0,10,0,10
2022-05-20T15:12:33,0,10,0,10
2022-05-20T15:22:48,0,10,0,10
2022-05-20T15:33:04,0,10,0,10
2022-05-20T15:43:19,0,10,0,10
2022-05-20T15:53:34,0,10,0,10
2022-05-20T16:03:49,0,10,0,10
2022-05-20T16:14:04,0,10,0,10
2022-05-20T16:24:29,0,10,0,10
2022-05-20T16:34:44,0,10,0,10
2022-05-20T16:44:58,0,10,0,10
2022-05-20T16:55:12,0,10,0,10
2022-05-20T17:05:27,0,10,0,10
2022-05-20T17:15:41,0,10,0,10
2022-05-20T17:25:54,0,10,0,10
2022-05-20T17:36:08,0,10,0,10
2022-05-20T17:46:23,0,10,0,10
2022-05-20T17:56:37,0,10,0,10
2022-05-20T18:06:51,0,10,0,10
2022-05-20T18:17:13,0,10,0,10
2022-05-20T18:27:27,0,10,0,10
2022-05-20T18:37:40,0,10,0,10
2022-05-20T18:47:53,0,10,0,10
2022-05-20T18:58:07,0,10,0,10
2022-05-20T19:08:21,0,10,0,10
2022-05-20T19:18:35,0,10,0,10
2022-05-20T19:28:49,0,10,0,10
2022-05-20T19:39:02,0,10,0,10
2022-05-20T19:49:17,0,10,0,10
2022-05-20T19:59:41,0,10,0,10
2022-05-20T20:09:54,0,10,0,10
2022-05-20T20:20:08,0,10,0,10
2022-05-20T20:30:22,0,10,0,10
2022-05-20T20:40:35,0,10,0,10
2022-05-20T20:50:49,1,9,0,10
2022-05-20T21:01:02,1,9,0,10
2022-05-20T21:11:16,1,9,0,10
2022-05-20T21:21:29,1,9,0,10
2022-05-20T21:31:54,1,9,0,10
2022-05-20T21:42:07,1,9,0,10
2022-05-20T21:52:21,1,9,0,10
2022-05-20T22:02:35,1,9,0,10
2022-05-20T22:12:49,1,9,0,10
2022-05-20T22:23:04,1,9,0,10
2022-05-20T22:33:18,1,9,0,10
2022-05-20T22:43:31,1,9,0,10
2022-05-20T22:53:44,1,9,0,10
2022-05-20T23:03:58,1,9,0,10
2022-05-20T23:14:23,1,9,0,10
2022-05-20T23:24:37,1,9,0,10
2022-05-20T23:34:50,1,9,0,10
2022-05-20T23:45:04,1,9,0,10
2022-05-20T23:55:17,1,9,0,10
2022-05-21T00:05:32,1,9,0,10
2022-05-21T00:15:48,1,9,0,10
2022-05-21T00:26:04,1,9,0,10
2022-05-21T00:36:20,1,9,0,10
2022-05-21T00:46:36,1,9,0,10
2022-05-21T00:56:51,1,9,0,10
2022-05-21T01:07:06,1,9,0,10
2022-05-21T01:17:22,1,9,0,10
2022-05-21T01:27:36,1,9,0,10
2022-05-21T01:37:52,1,9,0,10
2022-05-21T01:48:07,1,9,0,10
2022-05-21T01:58:31,1,9,0,10
2022-05-21T02:08:45,1,9,0,10
2022-05-21T02:18:59,1,9,0,10
2022-05-21T02:29:12,1,9,0,10
2022-05-21T02:39:25,1,9,0,10
2022-05-21T02:49:38,1,9,0,10
2022-05-21T02:59:51,1,9,0,10
2022-05-21T03:10:04,1,9,0,10
2022-05-21T03:20:24,1,9,0,10
2022-05-21T03:30:39,1,9,0,10
2022-05-21T03:40:54,1,9,0,10
2022-05-21T03:51:10,1,9,0,10
2022-05-21T04:01:25,1,9,0,10
2022-05-21T04:27:01,1,9,0,10
2022-05-21T04:38:26,1,9,0,10
2022-05-21T04:48:58,1,9,0,10
2022-05-21T04:59:14,1,9,0,10
2022-05-21T05:09:29,1,9,0,10
2022-05-21T05:19:45,1,9,0,10
2022-05-21T05:30:01,1,9,0,10
2022-05-21T05:40:17,1,9,0,10
2022-05-21T05:50:33,1,9,0,10
2022-05-21T06:00:48,1,9,0,10
2022-05-21T06:11:04,1,9,0,10
2022-05-21T06:21:20,1,9,0,10
2022-05-21T06:31:35,1,9,0,10
2022-05-21T06:41:51,1,9,0,10
2022-05-21T06:52:06,1,9,0,10
2022-05-21T07:02:22,1,9,0,10
2022-05-21T07:12:37,1,9,0,10
2022-05-21T07:22:52,1,9,0,10
2022-05-21T07:33:07,1,9,0,10
2022-05-21T07:43:22,1,9,0,10
2022-05-21T07:53:37,1,9,0,10
2022-05-21T08:03:51,1,9,0,10
2022-05-21T08:14:08,1,9,0,10
2022-05-21T08:24:23,1,9,0,10
2022-05-21T08:34:37,1,9,0,10
2022-05-21T08:44:52,1,9,0,10
2022-05-21T08:55:28,1,9,0,10
2022-05-21T09:05:42,1,9,0,10
2022-05-21T09:15:55,1,9,0,10
2022-05-21T09:26:08,1,9,0,10
2022-05-21T09:36:21,1,9,0,10
2022-05-21T09:46:34,1,9,0,10
2022-05-21T09:56:47,1,9,0,10
2022-05-21T10:07:01,1,9,0,10
2022-05-21T10:17:14,1,9,0,10
2022-05-21T10:27:27,1,9,0,10
2022-05-21T10:37:40,1,9,0,10
2022-05-21T10:47:53,1,9,0,10
2022-05-21T10:58:07,1,9,0,10
2022-05-21T11:08:20,1,9,0,10
2022-05-21T11:18:45,1,9,0,10
2022-05-21T11:28:59,1,9,0,10
2022-05-21T11:39:13,1,9,0,10
2022-05-21T11:49:26,1,9,0,10
2022-05-21T11:59:39,1,9,0,10
2022-05-21T12:09:54,1,9,0,10
2022-05-21T12:20:08,1,9,0,10
2022-05-21T12:30:21,1,9,0,10
2022-05-21T12:40:55,1,9,0,10
2022-05-21T12:51:08,1,9,0,10
2022-05-21T13:01:22,1,9,0,10
2022-05-21T13:11:35,1,9,0,10
2022-05-21T13:21:49,1,9,0,10
2022-05-21T13:32:02,1,9,0,10
2022-05-21T13:42:15,1,9,0,10
2022-05-21T13:52:29,1,9,0,10
2022-05-21T14:02:42,1,9,0,10
2022-05-21T14:13:06,1,9,0,10
2022-05-21T14:23:19,1,9,0,10
2022-05-21T14:33:32,1,9,0,10
2022-05-21T14:43:46,1,9,0,10
2022-05-21T14:54:01,1,9,0,10
2022-05-21T15:04:15,1,9,0,10
2022-05-21T15:14:29,1,9,0,10
2022-05-21T15:24:52,1,9,0,10
2022-05-21T15:35:06,1,9,0,10
2022-05-21T15:45:20,1,9,0,10
2022-05-21T15:55:33,1,9,0,10
2022-05-21T16:05:46,1,9,0,10
2022-05-21T16:16:00,1,9,0,10
2022-05-21T16:26:13,1,9,0,10
2022-05-21T16:36:27,1,9,0,10
2022-05-21T16:46:40,1,9,0,10
2022-05-21T16:56:54,1,9,0,10
2022-05-21T17:07:26,1,9,0,10
2022-05-21T17:17:40,1,9,0,10
2022-05-21T17:27:54,1,9,0,10
2022-05-21T17:38:07,1,9,0,10
2022-05-21T17:48:20,1,9,0,10
2022-05-21T17:58:33,1,9,0,10
2022-05-21T18:08:47,1,9,0,10
2022-05-21T18:19:00,1,9,0,10
2022-05-21T18:29:14,1,9,0,10
2022-05-21T18:39:28,1,9,0,10
2022-05-21T18:50:09,1,9,0,10
2022-05-21T19:00:22,1,9,0,10
2022-05-21T19:10:36,1,9,0,10
2022-05-21T19:20:49,1,9,0,10
2022-05-21T19:31:02,1,9,0,10
2022-05-21T19:41:16,1,9,0,10
2022-05-21T19:51:31,1,9,0,10
