time,enrolled,available,waitlisted,total
2022-05-20T04:35:27,0,20,0,20
2022-05-20T04:45:44,0,20,0,20
2022-05-20T04:56:00,0,20,0,20
2022-05-20T05:06:17,0,20,0,20
2022-05-20T05:16:32,0,20,0,20
2022-05-20T05:26:47,0,20,0,20
2022-05-20T05:37:03,0,20,0,20
2022-05-20T05:47:19,0,20,0,20
2022-05-20T05:57:34,0,20,0,20
2022-05-20T06:07:50,0,20,0,20
2022-05-20T06:18:04,0,20,0,20
2022-05-20T06:28:20,0,20,0,20
2022-05-20T06:38:35,0,20,0,20
2022-05-20T06:48:48,0,20,0,20
2022-05-20T06:59:02,0,20,0,20
2022-05-20T07:09:19,0,20,0,20
2022-05-20T07:19:32,0,20,0,20
2022-05-20T07:29:46,0,20,0,20
2022-05-20T07:40:00,0,20,0,20
2022-05-20T07:50:14,0,20,0,20
2022-05-20T08:00:28,0,20,0,20
2022-05-20T08:10:42,0,20,0,20
2022-05-20T08:20:57,0,20,0,20
2022-05-20T08:31:13,0,20,0,20
2022-05-20T08:41:27,0,20,0,20
2022-05-20T08:51:42,0,20,0,20
2022-05-20T09:01:57,0,20,0,20
2022-05-20T09:12:25,0,20,0,20
2022-05-20T09:22:40,0,20,0,20
2022-05-20T09:32:56,0,20,0,20
2022-05-20T09:43:12,0,20,0,20
2022-05-20T09:53:28,0,20,0,20
2022-05-20T10:03:45,0,20,0,20
2022-05-20T10:14:01,0,20,0,20
2022-05-20T10:24:16,0,20,0,20
2022-05-20T10:34:32,0,20,0,20
2022-05-20T10:44:48,0,20,0,20
2022-05-20T10:55:17,0,20,0,20
2022-05-20T11:05:33,0,20,0,20
2022-05-20T11:15:49,0,20,0,20
2022-05-20T11:26:06,0,20,0,20
2022-05-20T11:36:21,0,20,0,20
2022-05-20T11:46:37,0,20,0,20
2022-05-20T11:57:07,0,20,0,20
2022-05-20T12:07:23,0,20,0,20
2022-05-20T12:17:38,0,20,0,20
2022-05-20T12:27:53,0,20,0,20
2022-05-20T12:38:08,0,20,0,20
2022-05-20T12:48:24,0,20,0,20
2022-05-20T12:58:40,0,20,0,20
2022-05-20T13:09:07,0,20,0,20
2022-05-20T13:19:23,0,20,0,20
2022-05-20T13:29:39,0,20,0,20
2022-05-20T13:39:56,0,20,0,20
2022-05-20T13:50:12,0,20,0,20
2022-05-20T14:00:28,0,20,0,20
2022-05-20T14:10:54,0,20,0,20
2022-05-20T14:21:10,0,20,0,20
2022-05-20T14:31:26,0,20,0,20
2022-05-20T14:41:41,0,20,0,20
2022-05-20T14:51:56,0,20,0,20
2022-05-20T15:02:12,0,20,0,20
2022-05-20T15:12:38,0,20,0,20
2022-05-20T15:22:53,0,20,0,20
2022-05-20T15:33:09,0,20,0,20
2022-05-20T15:43:23,0,20,0,20
2022-05-20T15:53:38,0,20,0,20
2022-05-20T16:03:53,0,20,0,20
2022-05-20T16:14:08,0,20,0,20
2022-05-20T16:24:34,0,20,0,20
2022-05-20T16:34:48,0,20,0,20
2022-05-20T16:45:02,0,20,0,20
2022-05-20T16:55:17,0,20,0,20
2022-05-20T17:05:31,0,20,0,20
2022-05-20T17:15:46,0,20,0,20
2022-05-20T17:25:59,0,20,0,20
2022-05-20T17:36:13,0,20,0,20
2022-05-20T17:46:27,0,20,0,20
2022-05-20T17:56:41,0,20,0,20
2022-05-20T18:06:55,0,20,0,20
2022-05-20T18:17:18,0,20,0,20
2022-05-20T18:27:32,0,20,0,20
2022-05-20T18:37:45,0,20,0,20
2022-05-20T18:47:58,0,20,0,20
2022-05-20T18:58:12,0,20,0,20
2022-05-20T19:08:26,0,20,0,20
2022-05-20T19:18:40,0,20,0,20
2022-05-20T19:28:54,0,20,0,20
2022-05-20T19:39:09,0,20,0,20
2022-05-20T19:49:22,0,20,0,20
2022-05-20T19:59:46,0,20,0,20
2022-05-20T20:09:59,0,20,0,20
2022-05-20T20:20:13,0,20,0,20
2022-05-20T20:30:27,0,20,0,20
2022-05-20T20:40:40,0,20,0,20
2022-05-20T20:50:54,0,20,0,20
2022-05-20T21:01:07,0,20,0,20
2022-05-20T21:11:21,0,20,0,20
2022-05-20T21:21:34,0,20,0,20
2022-05-20T21:31:59,0,20,0,20
2022-05-20T21:42:12,0,20,0,20
2022-05-20T21:52:26,0,20,0,20
2022-05-20T22:02:40,0,20,0,20
2022-05-20T22:12:54,0,20,0,20
2022-05-20T22:23:09,0,20,0,20
2022-05-20T22:33:22,0,20,0,20
2022-05-20T22:43:35,0,20,0,20
2022-05-20T22:53:49,0,20,0,20
2022-05-20T23:04:03,0,20,0,20
2022-05-20T23:14:28,0,20,0,20
2022-05-20T23:24:41,0,20,0,20
2022-05-20T23:34:55,0,20,0,20
2022-05-20T23:45:09,0,20,0,20
2022-05-20T23:55:22,0,20,0,20
2022-05-21T00:05:37,0,20,0,20
2022-05-21T00:15:53,0,20,0,20
2022-05-21T00:26:09,0,20,0,20
2022-05-21T00:36:25,0,20,0,20
2022-05-21T00:46:40,0,20,0,20
2022-05-21T00:56:56,0,20,0,20
2022-05-21T01:07:11,0,20,0,20
2022-05-21T01:17:27,0,20,0,20
2022-05-21T01:27:41,0,20,0,20
2022-05-21T01:37:57,0,20,0,20
2022-05-21T01:48:12,0,20,0,20
2022-05-21T01:58:36,0,20,0,20
2022-05-21T02:08:50,0,20,0,20
2022-05-21T02:19:04,0,20,0,20
2022-05-21T02:29:17,0,20,0,20
2022-05-21T02:39:30,0,20,0,20
2022-05-21T02:49:43,0,20,0,20
2022-05-21T02:59:56,0,20,0,20
2022-05-21T03:10:09,0,20,0,20
2022-05-21T03:20:29,0,20,0,20
2022-05-21T03:30:43,0,20,0,20
2022-05-21T03:40:59,0,20,0,20
2022-05-21T03:51:15,0,20,0,20
2022-05-21T04:01:30,0,20,0,20
