time,enrolled,available,waitlisted,total
2022-04-11T04:23:24,0,60,0,60
2022-04-11T04:27:25,0,60,0,60
2022-04-11T04:31:38,0,60,0,60
2022-04-11T04:35:40,0,60,0,60
2022-04-11T04:39:41,0,60,0,60
2022-04-11T04:43:42,0,60,0,60
2022-04-11T04:47:44,0,60,0,60
2022-04-11T04:51:45,0,60,0,60
2022-04-11T04:55:46,0,60,0,60
2022-04-11T04:59:48,0,60,0,60
2022-04-11T05:03:49,0,60,0,60
2022-04-11T05:07:50,0,60,0,60
2022-04-11T05:11:52,0,60,0,60
2022-04-11T05:15:53,0,60,0,60
2022-04-11T05:19:54,0,60,0,60
2022-04-11T05:23:55,0,60,0,60
2022-04-11T05:27:57,0,60,0,60
2022-04-11T05:31:58,0,60,0,60
2022-04-11T05:35:59,0,60,0,60
2022-04-11T05:40:00,0,60,0,60
2022-04-11T05:44:02,0,60,0,60
2022-04-11T05:48:03,0,60,0,60
2022-04-11T05:52:04,0,60,0,60
2022-04-11T05:56:05,0,60,0,60
2022-04-11T06:00:06,0,60,0,60
2022-04-11T06:04:08,0,60,0,60
2022-04-11T06:08:09,0,60,0,60
2022-04-11T06:12:10,0,60,0,60
2022-04-11T06:16:11,0,60,0,60
2022-04-11T06:20:13,0,60,0,60
2022-04-11T06:24:14,0,60,0,60
2022-04-11T06:28:15,0,60,0,60
2022-04-11T06:32:16,0,60,0,60
2022-04-11T06:36:17,0,60,0,60
2022-04-11T06:40:18,0,60,0,60
2022-04-11T06:44:20,0,60,0,60
2022-04-11T06:48:21,0,60,0,60
2022-04-11T06:52:22,0,60,0,60
2022-04-11T06:56:23,0,60,0,60
2022-04-11T07:00:24,0,60,0,60
2022-04-11T07:04:25,0,60,0,60
2022-04-11T07:08:27,0,60,0,60
2022-04-11T07:12:28,0,60,0,60
2022-04-11T07:16:29,0,60,0,60
2022-04-11T07:20:30,0,60,0,60
2022-04-11T07:24:31,0,60,0,60
2022-04-11T07:28:32,0,60,0,60
2022-04-11T07:32:34,0,60,0,60
2022-04-11T07:36:35,0,60,0,60
2022-04-11T07:40:36,0,60,0,60
2022-04-11T07:44:37,0,60,0,60
2022-04-11T07:48:38,0,60,0,60
2022-04-11T07:52:39,0,60,0,60
2022-04-11T07:56:41,0,60,0,60
2022-04-11T08:00:42,0,60,0,60
2022-04-11T08:04:43,0,60,0,60
2022-04-11T08:08:44,0,60,0,60
2022-04-11T08:12:45,0,60,0,60
2022-04-11T08:16:46,0,60,0,60
2022-04-11T08:20:48,0,60,0,60
2022-04-11T08:24:49,0,60,0,60
2022-04-11T08:28:50,0,60,0,60
2022-04-11T08:32:51,1,59,0,60
2022-04-11T08:36:52,1,59,0,60
2022-04-11T08:40:53,1,59,0,60
2022-04-11T08:45:04,1,59,0,60
2022-04-11T08:49:05,1,59,0,60
2022-04-11T08:53:07,1,59,0,60
2022-04-11T08:57:08,1,59,0,60
2022-04-11T09:01:09,1,59,0,60
2022-04-11T09:05:10,1,59,0,60
2022-04-11T09:09:12,1,59,0,60
2022-04-11T09:13:13,1,59,0,60
2022-04-11T09:17:14,1,59,0,60
2022-04-11T09:21:15,1,59,0,60
2022-04-11T09:25:16,1,59,0,60
2022-04-11T09:29:17,1,59,0,60
2022-04-11T09:33:19,1,59,0,60
2022-04-11T09:37:20,1,59,0,60
2022-04-11T09:41:21,1,59,0,60
2022-04-11T09:45:22,1,59,0,60
2022-04-11T09:49:23,1,59,0,60
2022-04-11T09:53:24,1,59,0,60
2022-04-11T09:57:25,1,59,0,60
2022-04-11T10:01:27,1,59,0,60
2022-04-11T10:05:28,2,58,0,60
2022-04-11T10:09:29,2,58,0,60
2022-04-11T10:13:30,2,58,0,60
2022-04-11T10:17:31,2,58,0,60
2022-04-11T10:21:33,2,58,0,60
2022-04-11T10:25:34,2,58,0,60
2022-04-11T10:29:35,2,58,0,60
2022-04-11T10:33:36,2,58,0,60
2022-04-11T10:37:37,2,58,0,60
2022-04-11T10:41:39,2,58,0,60
2022-04-11T10:45:40,2,58,0,60
2022-04-11T10:49:41,2,58,0,60
2022-04-11T10:53:42,2,58,0,60
2022-04-11T10:57:47,2,58,0,60
2022-04-11T11:01:49,2,58,0,60
2022-04-11T11:05:50,2,58,0,60
2022-04-11T11:09:51,2,58,0,60
2022-04-11T11:13:52,2,58,0,60
2022-04-11T11:17:54,2,58,0,60
2022-04-11T11:21:55,2,58,0,60
2022-04-11T11:25:56,2,58,0,60
2022-04-11T11:29:57,2,58,0,60
2022-04-11T11:33:58,2,58,0,60
2022-04-11T11:37:59,2,58,0,60
2022-04-11T11:42:01,2,58,0,60
2022-04-11T11:46:02,2,58,0,60
2022-04-11T11:50:03,2,58,0,60
2022-04-11T11:54:04,2,58,0,60
2022-04-11T11:58:05,2,58,0,60
2022-04-11T12:02:07,2,58,0,60
2022-04-11T12:06:08,2,58,0,60
2022-04-11T12:10:09,2,58,0,60
2022-04-11T12:14:10,2,58,0,60
2022-04-11T12:18:11,2,58,0,60
2022-04-11T12:22:12,2,58,0,60
2022-04-11T12:26:13,3,57,0,60
2022-04-11T12:30:15,3,57,0,60
