time,enrolled,available,waitlisted,total,normalized_available,normalized_waitlisted,normalized_enrolled
2022-04-12T08:28:20,0,0,0,0,-1,-1,-1
2022-04-12T08:32:27,0,0,0,0,-1,-1,-1
2022-04-12T08:36:34,0,0,0,0,-1,-1,-1
2022-04-12T08:40:41,0,0,0,0,-1,-1,-1
2022-04-12T08:44:48,0,0,0,0,-1,-1,-1
2022-04-12T08:48:56,0,0,0,0,-1,-1,-1
2022-04-12T08:53:03,0,0,0,0,-1,-1,-1
2022-04-12T08:57:10,0,0,0,0,-1,-1,-1
2022-04-12T09:01:17,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:05:24,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:09:32,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:13:39,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:17:46,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:21:53,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:26:01,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:30:08,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:34:15,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:38:22,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:42:30,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:46:37,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:50:44,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:54:51,0,15,0,15,1.0,0.0,0.0
2022-04-12T09:58:58,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:03:06,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:07:13,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:11:20,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:15:27,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:19:43,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:23:50,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:27:57,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:32:05,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:36:12,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:40:19,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:44:26,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:48:33,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:52:41,0,15,0,15,1.0,0.0,0.0
2022-04-12T10:56:48,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:00:55,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:05:02,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:09:09,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:13:17,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:17:24,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:21:31,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:25:38,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:29:46,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:34:01,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:38:09,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:42:16,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:46:23,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:50:30,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:54:37,0,15,0,15,1.0,0.0,0.0
2022-04-12T11:58:45,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:02:52,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:06:59,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:11:06,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:15:13,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:19:21,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:23:28,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:27:42,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:31:49,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:35:56,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:40:03,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:44:11,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:48:18,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:52:25,0,15,0,15,1.0,0.0,0.0
2022-04-12T12:56:32,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:00:39,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:04:47,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:08:54,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:13:01,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:17:08,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:21:15,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:25:22,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:29:29,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:33:37,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:37:48,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:41:55,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:46:02,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:50:09,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:54:16,0,15,0,15,1.0,0.0,0.0
2022-04-12T13:58:24,0,15,0,15,1.0,0.0,0.0
2022-04-12T14:02:31,0,15,0,15,1.0,0.0,0.0
2022-04-12T14:06:38,0,15,0,15,1.0,0.0,0.0
2022-04-12T14:10:45,0,15,0,15,1.0,0.0,0.0
