time,enrolled,available,waitlisted,total
2022-04-11T04:24:06,0,80,0,80
2022-04-11T04:28:07,0,80,0,80
2022-04-11T04:32:20,0,80,0,80
2022-04-11T04:36:22,0,80,0,80
2022-04-11T04:40:23,0,80,0,80
2022-04-11T04:44:25,0,80,0,80
2022-04-11T04:48:26,0,80,0,80
2022-04-11T04:52:27,0,80,0,80
2022-04-11T04:56:28,0,80,0,80
2022-04-11T05:00:30,0,80,0,80
2022-04-11T05:04:31,0,80,0,80
2022-04-11T05:08:33,0,80,0,80
2022-04-11T05:12:34,0,80,0,80
2022-04-11T05:16:35,0,80,0,80
2022-04-11T05:20:36,0,80,0,80
2022-04-11T05:24:38,0,80,0,80
2022-04-11T05:28:39,0,80,0,80
2022-04-11T05:32:40,0,80,0,80
2022-04-11T05:36:41,0,80,0,80
2022-04-11T05:40:43,0,80,0,80
2022-04-11T05:44:44,0,80,0,80
2022-04-11T05:48:45,0,80,0,80
2022-04-11T05:52:46,0,80,0,80
2022-04-11T05:56:47,0,80,0,80
2022-04-11T06:00:49,0,80,0,80
2022-04-11T06:04:50,0,80,0,80
2022-04-11T06:08:51,0,80,0,80
2022-04-11T06:12:52,0,80,0,80
2022-04-11T06:16:54,0,80,0,80
2022-04-11T06:20:55,0,80,0,80
2022-04-11T06:24:56,0,80,0,80
2022-04-11T06:28:57,0,80,0,80
2022-04-11T06:32:58,0,80,0,80
2022-04-11T06:37:00,0,80,0,80
2022-04-11T06:41:01,0,80,0,80
2022-04-11T06:45:02,0,80,0,80
2022-04-11T06:49:03,0,80,0,80
2022-04-11T06:53:04,0,80,0,80
2022-04-11T06:57:05,0,80,0,80
2022-04-11T07:01:06,0,80,0,80
2022-04-11T07:05:08,0,80,0,80
2022-04-11T07:09:09,0,80,0,80
2022-04-11T07:13:10,0,80,0,80
2022-04-11T07:17:11,0,80,0,80
2022-04-11T07:21:12,0,80,0,80
2022-04-11T07:25:13,0,80,0,80
2022-04-11T07:29:15,0,80,0,80
2022-04-11T07:33:16,0,80,0,80
2022-04-11T07:37:17,0,80,0,80
2022-04-11T07:41:18,0,80,0,80
2022-04-11T07:45:19,0,80,0,80
2022-04-11T07:49:20,0,80,0,80
2022-04-11T07:53:22,0,80,0,80
2022-04-11T07:57:23,0,80,0,80
2022-04-11T08:01:24,0,80,0,80
2022-04-11T08:05:25,0,80,0,80
2022-04-11T08:09:26,0,80,0,80
2022-04-11T08:13:27,0,80,0,80
2022-04-11T08:17:29,0,80,0,80
2022-04-11T08:21:30,1,79,0,80
2022-04-11T08:25:31,1,79,0,80
2022-04-11T08:29:32,1,79,0,80
2022-04-11T08:33:33,1,79,0,80
2022-04-11T08:37:34,1,79,0,80
2022-04-11T08:41:36,1,79,0,80
2022-04-11T08:45:47,1,79,0,80
2022-04-11T08:49:48,1,79,0,80
2022-04-11T08:53:49,1,79,0,80
2022-04-11T08:57:50,1,79,0,80
2022-04-11T09:01:51,1,79,0,80
2022-04-11T09:05:53,1,79,0,80
2022-04-11T09:09:54,1,79,0,80
2022-04-11T09:13:55,1,79,0,80
2022-04-11T09:17:56,1,79,0,80
2022-04-11T09:21:57,1,79,0,80
2022-04-11T09:25:58,1,79,0,80
2022-04-11T09:30:00,1,79,0,80
2022-04-11T09:34:01,1,79,0,80
2022-04-11T09:38:02,1,79,0,80
2022-04-11T09:42:03,1,79,0,80
2022-04-11T09:46:04,1,79,0,80
2022-04-11T09:50:05,1,79,0,80
2022-04-11T09:54:07,1,79,0,80
2022-04-11T09:58:08,1,79,0,80
2022-04-11T10:02:09,1,79,0,80
2022-04-11T10:06:10,1,79,0,80
2022-04-11T10:10:11,1,79,0,80
2022-04-11T10:14:12,1,79,0,80
2022-04-11T10:18:14,1,79,0,80
2022-04-11T10:22:15,1,79,0,80
2022-04-11T10:26:16,1,79,0,80
2022-04-11T10:30:17,1,79,0,80
2022-04-11T10:34:18,1,79,0,80
2022-04-11T10:38:19,1,79,0,80
2022-04-11T10:42:21,1,79,0,80
2022-04-11T10:46:22,1,79,0,80
2022-04-11T10:50:23,1,79,0,80
2022-04-11T10:54:28,1,79,0,80
2022-04-11T10:58:30,1,79,0,80
2022-04-11T11:02:31,1,79,0,80
2022-04-11T11:06:32,1,79,0,80
2022-04-11T11:10:33,1,79,0,80
2022-04-11T11:14:35,1,79,0,80
2022-04-11T11:18:36,1,79,0,80
2022-04-11T11:22:37,1,79,0,80
2022-04-11T11:26:38,1,79,0,80
2022-04-11T11:30:39,1,79,0,80
2022-04-11T11:34:40,1,79,0,80
2022-04-11T11:38:42,1,79,0,80
2022-04-11T11:42:43,1,79,0,80
2022-04-11T11:46:44,1,79,0,80
2022-04-11T11:50:45,1,79,0,80
2022-04-11T11:54:46,1,79,0,80
2022-04-11T11:58:47,1,79,0,80
2022-04-11T12:02:49,1,79,0,80
2022-04-11T12:06:50,1,79,0,80
2022-04-11T12:10:51,1,79,0,80
2022-04-11T12:14:52,1,79,0,80
2022-04-11T12:18:53,1,79,0,80
2022-04-11T12:22:55,1,79,0,80
2022-04-11T12:26:56,1,79,0,80
2022-04-11T12:30:57,1,79,0,80
2022-04-11T12:35:07,1,79,0,80
2022-04-11T12:39:08,1,79,0,80
