time,enrolled,available,waitlisted,total
2022-05-19T14:13:10,0,0,0,0
2022-05-19T14:17:31,0,0,1,0
2022-05-19T14:21:51,0,0,1,0
2022-05-19T14:26:11,0,0,1,0
2022-05-19T14:30:31,0,0,1,0
2022-05-19T14:34:52,0,0,1,0
2022-05-19T14:39:12,0,0,1,0
2022-05-19T14:43:32,0,0,1,0
2022-05-19T14:47:53,0,0,1,0
2022-05-19T14:52:13,0,0,1,0
2022-05-19T14:56:33,0,0,1,0
2022-05-19T15:01:00,0,0,1,0
2022-05-19T15:05:20,0,0,1,0
2022-05-19T15:09:41,0,0,1,0
2022-05-19T15:14:01,0,0,1,0
2022-05-19T15:18:21,0,0,1,0
2022-05-19T15:22:42,0,0,1,0
2022-05-19T15:27:02,0,0,1,0
2022-05-19T15:31:22,0,0,1,0
2022-05-19T15:35:42,0,0,1,0
2022-05-19T15:40:03,0,0,1,0
2022-05-19T15:44:23,0,0,1,0
2022-05-19T15:48:44,0,0,1,0
2022-05-19T15:53:04,0,0,1,0
2022-05-19T15:57:24,0,0,1,0
2022-05-19T16:01:45,0,0,1,0
2022-05-19T16:06:05,0,0,1,0
2022-05-19T16:10:25,0,0,1,0
2022-05-19T16:14:46,0,0,1,0
2022-05-19T16:19:25,0,0,1,0
2022-05-19T16:23:45,0,0,1,0
2022-05-19T16:28:05,0,0,1,0
2022-05-19T16:32:25,0,0,1,0
2022-05-19T16:36:46,0,0,1,0
2022-05-19T16:41:06,0,0,1,0
2022-05-19T16:45:26,0,0,1,0
2022-05-19T16:49:47,0,0,1,0
2022-05-19T16:54:07,0,0,1,0
2022-05-19T16:58:27,0,0,1,0
2022-05-19T17:02:48,0,0,1,0
2022-05-19T17:07:08,0,0,1,0
2022-05-19T17:11:28,0,0,1,0
2022-05-19T17:15:49,0,0,1,0
2022-05-19T17:20:09,0,0,1,0
2022-05-19T17:24:29,0,0,1,0
2022-05-19T17:28:49,0,0,1,0
2022-05-19T17:33:09,0,0,1,0
2022-05-19T17:37:30,0,0,1,0
2022-05-19T17:41:50,0,0,1,0
2022-05-19T17:46:10,0,0,1,0
2022-05-19T17:50:30,0,0,1,0
2022-05-19T17:54:59,0,0,1,0
2022-05-19T17:59:19,0,0,1,0
2022-05-19T18:03:40,0,0,1,0
2022-05-19T18:08:00,0,0,1,0
2022-05-19T18:12:20,0,0,1,0
2022-05-19T18:16:40,0,0,1,0
2022-05-19T18:21:01,0,0,1,0
2022-05-19T18:25:21,0,0,1,0
2022-05-19T18:29:41,0,0,1,0
2022-05-19T18:34:02,0,0,1,0
2022-05-19T18:38:22,0,0,1,0
2022-05-19T18:42:42,0,0,1,0
2022-05-19T18:47:02,0,0,1,0
2022-05-19T18:51:23,0,0,1,0
2022-05-19T18:55:43,0,0,1,0
2022-05-19T19:00:04,0,0,1,0
2022-05-19T19:04:24,0,0,1,0
2022-05-19T19:08:45,0,0,1,0
2022-05-19T19:13:06,0,0,1,0
2022-05-19T19:17:27,0,0,1,0
2022-05-19T19:21:47,0,0,1,0
2022-05-19T19:26:16,0,0,1,0
2022-05-19T19:30:37,0,0,1,0
2022-05-19T19:34:58,0,0,1,0
2022-05-19T19:39:19,0,0,1,0
2022-05-19T19:43:39,0,0,1,0
2022-05-19T19:48:00,0,0,1,0
2022-05-19T19:52:20,0,0,1,0
2022-05-19T19:56:41,0,0,1,0
2022-05-19T20:01:02,0,0,1,0
2022-05-19T20:05:22,0,0,1,0
2022-05-19T20:09:43,0,0,1,0
2022-05-19T20:14:04,0,0,1,0
2022-05-19T20:18:24,0,0,1,0
2022-05-19T20:22:45,0,0,1,0
2022-05-19T20:27:05,0,0,1,0
2022-05-19T20:31:25,0,0,1,0
2022-05-19T20:35:45,0,0,1,0
2022-05-19T20:40:06,0,0,1,0
2022-05-19T20:44:26,0,0,1,0
2022-05-19T20:48:47,0,0,1,0
