time,enrolled,available,waitlisted,total
2022-07-02T04:25:43,28,22,0,50
2022-07-02T04:30:20,28,22,0,50
2022-07-02T04:34:46,28,22,0,50
2022-07-02T04:39:13,28,22,0,50
2022-07-02T04:43:39,28,22,0,50
2022-07-02T04:48:06,28,22,0,50
2022-07-02T04:52:32,28,22,0,50
2022-07-02T04:56:59,28,22,0,50
2022-07-02T05:01:25,28,22,0,50
2022-07-02T05:05:51,28,22,0,50
2022-07-02T05:10:18,28,22,0,50
2022-07-02T05:14:44,28,22,0,50
2022-07-02T05:19:10,28,22,0,50
2022-07-02T05:23:37,28,22,0,50
2022-07-02T05:28:04,28,22,0,50
2022-07-02T05:32:30,28,22,0,50
2022-07-02T05:36:57,28,22,0,50
2022-07-02T05:41:23,28,22,0,50
2022-07-02T05:45:49,28,22,0,50
2022-07-02T05:50:16,28,22,0,50
2022-07-02T05:54:42,28,22,0,50
2022-07-02T05:59:08,28,22,0,50
2022-07-02T06:03:35,28,22,0,50
2022-07-02T06:08:01,28,22,0,50
2022-07-02T06:12:27,28,22,0,50
2022-07-02T06:16:54,28,22,0,50
2022-07-02T06:21:20,28,22,0,50
2022-07-02T06:25:47,28,22,0,50
2022-07-02T06:30:13,28,22,0,50
2022-07-02T06:34:39,28,22,0,50
2022-07-02T06:39:06,28,22,0,50
2022-07-02T06:43:32,28,22,0,50
2022-07-02T06:47:58,28,22,0,50
2022-07-02T06:52:25,28,22,0,50
2022-07-02T06:56:51,28,22,0,50
2022-07-02T07:01:17,28,22,0,50
2022-07-02T07:05:44,28,22,0,50
2022-07-02T07:10:10,28,22,0,50
2022-07-02T07:14:36,28,22,0,50
2022-07-02T07:19:03,28,22,0,50
2022-07-02T07:23:29,28,22,0,50
2022-07-02T07:27:55,28,22,0,50
2022-07-02T07:32:22,28,22,0,50
2022-07-02T07:36:48,28,22,0,50
2022-07-02T07:41:14,28,22,0,50
2022-07-02T07:45:41,28,22,0,50
2022-07-02T07:50:07,28,22,0,50
2022-07-02T07:54:33,28,22,0,50
2022-07-02T07:59:00,28,22,0,50
2022-07-02T08:03:26,28,22,0,50
2022-07-02T08:07:52,28,22,0,50
2022-07-02T08:12:19,28,22,0,50
2022-07-02T08:16:45,28,22,0,50
2022-07-02T08:21:12,28,22,0,50
2022-07-02T08:25:38,28,22,0,50
2022-07-02T08:30:04,28,22,0,50
2022-07-02T08:34:31,28,22,0,50
2022-07-02T08:38:57,28,22,0,50
2022-07-02T08:43:23,28,22,0,50
2022-07-02T08:47:49,28,22,0,50
2022-07-02T08:52:16,28,22,0,50
2022-07-02T08:56:42,28,22,0,50
2022-07-02T09:01:08,28,22,0,50
2022-07-02T09:05:35,28,22,0,50
2022-07-02T09:10:01,28,22,0,50
2022-07-02T09:14:27,28,22,0,50
2022-07-02T09:18:53,28,22,0,50
2022-07-02T09:23:20,28,22,0,50
2022-07-02T09:27:46,28,22,0,50
2022-07-02T09:32:13,28,22,0,50
2022-07-02T09:36:40,28,22,0,50
2022-07-02T09:41:15,28,22,0,50
2022-07-02T09:45:42,28,22,0,50
2022-07-02T09:50:08,28,22,0,50
2022-07-02T09:54:34,28,22,0,50
2022-07-02T09:59:01,28,22,0,50
2022-07-02T10:03:27,28,22,0,50
2022-07-02T10:07:53,28,22,0,50
2022-07-02T10:12:19,28,22,0,50
2022-07-02T10:16:46,28,22,0,50
2022-07-02T10:21:12,28,22,0,50
2022-07-02T10:25:38,28,22,0,50
2022-07-02T10:30:04,28,22,0,50
2022-07-02T10:34:31,28,22,0,50
2022-07-02T10:38:57,28,22,0,50
2022-07-02T10:43:23,28,22,0,50
2022-07-02T10:47:49,28,22,0,50
2022-07-02T10:52:15,28,22,0,50
2022-07-02T10:56:42,28,22,0,50
2022-07-02T11:01:08,28,22,0,50
2022-07-02T11:05:34,28,22,0,50
2022-07-02T11:10:01,28,22,0,50
2022-07-02T11:14:27,28,22,0,50
2022-07-02T11:18:53,28,22,0,50
2022-07-02T11:23:20,28,22,0,50
2022-07-02T11:27:46,28,22,0,50
2022-07-02T11:32:27,28,22,0,50
2022-07-02T11:36:54,28,22,0,50
2022-07-02T11:41:20,28,22,0,50
2022-07-02T11:45:46,28,22,0,50
2022-07-02T11:50:13,28,22,0,50
2022-07-02T11:54:39,28,22,0,50
2022-07-02T11:59:05,28,22,0,50
2022-07-02T12:03:32,28,22,0,50
2022-07-02T12:07:58,28,22,0,50
2022-07-02T12:12:24,28,22,0,50
2022-07-02T12:16:50,28,22,0,50
2022-07-02T12:21:17,28,22,0,50
2022-07-02T12:25:43,28,22,0,50
2022-07-02T12:30:09,28,22,0,50
2022-07-02T12:34:36,28,22,0,50
2022-07-02T12:39:02,28,22,0,50
2022-07-02T12:43:28,28,22,0,50
2022-07-02T12:47:55,28,22,0,50
2022-07-02T12:52:21,28,22,0,50
2022-07-02T12:56:48,28,22,0,50
2022-07-02T13:01:14,28,22,0,50
2022-07-02T13:05:40,28,22,0,50
2022-07-02T13:10:06,28,22,0,50
