time,enrolled,available,waitlisted,total
2022-07-02T04:27:37,104,29,0,133
2022-07-02T04:32:14,104,29,0,133
2022-07-02T04:36:41,104,29,0,133
2022-07-02T04:41:07,104,29,0,133
2022-07-02T04:45:34,104,29,0,133
2022-07-02T04:50:00,104,29,0,133
2022-07-02T04:54:27,104,29,0,133
2022-07-02T04:58:53,104,29,0,133
2022-07-02T05:03:19,104,29,0,133
2022-07-02T05:07:46,104,29,0,133
2022-07-02T05:12:12,104,29,0,133
2022-07-02T05:16:39,104,29,0,133
2022-07-02T05:21:06,104,29,0,133
2022-07-02T05:25:32,104,29,0,133
2022-07-02T05:29:58,104,29,0,133
2022-07-02T05:34:25,104,29,0,133
2022-07-02T05:38:51,104,29,0,133
2022-07-02T05:43:18,104,29,0,133
2022-07-02T05:47:44,104,29,0,133
2022-07-02T05:52:10,104,29,0,133
2022-07-02T05:56:37,104,29,0,133
2022-07-02T06:01:03,104,29,0,133
2022-07-02T06:05:29,104,29,0,133
2022-07-02T06:09:56,104,29,0,133
2022-07-02T06:14:22,104,29,0,133
2022-07-02T06:18:48,104,29,0,133
2022-07-02T06:23:15,104,29,0,133
2022-07-02T06:27:41,104,29,0,133
2022-07-02T06:32:07,104,29,0,133
2022-07-02T06:36:34,104,29,0,133
2022-07-02T06:41:00,104,29,0,133
2022-07-02T06:45:26,104,29,0,133
2022-07-02T06:49:53,104,29,0,133
2022-07-02T06:54:19,104,29,0,133
2022-07-02T06:58:46,104,29,0,133
2022-07-02T07:03:12,104,29,0,133
2022-07-02T07:07:38,104,29,0,133
2022-07-02T07:12:05,104,29,0,133
2022-07-02T07:16:31,104,29,0,133
2022-07-02T07:20:57,104,29,0,133
2022-07-02T07:25:24,104,29,0,133
2022-07-02T07:29:50,104,29,0,133
2022-07-02T07:34:16,104,29,0,133
2022-07-02T07:38:43,104,29,0,133
2022-07-02T07:43:09,104,29,0,133
2022-07-02T07:47:35,104,29,0,133
2022-07-02T07:52:02,104,29,0,133
2022-07-02T07:56:28,104,29,0,133
2022-07-02T08:00:54,104,29,0,133
2022-07-02T08:05:21,104,29,0,133
2022-07-02T08:09:47,104,29,0,133
2022-07-02T08:14:13,104,29,0,133
2022-07-02T08:18:40,104,29,0,133
2022-07-02T08:23:06,104,29,0,133
2022-07-02T08:27:32,104,29,0,133
2022-07-02T08:31:59,104,29,0,133
2022-07-02T08:36:25,104,29,0,133
2022-07-02T08:40:51,104,29,0,133
2022-07-02T08:45:18,104,29,0,133
2022-07-02T08:49:44,104,29,0,133
2022-07-02T08:54:10,104,29,0,133
2022-07-02T08:58:37,104,29,0,133
2022-07-02T09:03:03,104,29,0,133
2022-07-02T09:07:29,104,29,0,133
2022-07-02T09:11:55,104,29,0,133
