time,enrolled,available,waitlisted,total
2022-07-02T04:28:08,80,10,0,90
2022-07-02T04:32:45,80,10,0,90
2022-07-02T04:37:11,80,10,0,90
2022-07-02T04:41:38,80,10,0,90
2022-07-02T04:46:04,80,10,0,90
2022-07-02T04:50:31,80,10,0,90
2022-07-02T04:54:57,80,10,0,90
2022-07-02T04:59:23,80,10,0,90
2022-07-02T05:03:50,80,10,0,90
2022-07-02T05:08:16,80,10,0,90
2022-07-02T05:12:42,80,10,0,90
2022-07-02T05:17:09,80,10,0,90
2022-07-02T05:21:36,80,10,0,90
2022-07-02T05:26:02,80,10,0,90
2022-07-02T05:30:29,80,10,0,90
2022-07-02T05:34:55,80,10,0,90
2022-07-02T05:39:21,80,10,0,90
2022-07-02T05:43:48,80,10,0,90
2022-07-02T05:48:14,80,10,0,90
2022-07-02T05:52:40,80,10,0,90
2022-07-02T05:57:07,80,10,0,90
2022-07-02T06:01:33,80,10,0,90
2022-07-02T06:05:59,80,10,0,90
2022-07-02T06:10:26,80,10,0,90
2022-07-02T06:14:52,80,10,0,90
2022-07-02T06:19:19,80,10,0,90
2022-07-02T06:23:45,80,10,0,90
2022-07-02T06:28:11,80,10,0,90
2022-07-02T06:32:38,80,10,0,90
2022-07-02T06:37:04,80,10,0,90
2022-07-02T06:41:30,80,10,0,90
2022-07-02T06:45:57,80,10,0,90
2022-07-02T06:50:23,80,10,0,90
2022-07-02T06:54:49,80,10,0,90
2022-07-02T06:59:16,80,10,0,90
2022-07-02T07:03:42,80,10,0,90
2022-07-02T07:08:08,80,10,0,90
2022-07-02T07:12:35,80,10,0,90
2022-07-02T07:17:01,80,10,0,90
2022-07-02T07:21:27,80,10,0,90
2022-07-02T07:25:54,80,10,0,90
2022-07-02T07:30:20,80,10,0,90
2022-07-02T07:34:46,80,10,0,90
2022-07-02T07:39:13,80,10,0,90
2022-07-02T07:43:39,80,10,0,90
2022-07-02T07:48:05,80,10,0,90
2022-07-02T07:52:32,80,10,0,90
2022-07-02T07:56:58,80,10,0,90
2022-07-02T08:01:24,80,10,0,90
2022-07-02T08:05:51,80,10,0,90
2022-07-02T08:10:17,80,10,0,90
2022-07-02T08:14:43,80,10,0,90
2022-07-02T08:19:10,80,10,0,90
2022-07-02T08:23:36,80,10,0,90
2022-07-02T08:28:03,80,10,0,90
2022-07-02T08:32:29,80,10,0,90
2022-07-02T08:36:55,80,10,0,90
2022-07-02T08:41:22,80,10,0,90
2022-07-02T08:45:48,80,10,0,90
2022-07-02T08:50:14,80,10,0,90
2022-07-02T08:54:41,80,10,0,90
2022-07-02T08:59:07,80,10,0,90
2022-07-02T09:03:33,80,10,0,90
2022-07-02T09:07:59,80,10,0,90
2022-07-02T09:12:26,80,10,0,90
2022-07-02T09:16:52,80,10,0,90
2022-07-02T09:21:18,80,10,0,90
2022-07-02T09:25:44,80,10,0,90
2022-07-02T09:30:12,80,10,0,90
2022-07-02T09:34:38,80,10,0,90
2022-07-02T09:39:14,80,10,0,90
2022-07-02T09:43:40,80,10,0,90
2022-07-02T09:48:06,80,10,0,90
2022-07-02T09:52:33,80,10,0,90
2022-07-02T09:56:59,80,10,0,90
2022-07-02T10:01:25,80,10,0,90
2022-07-02T10:05:52,80,10,0,90
2022-07-02T10:10:18,80,10,0,90
2022-07-02T10:14:44,80,10,0,90
2022-07-02T10:19:10,80,10,0,90
2022-07-02T10:23:37,80,10,0,90
2022-07-02T10:28:03,80,10,0,90
2022-07-02T10:32:29,80,10,0,90
2022-07-02T10:36:55,80,10,0,90
2022-07-02T10:41:22,80,10,0,90
2022-07-02T10:45:48,80,10,0,90
2022-07-02T10:50:14,80,10,0,90
2022-07-02T10:54:40,80,10,0,90
2022-07-02T10:59:06,80,10,0,90
2022-07-02T11:03:33,80,10,0,90
2022-07-02T11:07:59,80,10,0,90
2022-07-02T11:12:25,80,10,0,90
2022-07-02T11:16:52,80,10,0,90
2022-07-02T11:21:18,80,10,0,90
2022-07-02T11:25:45,80,10,0,90
2022-07-02T11:30:23,80,10,0,90
2022-07-02T11:34:52,80,10,0,90
2022-07-02T11:39:18,80,10,0,90
2022-07-02T11:43:45,80,10,0,90
2022-07-02T11:48:11,80,10,0,90
2022-07-02T11:52:37,80,10,0,90
2022-07-02T11:57:04,80,10,0,90
2022-07-02T12:01:30,80,10,0,90
2022-07-02T12:05:56,80,10,0,90
2022-07-02T12:10:22,80,10,0,90
2022-07-02T12:14:49,80,10,0,90
2022-07-02T12:19:15,80,10,0,90
2022-07-02T12:23:41,80,10,0,90
2022-07-02T12:28:08,80,10,0,90
2022-07-02T12:32:34,80,10,0,90
2022-07-02T12:37:01,80,10,0,90
2022-07-02T12:41:27,80,10,0,90
2022-07-02T12:45:53,80,10,0,90
2022-07-02T12:50:19,80,10,0,90
2022-07-02T12:54:46,80,10,0,90
2022-07-02T12:59:12,80,10,0,90
2022-07-02T13:03:39,80,10,0,90
2022-07-02T13:08:05,80,10,0,90
2022-07-02T13:12:31,80,10,0,90
2022-07-02T13:16:57,80,10,0,90
2022-07-02T13:21:24,80,10,0,90
2022-07-02T13:25:50,80,10,0,90
2022-07-02T13:30:16,80,10,0,90
2022-07-02T13:34:42,80,10,0,90
2022-07-02T13:39:09,80,10,0,90
2022-07-02T13:43:35,80,10,0,90
2022-07-02T13:48:01,80,10,0,90
2022-07-02T13:52:27,80,10,0,90
2022-07-02T13:56:54,80,10,0,90
2022-07-02T14:01:20,80,10,0,90
2022-07-02T14:05:46,80,10,0,90
2022-07-02T14:10:12,80,10,0,90
2022-07-02T14:14:39,80,10,0,90
2022-07-02T14:19:05,80,10,0,90
2022-07-02T14:23:31,80,10,0,90
2022-07-02T14:27:58,80,10,0,90
2022-07-02T14:32:24,80,10,0,90
2022-07-02T14:36:50,80,10,0,90
2022-07-02T14:41:16,80,10,0,90
2022-07-02T14:45:42,80,10,0,90
2022-07-02T14:50:09,80,10,0,90
2022-07-02T14:54:35,80,10,0,90
2022-07-02T14:59:01,80,10,0,90
2022-07-02T15:03:27,80,10,0,90
2022-07-02T15:07:54,80,10,0,90
2022-07-02T15:12:20,80,10,0,90
2022-07-02T15:16:46,80,10,0,90
2022-07-02T15:21:12,80,10,0,90
2022-07-02T15:25:38,80,10,0,90
2022-07-02T15:30:05,80,10,0,90
2022-07-02T15:34:31,80,10,0,90
2022-07-02T15:38:57,80,10,0,90
2022-07-02T15:43:35,80,10,0,90
2022-07-02T15:48:01,80,10,0,90
2022-07-02T15:52:27,80,10,0,90
2022-07-02T15:56:53,80,10,0,90
2022-07-02T16:01:20,80,10,0,90
2022-07-02T16:05:46,80,10,0,90
2022-07-02T16:10:12,80,10,0,90
2022-07-02T16:14:38,80,10,0,90
2022-07-02T16:19:04,80,10,0,90
2022-07-02T16:23:31,80,10,0,90
2022-07-02T16:27:57,80,10,0,90
2022-07-02T16:32:23,80,10,0,90
2022-07-02T16:36:49,80,10,0,90
2022-07-02T16:41:16,80,10,0,90
2022-07-02T16:45:42,80,10,0,90
2022-07-02T16:50:08,80,10,0,90
2022-07-02T16:54:34,80,10,0,90
2022-07-02T16:59:00,80,10,0,90
2022-07-02T17:03:27,80,10,0,90
2022-07-02T17:07:53,80,10,0,90
2022-07-02T17:12:19,80,10,0,90
2022-07-02T17:16:46,80,10,0,90
2022-07-02T17:21:12,80,10,0,90
2022-07-02T17:25:38,80,10,0,90
2022-07-02T17:30:04,80,10,0,90
2022-07-02T17:34:30,80,10,0,90
2022-07-02T17:38:57,80,10,0,90
2022-07-02T17:43:23,80,10,0,90
2022-07-02T17:47:49,80,10,0,90
2022-07-02T17:52:15,80,10,0,90
2022-07-02T17:56:41,80,10,0,90
2022-07-02T18:01:08,80,10,0,90
2022-07-02T18:05:34,80,10,0,90
2022-07-02T18:10:00,80,10,0,90
2022-07-02T18:14:26,80,10,0,90
2022-07-02T18:18:53,80,10,0,90
2022-07-02T18:23:19,80,10,0,90
2022-07-02T18:27:45,80,10,0,90
2022-07-02T18:32:11,80,10,0,90
2022-07-02T18:36:37,80,10,0,90
2022-07-02T18:41:13,80,10,0,90
2022-07-02T18:45:40,80,10,0,90
2022-07-02T18:50:06,80,10,0,90
2022-07-02T18:54:32,80,10,0,90
2022-07-02T18:58:58,80,10,0,90
2022-07-02T19:03:25,80,10,0,90
2022-07-02T19:07:51,80,10,0,90
2022-07-02T19:12:17,80,10,0,90
2022-07-02T19:16:43,80,10,0,90
2022-07-02T19:21:09,80,10,0,90
2022-07-02T19:25:36,80,10,0,90
2022-07-02T19:30:02,80,10,0,90
2022-07-02T19:34:28,80,10,0,90
2022-07-02T19:38:55,80,10,0,90
2022-07-02T19:43:21,80,10,0,90
2022-07-02T19:47:47,80,10,0,90
2022-07-02T19:52:14,80,10,0,90
2022-07-02T19:56:40,80,10,0,90
2022-07-02T20:01:06,80,10,0,90
2022-07-02T20:05:32,80,10,0,90
2022-07-02T20:09:58,80,10,0,90
2022-07-02T20:14:25,80,10,0,90
2022-07-02T20:18:51,80,10,0,90
2022-07-02T20:23:18,80,10,0,90
2022-07-02T20:27:44,80,10,0,90
2022-07-02T20:32:10,80,10,0,90
2022-07-02T20:36:36,80,10,0,90
2022-07-02T20:41:02,80,10,0,90
2022-07-02T20:45:29,80,10,0,90
2022-07-02T20:49:55,80,10,0,90
2022-07-02T20:54:21,80,10,0,90
2022-07-02T20:58:48,80,10,0,90
2022-07-02T21:03:14,80,10,0,90
2022-07-02T21:07:40,80,10,0,90
2022-07-02T21:12:07,80,10,0,90
2022-07-02T21:16:33,80,10,0,90
2022-07-02T21:20:59,80,10,0,90
2022-07-02T21:25:25,80,10,0,90
2022-07-02T21:29:52,80,10,0,90
2022-07-02T21:34:18,80,10,0,90
2022-07-02T21:38:44,80,10,0,90
2022-07-02T21:43:10,80,10,0,90
2022-07-02T21:47:37,80,10,0,90
2022-07-02T21:52:03,80,10,0,90
2022-07-02T21:56:29,80,10,0,90
2022-07-02T22:00:55,80,10,0,90
2022-07-02T22:05:22,80,10,0,90
2022-07-02T22:09:48,80,10,0,90
2022-07-02T22:14:14,80,10,0,90
2022-07-02T22:18:48,80,10,0,90
2022-07-02T22:23:14,80,10,0,90
