time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1657970527708,COGS 9,A01,083615,Shannon; Kyle Michael,11,0,75,64
1657970533748,COGS 11,A01,083617,Boyle; Mary E. T.,23,0,48,25
1657970539777,COGS 13,A01,083071,Bastos; Amalia Pinkusfeld,12,0,71,59
1657970545818,COGS 14A,A01,092681,Semenuks; Arturs,5,1,100,95
1657970551846,COGS 14B,A01,083073,Cheng; Tzu-Han,7,0,63,56
1657970557877,COGS 17,A01,092677,Semenuks; Arturs,7,0,81,74
1657970563915,COGS 100,A01,083619,Allen; Michael Gordon,17,0,70,53
1657970569946,COGS 101A,A01,083621,Davis; Joshua Daniel,9,0,68,59
1657970575976,COGS 101B,A01,091572,Allen; Michael Gordon,14,0,65,51
1657970582013,COGS 101C,A01,083625,Delgado; Tania,17,0,35,18
1657970588042,COGS 107A,A01,083627,Boyle; Mary E. T.,14,0,60,46
1657970594071,COGS 118A,A01,083075,Gupta; Anjum,21,0,76,55
1657970600116,CSE 3,A50,083646,Miranda; Gregory Joseph,24,0,50,26
1657970606147,CSE 8A,A50,083650,Miranda; Gregory Joseph,17,1,56,39
1657970612188,CSE 11,A01,083080,Cao; Yingjun,7,15,40,33
1657970618235,CSE 12,A01,083652,Krause-Levy; Sophia Louisa,30,1,120,90
1657970624268,CSE 15L,A01,083654,Morris; Justin Loren,9,0,50,41
1657970624268,CSE 15L,A02,083655,Morris; Justin Loren,11,0,50,39
1657970630301,CSE 20,A01,083657,Tran; Khoa Dang,39,0,80,41
1657970636334,CSE 21,A01,095574,Bach; Quang Tran,23,0,48,25
1657970642367,CSE 30,A01,083084,Eldon; John,8,0,80,72
1657970642367,CSE 30,B01,095061,Bhaskar; Nishant,9,0,50,41
1657970648395,CSE 100,A01,083659,Cao; Yingjun,5,4,70,65
1657970654423,CSE 134B,A01,083661,Powell; Thomas Allan,25,0,100,75
1657970660453,CSE 140,A01,083663,Gungor; Onat,17,0,85,68
1657970666485,CSE 140L,A01,083088,Eldon; John,23,0,100,77
1657970672531,CSE 175,A01,083665,Kumar; Rakesh,3,0,25,22
1657970678564,CSE 190,A00,092507,Dubnov; Shlomo,8,0,20,12
1657970684595,ECE 45,A01,083139,Congero; Spencer William,7,0,75,68
1657970690630,ECE 65,A50,083695,Saad; Andrew S,12,0,30,18
1657970690630,ECE 65,A51,095125,Saad; Andrew S,24,0,26,2
1657970696673,ECE 109,A01,091882,Touri; Behrouz,21,0,70,49
1657970702707,ECE 180,A00,083140,Abi Samra; Nicholas Camill,1,0,30,29
1657970702707,ECE 180,B00,083141,Abi Samra; Nicholas Camill,0,0,30,30
1657970708746,MATH 10A,A01,083735,Patchell; Gregory David,2,0,30,28
1657970708746,MATH 10A,A02,083736,Patchell; Gregory David,20,0,30,10
1657970708746,MATH 10A,A03,083737,Patchell; Gregory David,16,0,30,14
1657970714784,MATH 10B,A01,083207,Lim; Seonhee,9,0,34,25
1657970714784,MATH 10B,A02,083208,Lim; Seonhee,10,0,35,25
1657970714784,MATH 10B,A03,093472,Lim; Seonhee,7,0,34,27
1657970714784,MATH 10B,B01,083739,Sinha; Shubham,14,0,30,16
1657970720830,MATH 18,A01,083743,Cinel; Cameron Alexander,9,0,30,21
1657970720830,MATH 18,A02,083744,Cinel; Cameron Alexander,18,0,30,12
1657970720830,MATH 18,A03,083745,Cinel; Cameron Alexander,10,0,30,20
1657970720830,MATH 18,B01,083748,Rideout; David Porter,5,0,37,32
1657970720830,MATH 18,B02,083749,Rideout; David Porter,5,0,36,31
1657970720830,MATH 18,B03,083750,Rideout; David Porter,3,0,37,34
1657970720830,MATH 18,B04,083751,Rideout; David Porter,7,0,36,29
1657970720830,MATH 18,B05,093473,Rideout; David Porter,7,0,36,29
1657970720830,MATH 18,B06,093474,Rideout; David Porter,6,0,36,30
1657970726859,MATH 20A,A01,083754,Zheng; Zequn,14,0,40,26
1657970732908,MATH 20B,A01,083756,Briones; Jor-el Thomas Caparas,4,0,36,32
1657970732908,MATH 20B,A02,083757,Briones; Jor-el Thomas Caparas,1,0,36,35
1657970732908,MATH 20B,A03,093475,Briones; Jor-el Thomas Caparas,3,0,36,33
1657970738940,MATH 20C,A01,083760,Briones; Jor-el Thomas Caparas,1,0,35,34
1657970738940,MATH 20C,A02,083761,Briones; Jor-el Thomas Caparas,8,0,35,27
1657970738940,MATH 20C,A03,093476,Briones; Jor-el Thomas Caparas,0,1,36,36
1657970738940,MATH 20C,B01,083762,Bach; Quang Tran,1,0,30,29
1657970744972,MATH 20D,A01,083765,Tran; Brian Kha,5,0,30,25
1657970744972,MATH 20D,A02,083766,Tran; Brian Kha,5,0,30,25
1657970744972,MATH 20D,A03,083767,Tran; Brian Kha,6,0,30,24
1657970751014,MATH 20E,A01,083771,Ganguly; Soumya,12,0,32,20
1657970751014,MATH 20E,A02,083772,Ganguly; Soumya,7,0,32,25
1657970751014,MATH 20E,B01,083773,Ciotti; Benjamin,20,0,35,15
1657970751014,MATH 20E,B02,083774,Ciotti; Benjamin,18,0,35,17
1657970757056,MATH 103A,A01,083777,Greenfeld; Be'Eri,6,0,36,30
1657970757056,MATH 103A,A02,083778,Greenfeld; Be'Eri,5,0,36,31
1657970757056,MATH 103A,A03,093561,Greenfeld; Be'Eri,7,0,36,29
1657970757056,MATH 103A,B01,083779,Greenfeld; Be'Eri,8,0,36,28
