time,enrolled,available,waitlisted,total
2022-07-02T04:28:32,97,5,0,102
2022-07-02T04:33:09,97,5,0,102
2022-07-02T04:37:35,97,5,0,102
2022-07-02T04:42:02,97,5,0,102
2022-07-02T04:46:28,97,5,0,102
2022-07-02T04:50:55,97,5,0,102
2022-07-02T04:55:21,97,5,0,102
2022-07-02T04:59:47,97,5,0,102
2022-07-02T05:04:14,97,5,0,102
2022-07-02T05:08:40,97,5,0,102
2022-07-02T05:13:06,97,5,0,102
2022-07-02T05:17:33,97,5,0,102
2022-07-02T05:22:00,97,5,0,102
2022-07-02T05:26:26,97,5,0,102
2022-07-02T05:30:53,97,5,0,102
2022-07-02T05:35:19,97,5,0,102
2022-07-02T05:39:45,97,5,0,102
2022-07-02T05:44:12,97,5,0,102
2022-07-02T05:48:38,97,5,0,102
2022-07-02T05:53:05,97,5,0,102
2022-07-02T05:57:31,97,5,0,102
2022-07-02T06:01:57,97,5,0,102
2022-07-02T06:06:24,97,5,0,102
2022-07-02T06:10:50,97,5,0,102
2022-07-02T06:15:16,97,5,0,102
2022-07-02T06:19:43,97,5,0,102
2022-07-02T06:24:09,97,5,0,102
2022-07-02T06:28:35,97,5,0,102
2022-07-02T06:33:02,97,5,0,102
2022-07-02T06:37:28,97,5,0,102
2022-07-02T06:41:54,97,5,0,102
2022-07-02T06:46:21,97,5,0,102
2022-07-02T06:50:47,97,5,0,102
2022-07-02T06:55:13,97,5,0,102
2022-07-02T06:59:40,97,5,0,102
2022-07-02T07:04:06,97,5,0,102
2022-07-02T07:08:33,97,5,0,102
2022-07-02T07:12:59,97,5,0,102
2022-07-02T07:17:25,97,5,0,102
2022-07-02T07:21:52,97,5,0,102
2022-07-02T07:26:18,97,5,0,102
2022-07-02T07:30:44,97,5,0,102
2022-07-02T07:35:11,97,5,0,102
2022-07-02T07:39:37,97,5,0,102
2022-07-02T07:44:03,97,5,0,102
2022-07-02T07:48:30,97,5,0,102
2022-07-02T07:52:56,97,5,0,102
2022-07-02T07:57:22,97,5,0,102
2022-07-02T08:01:49,97,5,0,102
2022-07-02T08:06:15,97,5,0,102
2022-07-02T08:10:41,97,5,0,102
2022-07-02T08:15:08,97,5,0,102
2022-07-02T08:19:34,97,5,0,102
2022-07-02T08:24:00,97,5,0,102
2022-07-02T08:28:27,97,5,0,102
2022-07-02T08:32:53,97,5,0,102
2022-07-02T08:37:19,97,5,0,102
2022-07-02T08:41:46,97,5,0,102
2022-07-02T08:46:12,97,5,0,102
2022-07-02T08:50:38,97,5,0,102
2022-07-02T08:55:05,97,5,0,102
2022-07-02T08:59:31,97,5,0,102
2022-07-02T09:03:57,97,5,0,102
2022-07-02T09:08:24,97,5,0,102
2022-07-02T09:12:50,97,5,0,102
2022-07-02T09:17:16,97,5,0,102
2022-07-02T09:21:42,97,5,0,102
2022-07-02T09:26:09,97,5,0,102
2022-07-02T09:30:36,97,5,0,102
2022-07-02T09:35:02,97,5,0,102
2022-07-02T09:39:38,97,5,0,102
2022-07-02T09:44:04,97,5,0,102
2022-07-02T09:48:30,97,5,0,102
2022-07-02T09:52:57,97,5,0,102
2022-07-02T09:57:23,97,5,0,102
2022-07-02T10:01:49,97,5,0,102
2022-07-02T10:06:16,97,5,0,102
2022-07-02T10:10:42,97,5,0,102
