time,enrolled,available,waitlisted,total,normalized_available,normalized_waitlisted,normalized_enrolled
2022-04-11T04:35:57,0,30,0,30,1.0,0.0,0.0
2022-04-11T04:40:22,0,30,0,30,1.0,0.0,0.0
2022-04-11T04:44:47,0,30,0,30,1.0,0.0,0.0
2022-04-11T04:49:13,0,30,0,30,1.0,0.0,0.0
2022-04-11T04:53:38,0,30,0,30,1.0,0.0,0.0
2022-04-11T04:58:04,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:02:29,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:06:55,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:11:20,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:15:45,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:20:11,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:24:36,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:29:01,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:33:27,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:37:52,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:42:17,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:46:43,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:51:08,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:55:33,0,30,0,30,1.0,0.0,0.0
2022-04-11T05:59:59,0,30,0,30,1.0,0.0,0.0
2022-04-11T06:04:24,0,30,0,30,1.0,0.0,0.0
2022-04-11T06:08:49,0,30,0,30,1.0,0.0,0.0
2022-04-11T06:13:15,0,30,0,30,1.0,0.0,0.0
2022-04-11T06:17:40,0,30,0,30,1.0,0.0,0.0
2022-04-11T06:22:06,0,30,0,30,1.0,0.0,0.0
2022-04-11T06:26:31,0,30,0,30,1.0,0.0,0.0
2022-04-11T06:30:57,0,30,0,30,1.0,0.0,0.0
2022-04-11T06:35:22,0,30,0,30,1.0,0.0,0.0
2022-04-11T06:39:47,0,30,0,30,1.0,0.0,0.0
2022-04-11T06:44:12,0,30,0,30,1.0,0.0,0.0
