time,enrolled,available,waitlisted,total
2022-04-11T04:39:16,0,90,0,90
2022-04-11T04:43:41,0,90,0,90
2022-04-11T04:48:06,0,90,0,90
2022-04-11T04:52:32,0,90,0,90
2022-04-11T04:56:57,0,90,0,90
2022-04-11T05:01:23,0,90,0,90
2022-04-11T05:05:48,0,90,0,90
2022-04-11T05:10:14,0,90,0,90
2022-04-11T05:14:39,0,90,0,90
2022-04-11T05:19:04,0,90,0,90
2022-04-11T05:23:30,0,90,0,90
2022-04-11T05:27:55,0,90,0,90
2022-04-11T05:32:20,0,90,0,90
2022-04-11T05:36:46,0,90,0,90
2022-04-11T05:41:11,0,90,0,90
2022-04-11T05:45:36,0,90,0,90
2022-04-11T05:50:02,0,90,0,90
2022-04-11T05:54:27,0,90,0,90
2022-04-11T05:58:52,0,90,0,90
2022-04-11T06:03:18,0,90,0,90
2022-04-11T06:07:43,0,90,0,90
2022-04-11T06:12:09,0,90,0,90
2022-04-11T06:16:34,0,90,0,90
2022-04-11T06:20:59,0,90,0,90
2022-04-11T06:25:25,0,90,0,90
2022-04-11T06:29:50,0,90,0,90
2022-04-11T06:34:16,0,90,0,90
2022-04-11T06:38:41,0,90,0,90
2022-04-11T06:43:06,0,90,0,90
2022-04-11T06:47:31,0,90,0,90
2022-04-11T06:51:57,0,90,0,90
2022-04-11T06:56:22,0,90,0,90
2022-04-11T07:00:47,0,90,0,90
2022-04-11T07:05:12,0,90,0,90
2022-04-11T07:09:38,0,90,0,90
2022-04-11T07:14:03,0,90,0,90
2022-04-11T07:18:28,0,90,0,90
2022-04-11T07:22:53,0,90,0,90
2022-04-11T07:27:19,0,90,0,90
2022-04-11T07:31:44,0,90,0,90
2022-04-11T07:36:09,0,90,0,90
2022-04-11T07:40:34,0,90,0,90
2022-04-11T07:45:00,0,90,0,90
2022-04-11T07:49:25,0,90,0,90
2022-04-11T07:53:55,0,90,0,90
2022-04-11T07:58:20,0,90,0,90
2022-04-11T08:02:45,0,90,0,90
2022-04-11T08:07:11,0,90,0,90
2022-04-11T08:11:36,0,90,0,90
2022-04-11T08:16:01,0,90,0,90
2022-04-11T08:20:26,0,90,0,90
2022-04-11T08:24:52,0,90,0,90
2022-04-11T08:29:17,0,90,0,90
2022-04-11T08:33:42,0,90,0,90
2022-04-11T08:38:08,0,90,0,90
2022-04-11T08:42:33,0,90,0,90
2022-04-11T08:46:58,0,90,0,90
2022-04-11T08:51:23,0,90,0,90
2022-04-11T08:55:49,0,90,0,90
2022-04-11T09:00:14,0,90,0,90
2022-04-11T09:04:39,0,90,0,90
2022-04-11T09:09:05,0,90,0,90
2022-04-11T09:13:30,0,90,0,90
2022-04-11T09:17:55,0,90,0,90
2022-04-11T09:22:21,0,90,0,90
2022-04-11T09:26:46,0,90,0,90
2022-04-11T09:31:11,0,90,0,90
2022-04-11T09:35:37,0,90,0,90
2022-04-11T09:40:02,0,90,0,90
2022-04-11T09:44:27,0,90,0,90
2022-04-11T09:48:52,0,90,0,90
2022-04-11T09:53:18,0,90,0,90
2022-04-11T09:57:43,0,90,0,90
2022-04-11T10:02:08,0,90,0,90
2022-04-11T10:06:34,0,90,0,90
2022-04-11T10:10:59,0,90,0,90
2022-04-11T10:15:24,0,90,0,90
2022-04-11T10:19:50,0,90,0,90
2022-04-11T10:24:27,0,90,0,90
2022-04-11T10:28:52,0,90,0,90
2022-04-11T10:33:17,0,90,0,90
2022-04-11T10:37:43,0,90,0,90
2022-04-11T10:42:08,1,89,0,90
2022-04-11T10:46:33,1,89,0,90
2022-04-11T10:50:58,1,89,0,90
2022-04-11T10:55:24,1,89,0,90
2022-04-11T10:59:49,1,89,0,90
2022-04-11T11:04:14,1,89,0,90
2022-04-11T11:08:40,1,89,0,90
2022-04-11T11:13:05,1,89,0,90
2022-04-11T11:17:30,1,89,0,90
2022-04-11T11:21:56,1,89,0,90
2022-04-11T11:26:21,1,89,0,90
2022-04-11T11:30:46,1,89,0,90
2022-04-11T11:35:11,1,89,0,90
2022-04-11T11:39:37,1,89,0,90
2022-04-11T11:44:02,1,89,0,90
2022-04-11T11:48:27,1,89,0,90
2022-04-11T11:52:59,1,89,0,90
2022-04-11T11:57:24,1,89,0,90
2022-04-11T12:01:49,1,89,0,90
2022-04-11T12:06:14,1,89,0,90
2022-04-11T12:10:40,1,89,0,90
2022-04-11T12:15:05,1,89,0,90
2022-04-11T12:19:30,1,89,0,90
2022-04-11T12:23:56,1,89,0,90
2022-04-11T12:28:21,1,89,0,90
2022-04-11T12:32:46,1,89,0,90
2022-04-11T12:37:12,1,89,0,90
2022-04-11T12:41:37,1,89,0,90
2022-04-11T12:46:02,1,89,0,90
2022-04-11T12:50:28,1,89,0,90
2022-04-11T12:54:53,1,89,0,90
2022-04-11T12:59:18,1,89,0,90
2022-04-11T13:03:44,1,89,0,90
2022-04-11T13:08:09,1,89,0,90
2022-04-11T13:12:34,1,89,0,90
