time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1650971648526,COGS 2,A01,083966,Boyle; Mary E. T.,1,2,31,30
1650971654564,COGS 9,A01,083968,Staff,1,15,60,59
1650971660614,COGS 14B,A01,083970,Staff,6,0,65,59
1650971666641,COGS 17,A01,092679,Staff,17,0,75,58
1650971672670,COGS 100,A01,083972,Staff,0,29,60,60
1650971684735,COGS 101C,A01,083976,Staff,0,1,30,30
1650971690769,COGS 102A,A01,083978,Johnson; Christine M.,0,8,30,30
1650971696803,COGS 107B,A01,083980,Staff,0,19,50,50
1650971702832,COGS 115,A01,083982,Staff,6,0,30,24
1650971708868,COGS 118B,A01,083367,Staff,0,23,40,40
1650971714901,COGS 172,A01,083984,Provenzano; Emily Kara,8,0,30,22
1650971720932,COGS 177,A00,083368,Tung; Janet C,0,27,30,30
1650971726960,COGS 186,A01,083986,Staff,11,0,40,29
1650971732994,COGS 187A,A01,083988,Boyle; Mary E. T.,0,9,60,60
1650971739030,CSE 8A,A50,084003,Miranda; Gregory Joseph,0,27,15,15
1650971745067,CSE 11,A01,084005,Miranda; Gregory Joseph,0,45,55,55
1650971751101,CSE 20,A01,084007,Briones; Jor-el Thomas Caparas,0,9,20,20
1650971757131,CSE 21,A01,084009,Braun; Oliver,0,43,50,50
1650971763161,CSE 30,A01,083370,Cao; Yingjun,0,72,40,40
1650971769192,CSE 100,A01,083372,Cao; Yingjun,0,67,40,40
1650971775227,CSE 101,A01,084011,Braun; Oliver,0,84,40,40
1650971781255,CSE 141,A01,083374,Eldon; John,2,4,150,148
1650971787286,CSE 141L,A01,083376,Eldon; John,0,11,150,150
1650971793314,CSE 175,A01,084013,Kumar; Rakesh,17,0,25,8
1650971799345,CSE 190,A00,092508,Dubnov; Shlomo,13,0,20,7
1650971805375,ECE 5,A01,084049,Morris; Karcher William,9,0,20,11
1650971811409,ECE 100,A01,084051,Baghdadchi; Saharnaz,0,1,20,20
1650971811409,ECE 100,A02,091916,Baghdadchi; Saharnaz,5,0,20,15
1650971817441,ECE 101,A01,084053,Baghdadchi; Saharnaz,1,0,37,36
1650971817441,ECE 101,A02,084054,Baghdadchi; Saharnaz,14,0,37,23
