time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1658662004175,COGS 2,A01,083966,Boyle; Mary E. T.,1,0,35,34
1658662010211,COGS 9,A01,083968,Shannon; Kyle Michael,1,0,70,69
1658662022286,COGS 17,A01,092679,Semenuks; Arturs,1,0,94,93
1658662028346,COGS 100,A01,083972,Allen; Michael Gordon,2,0,85,83
1658662040412,COGS 101C,A01,083976,Truman; Alyssa,2,0,35,33
1658662046455,COGS 102A,A01,083978,Johnson; Christine M.,7,0,45,38
1658662052488,COGS 107B,A01,083980,Mooshagian; Eric Frederick,1,1,83,82
1658662064550,COGS 118B,A01,083367,Gupta; Anjum,1,0,47,46
1658662070582,COGS 172,A01,083984,Provenzano; Emily Kara,0,1,34,35
1658662076616,COGS 177,A00,083368,Tung; Janet C,0,1,68,68
1658662082647,COGS 186,A01,083986,Gupta; Anjum,0,2,41,41
1658662088675,COGS 187A,A01,083988,Boyle; Mary E. T.,0,2,68,68
1658662094722,CSE 8A,A50,084003,Miranda; Gregory Joseph,5,2,56,51
1658662100753,CSE 11,A01,084005,Miranda; Gregory Joseph,0,3,115,115
1658662106784,CSE 20,A01,084007,Briones; Jor-el Thomas Caparas,7,0,32,25
1658662112816,CSE 21,A01,084009,Braun; Oliver,0,5,70,70
1658662118847,CSE 30,A01,083370,Cao; Yingjun,0,42,40,40
1658662124876,CSE 100,A01,083372,Cao; Yingjun,1,18,60,59
1658662130907,CSE 101,A01,084011,Braun; Oliver,0,8,70,70
1658662136939,CSE 141,A01,083374,Eldon; John,9,0,150,141
1658662142968,CSE 141L,A01,083376,Eldon; John,1,5,150,149
1658662148999,CSE 142,A01,093827,Tseng; Hung-Wei,0,6,50,50
1658662155029,CSE 142L,A01,093829,Tseng; Hung-Wei,1,6,50,49
1658662161063,CSE 175,A01,084013,Kumar; Rakesh,1,0,25,24
1658662167094,CSE 190,A00,092508,Dubnov; Shlomo,0,3,20,20
1658662173127,ECE 5,A01,084049,Morris; Karcher William,8,0,30,22
1658662179158,ECE 100,A01,084051,Baghdadchi; Saharnaz,5,0,20,15
1658662179158,ECE 100,A02,091916,Baghdadchi; Saharnaz,5,0,20,15
1658662185187,ECE 101,A01,084053,Baghdadchi; Saharnaz,3,0,37,34
1658662185187,ECE 101,A02,084054,Baghdadchi; Saharnaz,12,0,37,25
1658662191218,ECE 107,A01,083390,Shevchenko; Valentin I,21,0,40,19
1658662197254,ECE 148,A01,084056,Silberman; Jack,0,0,12,12
1658662203286,ECE 180,A00,083391,Abi Samra; Nicholas Camill,1,0,30,29
1658662203286,ECE 180,B00,083392,Abi Samra; Nicholas Camill,0,5,30,30
1658662209316,MATH 10A,A01,093431,Hammock; Frances H,0,11,0,33
1658662215365,MATH 10B,A01,084110,Briones; Jor-el Thomas Caparas,0,5,37,51
1658662215365,MATH 10B,A02,084111,Briones; Jor-el Thomas Caparas,0,3,37,37
1658662215365,MATH 10B,A03,084112,Briones; Jor-el Thomas Caparas,0,2,37,37
1658662221402,MATH 10C,A01,083443,Suk; Andrew Hoon,2,0,37,35
1658662221402,MATH 10C,A02,083444,Suk; Andrew Hoon,0,1,37,37
1658662221402,MATH 10C,A03,094841,Suk; Andrew Hoon,1,0,37,36
1658662221402,MATH 10C,A04,094851,Suk; Andrew Hoon,0,0,37,37
1658662221402,MATH 10C,B01,084114,Chung; Tai-Hsuan,12,0,30,18
1658662221402,MATH 10C,B02,084115,Chung; Tai-Hsuan,14,0,30,16
1658662227432,MATH 18,A01,084117,Harel; Guershon,1,0,30,29
1658662227432,MATH 18,A02,084119,Harel; Guershon,1,0,30,29
1658662233467,MATH 20A,A01,093429,Staff,0,5,0,23
1658662239496,MATH 20B,A01,084124,Um; Ko Woon,0,1,35,35
1658662239496,MATH 20B,A02,094842,Um; Ko Woon,10,0,35,25
1658662239496,MATH 20B,B01,084126,Um; Ko Woon,5,0,35,30
1658662239496,MATH 20B,B02,094843,Um; Ko Woon,17,0,35,18
1658662245528,MATH 20C,A01,083446,Mohammadi; Amir,1,0,37,36
1658662245528,MATH 20C,A02,083447,Mohammadi; Amir,0,0,37,37
1658662245528,MATH 20C,A03,083448,Mohammadi; Amir,1,0,37,36
1658662245528,MATH 20C,A04,083449,Mohammadi; Amir,6,0,37,31
1658662245528,MATH 20C,B01,083451,Hammock; Frances H,2,0,37,35
1658662245528,MATH 20C,B02,083452,Hammock; Frances H,3,0,37,34
1658662245528,MATH 20C,B03,083453,Hammock; Frances H,0,0,37,37
1658662245528,MATH 20C,B04,083454,Hammock; Frances H,5,0,37,32
1658662251560,MATH 20D,A01,084128,Bach; Quang Tran,0,0,30,30
1658662251560,MATH 20D,A02,084129,Bach; Quang Tran,11,0,30,19
1658662251560,MATH 20D,B01,084133,Bach; Quang Tran,0,0,30,30
1658662251560,MATH 20D,B02,084134,Bach; Quang Tran,6,0,30,24
1658662257590,MATH 20E,A01,084138,Tran; Khoa Dang,7,0,32,25
1658662257590,MATH 20E,A02,084139,Tran; Khoa Dang,0,0,32,32
1658662257590,MATH 20E,A03,084140,Tran; Khoa Dang,1,0,32,31
1658662257590,MATH 20E,A04,084141,Tran; Khoa Dang,4,0,32,28
1658662263621,MATH 102,A01,084143,Harel; Guershon,10,0,33,23
1658662263621,MATH 102,A02,084144,Harel; Guershon,11,0,34,23
1658662269653,MATH 103B,A01,083456,Carter; Anne Toulson,2,0,35,33
1658662269653,MATH 103B,A02,083457,Carter; Anne Toulson,2,0,35,33
1658662269653,MATH 103B,A03,094844,Carter; Anne Toulson,2,0,35,33
1658662269653,MATH 103B,A04,094845,Carter; Anne Toulson,6,0,35,29
1658662275685,MATH 109,A01,084146,Salehi Golsefidy; Alireza,3,0,35,32
1658662275685,MATH 109,A02,084147,Salehi Golsefidy; Alireza,2,0,35,33
1658662281717,MATH 120A,A01,085445,Eggers; John Dietrich,8,0,35,27
1658662281717,MATH 120A,A02,085446,Eggers; John Dietrich,18,0,35,17
1658662287748,MATH 142B,A01,084149,Verstraete; Jacques Allan,2,0,32,30
1658662287748,MATH 142B,A02,084150,Verstraete; Jacques Allan,0,0,32,32
1658662287748,MATH 142B,A03,094846,Verstraete; Jacques Allan,11,0,32,21
1658662287748,MATH 142B,A04,094847,Verstraete; Jacques Allan,8,0,32,24
1658662293784,MATH 170A,A01,083459,Aliabadi Sr.; Mohsen,2,0,30,28
1658662293784,MATH 170A,A02,083460,Aliabadi Sr.; Mohsen,5,1,30,25
1658662293784,MATH 170A,A03,083461,Aliabadi Sr.; Mohsen,6,0,30,24
1658662293784,MATH 170A,A04,094848,Aliabadi Sr.; Mohsen,1,0,30,29
1658662293784,MATH 170A,A05,094849,Aliabadi Sr.; Mohsen,2,0,30,28
1658662293784,MATH 170A,A06,094850,Aliabadi Sr.; Mohsen,5,0,30,25
1658662299848,MATH 193B,A01,083463,Rotar; Vladimir,7,0,32,25
1658662299848,MATH 193B,A02,083464,Rotar; Vladimir,15,0,32,17
1658662299848,MATH 193B,A03,083465,Rotar; Vladimir,8,0,32,24
1658662305882,MATH 197,001,095652,Zhou; Wenxin,9998,0,9999,1
1658662312971,COGS 2,A01,083966,Boyle; Mary E. T.,1,0,35,34
1658662319005,COGS 9,A01,083968,Shannon; Kyle Michael,1,0,70,69
1658662331071,COGS 17,A01,092679,Semenuks; Arturs,1,0,94,93
1658662337109,COGS 100,A01,083972,Allen; Michael Gordon,2,0,85,83
1658662349170,COGS 101C,A01,083976,Truman; Alyssa,2,0,35,33
1658662355203,COGS 102A,A01,083978,Johnson; Christine M.,7,0,45,38
1658662361237,COGS 107B,A01,083980,Mooshagian; Eric Frederick,1,1,83,82
1658662373300,COGS 118B,A01,083367,Gupta; Anjum,1,0,47,46
1658662379331,COGS 172,A01,083984,Provenzano; Emily Kara,0,1,34,35
1658662385360,COGS 177,A00,083368,Tung; Janet C,0,1,68,68
1658662391389,COGS 186,A01,083986,Gupta; Anjum,0,2,41,41
1658662397416,COGS 187A,A01,083988,Boyle; Mary E. T.,0,2,68,68
1658662403448,CSE 8A,A50,084003,Miranda; Gregory Joseph,5,2,56,51
1658662409479,CSE 11,A01,084005,Miranda; Gregory Joseph,0,3,115,115
1658662415509,CSE 20,A01,084007,Briones; Jor-el Thomas Caparas,7,0,32,25
1658662421544,CSE 21,A01,084009,Braun; Oliver,0,5,70,70
1658662427576,CSE 30,A01,083370,Cao; Yingjun,0,42,40,40
1658662433604,CSE 100,A01,083372,Cao; Yingjun,1,18,60,59
1658662439631,CSE 101,A01,084011,Braun; Oliver,0,8,70,70
1658662445668,CSE 141,A01,083374,Eldon; John,9,0,150,141
1658662451712,CSE 141L,A01,083376,Eldon; John,1,5,150,149
1658662457741,CSE 142,A01,093827,Tseng; Hung-Wei,0,6,50,50
1658662463767,CSE 142L,A01,093829,Tseng; Hung-Wei,1,6,50,49
1658662469804,CSE 175,A01,084013,Kumar; Rakesh,1,0,25,24
1658662475832,CSE 190,A00,092508,Dubnov; Shlomo,0,3,20,20
1658662481864,ECE 5,A01,084049,Morris; Karcher William,8,0,30,22
1658662487897,ECE 100,A01,084051,Baghdadchi; Saharnaz,5,0,20,15
1658662487897,ECE 100,A02,091916,Baghdadchi; Saharnaz,5,0,20,15
1658662493927,ECE 101,A01,084053,Baghdadchi; Saharnaz,3,0,37,34
1658662493927,ECE 101,A02,084054,Baghdadchi; Saharnaz,12,0,37,25
1658662499958,ECE 107,A01,083390,Shevchenko; Valentin I,21,0,40,19
1658662505989,ECE 148,A01,084056,Silberman; Jack,0,0,12,12
1658662512022,ECE 180,A00,083391,Abi Samra; Nicholas Camill,1,0,30,29
1658662512022,ECE 180,B00,083392,Abi Samra; Nicholas Camill,0,5,30,30
1658662518050,MATH 10A,A01,093431,Hammock; Frances H,0,11,0,33
1658662524082,MATH 10B,A01,084110,Briones; Jor-el Thomas Caparas,0,5,37,51
1658662524082,MATH 10B,A02,084111,Briones; Jor-el Thomas Caparas,0,3,37,37
1658662524082,MATH 10B,A03,084112,Briones; Jor-el Thomas Caparas,0,2,37,37
1658662530123,MATH 10C,A01,083443,Suk; Andrew Hoon,2,0,37,35
1658662530123,MATH 10C,A02,083444,Suk; Andrew Hoon,0,1,37,37
1658662530123,MATH 10C,A03,094841,Suk; Andrew Hoon,1,0,37,36
1658662530123,MATH 10C,A04,094851,Suk; Andrew Hoon,0,0,37,37
1658662530123,MATH 10C,B01,084114,Chung; Tai-Hsuan,12,0,30,18
1658662530123,MATH 10C,B02,084115,Chung; Tai-Hsuan,14,0,30,16
1658662536156,MATH 18,A01,084117,Harel; Guershon,1,0,30,29
1658662536156,MATH 18,A02,084119,Harel; Guershon,1,0,30,29
1658662542190,MATH 20A,A01,093429,Staff,0,5,0,23
1658662548219,MATH 20B,A01,084124,Um; Ko Woon,0,1,35,35
1658662548219,MATH 20B,A02,094842,Um; Ko Woon,10,0,35,25
1658662548219,MATH 20B,B01,084126,Um; Ko Woon,5,0,35,30
