time,enrolled,available,waitlisted,total
2022-04-11T04:38:15,1,34,0,35
2022-04-11T04:42:41,1,34,0,35
2022-04-11T04:47:06,1,34,0,35
2022-04-11T04:51:31,1,34,0,35
2022-04-11T04:55:57,1,34,0,35
2022-04-11T05:00:22,1,34,0,35
2022-04-11T05:04:48,1,34,0,35
2022-04-11T05:09:13,1,34,0,35
2022-04-11T05:13:39,1,34,0,35
2022-04-11T05:18:04,1,34,0,35
2022-04-11T05:22:29,1,34,0,35
2022-04-11T05:26:55,1,34,0,35
2022-04-11T05:31:20,1,34,0,35
2022-04-11T05:35:45,1,34,0,35
2022-04-11T05:40:11,1,34,0,35
2022-04-11T05:44:36,1,34,0,35
2022-04-11T05:49:01,1,34,0,35
2022-04-11T05:53:27,1,34,0,35
2022-04-11T05:57:52,1,34,0,35
2022-04-11T06:02:17,1,34,0,35
2022-04-11T06:06:43,1,34,0,35
2022-04-11T06:11:08,1,34,0,35
2022-04-11T06:15:34,1,34,0,35
2022-04-11T06:19:59,1,34,0,35
2022-04-11T06:24:24,1,34,0,35
2022-04-11T06:28:50,1,34,0,35
2022-04-11T06:33:15,1,34,0,35
2022-04-11T06:37:41,1,34,0,35
2022-04-11T06:42:06,1,34,0,35
2022-04-11T06:46:31,1,34,0,35
2022-04-11T06:50:56,1,34,0,35
2022-04-11T06:55:22,1,34,0,35
2022-04-11T06:59:47,1,34,0,35
2022-04-11T07:04:12,1,34,0,35
2022-04-11T07:08:37,1,34,0,35
2022-04-11T07:13:02,1,34,0,35
2022-04-11T07:17:28,1,34,0,35
2022-04-11T07:21:53,1,34,0,35
2022-04-11T07:26:18,1,34,0,35
2022-04-11T07:30:43,1,34,0,35
2022-04-11T07:35:09,1,34,0,35
2022-04-11T07:39:34,1,34,0,35
2022-04-11T07:43:59,1,34,0,35
2022-04-11T07:48:25,1,34,0,35
2022-04-11T07:52:54,1,34,0,35
2022-04-11T07:57:20,1,34,0,35
2022-04-11T08:01:45,1,34,0,35
2022-04-11T08:06:10,1,34,0,35
2022-04-11T08:10:36,1,34,0,35
2022-04-11T08:15:01,1,34,0,35
2022-04-11T08:19:26,1,34,0,35
2022-04-11T08:23:51,1,34,0,35
2022-04-11T08:28:17,1,34,0,35
2022-04-11T08:32:42,1,34,0,35
2022-04-11T08:37:07,1,34,0,35
2022-04-11T08:41:33,1,34,0,35
2022-04-11T08:45:58,1,34,0,35
2022-04-11T08:50:23,1,34,0,35
2022-04-11T08:54:48,1,34,0,35
2022-04-11T08:59:14,1,34,0,35
2022-04-11T09:03:39,1,34,0,35
2022-04-11T09:08:04,1,34,0,35
2022-04-11T09:12:30,1,34,0,35
2022-04-11T09:16:55,1,34,0,35
2022-04-11T09:21:20,1,34,0,35
2022-04-11T09:25:46,1,34,0,35
2022-04-11T09:30:11,1,34,0,35
2022-04-11T09:34:36,1,34,0,35
2022-04-11T09:39:01,1,34,0,35
2022-04-11T09:43:27,1,34,0,35
2022-04-11T09:47:52,1,34,0,35
2022-04-11T09:52:17,1,34,0,35
2022-04-11T09:56:43,1,34,0,35
2022-04-11T10:01:08,1,34,0,35
2022-04-11T10:05:33,1,34,0,35
2022-04-11T10:09:59,1,34,0,35
2022-04-11T10:14:24,1,34,0,35
2022-04-11T10:18:49,1,34,0,35
2022-04-11T10:23:15,1,34,0,35
2022-04-11T10:27:52,1,34,0,35
2022-04-11T10:32:17,1,34,0,35
2022-04-11T10:36:42,1,34,0,35
2022-04-11T10:41:07,1,34,0,35
2022-04-11T10:45:33,1,34,0,35
2022-04-11T10:49:58,1,34,0,35
2022-04-11T10:54:23,1,34,0,35
2022-04-11T10:58:49,1,34,0,35
2022-04-11T11:03:14,1,34,0,35
2022-04-11T11:07:39,1,34,0,35
2022-04-11T11:12:05,1,34,0,35
2022-04-11T11:16:30,1,34,0,35
2022-04-11T11:20:55,1,34,0,35
2022-04-11T11:25:20,1,34,0,35
2022-04-11T11:29:46,1,34,0,35
2022-04-11T11:34:11,1,34,0,35
2022-04-11T11:38:36,1,34,0,35
2022-04-11T11:43:02,1,34,0,35
2022-04-11T11:47:27,1,34,0,35
2022-04-11T11:51:58,1,34,0,35
2022-04-11T11:56:24,1,34,0,35
2022-04-11T12:00:49,1,34,0,35
2022-04-11T12:05:14,1,34,0,35
2022-04-11T12:09:39,1,34,0,35
2022-04-11T12:14:05,1,34,0,35
2022-04-11T12:18:30,1,34,0,35
2022-04-11T12:22:55,1,34,0,35
2022-04-11T12:27:21,1,34,0,35
2022-04-11T12:31:46,1,34,0,35
2022-04-11T12:36:11,1,34,0,35
2022-04-11T12:40:37,1,34,0,35
2022-04-11T12:45:02,1,34,0,35
2022-04-11T12:49:27,1,34,0,35
2022-04-11T12:53:53,1,34,0,35
2022-04-11T12:58:18,1,34,0,35
2022-04-11T13:02:43,1,34,0,35
2022-04-11T13:07:09,1,34,0,35
2022-04-11T13:11:34,1,34,0,35
2022-04-11T13:15:59,1,34,0,35
2022-04-11T13:20:25,1,34,0,35
2022-04-11T13:25:00,1,34,0,35
2022-04-11T13:29:25,1,34,0,35
2022-04-11T13:33:51,1,34,0,35
2022-04-11T13:38:16,1,34,0,35
2022-04-11T13:42:41,1,34,0,35
2022-04-11T13:47:07,1,34,0,35
2022-04-11T13:51:32,1,34,0,35
2022-04-11T13:55:57,1,34,0,35
