time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1651577114739,COGS 197,001,092973,Mattar; Marcelo G,9998,0,9999,1
1651577120776,CSE 191,A00,093585,Minnes Kemp; Mor Mia,9999,0,9999,0
1651577126806,ECE 45,A01,084418,Staff,27,0,40,13
1651577132838,ECE 191,A00,084419,Silberman; Jack,14,0,25,11
1651577138870,ECE 197,001,091968,Gilja; Vikash,9998,0,9999,1
1651577138870,ECE 197,002,092511,Sievenpiper; Daniel F.,9992,0,9999,7
1651577144906,MATH 2,A01,093433,Staff,0,0,0,0
1651577144906,MATH 2,B01,093436,Staff,0,0,0,0
1651577150955,MATH 3C,A01,093439,Staff,0,0,0,0
1651577150955,MATH 3C,A02,093440,Staff,0,0,0,0
1651577150955,MATH 3C,B01,093443,Staff,0,0,0,0
1651577150955,MATH 3C,B02,093444,Staff,0,0,0,0
1651577150955,MATH 3C,C01,093447,Staff,0,0,0,0
1651577150955,MATH 3C,C02,093448,Staff,0,0,0,0
1651577156986,MATH 4C,A01,093451,Staff,0,0,0,0
1651577163030,MATH 197,001,092329,McAuley; Julian John,9998,0,9999,1
1651577163030,MATH 197,002,093119,Tesler; Glenn,9998,0,9999,1
1651577163030,MATH 197,003,093121,Zhang; Ming,9998,0,9999,1
1651577163030,MATH 197,004,093157,Eldridge; Justin Matthew,9998,0,9999,1
1651577163030,MATH 197,005,093168,Buss; Samuel R,9998,0,9999,1
1651577163030,MATH 197,006,093462,Chin; Bryan W.,9998,0,9999,1
1651577163030,MATH 197,007,093560,Sam; Steven V,9998,0,9999,1
1651577163030,MATH 197,008,093576,Nie; Jiawang,9998,0,9999,1
1651577169099,COGS 197,001,092973,Mattar; Marcelo G,9998,0,9999,1
1651577175139,CSE 191,A00,093585,Minnes Kemp; Mor Mia,9999,0,9999,0
1651577181172,ECE 45,A01,084418,Staff,27,0,40,13
1651577187204,ECE 191,A00,084419,Silberman; Jack,14,0,25,11
1651577193238,ECE 197,001,091968,Gilja; Vikash,9998,0,9999,1
1651577193238,ECE 197,002,092511,Sievenpiper; Daniel F.,9992,0,9999,7
1651577199268,MATH 2,A01,093433,Staff,0,0,0,0
1651577199268,MATH 2,B01,093436,Staff,0,0,0,0
1651577205299,MATH 3C,A01,093439,Staff,0,0,0,0
1651577205299,MATH 3C,A02,093440,Staff,0,0,0,0
1651577205299,MATH 3C,B01,093443,Staff,0,0,0,0
1651577205299,MATH 3C,B02,093444,Staff,0,0,0,0
1651577205299,MATH 3C,C01,093447,Staff,0,0,0,0
1651577205299,MATH 3C,C02,093448,Staff,0,0,0,0
1651577211330,MATH 4C,A01,093451,Staff,0,0,0,0
1651577217362,MATH 197,001,092329,McAuley; Julian John,9998,0,9999,1
1651577217362,MATH 197,002,093119,Tesler; Glenn,9998,0,9999,1
1651577217362,MATH 197,003,093121,Zhang; Ming,9998,0,9999,1
1651577217362,MATH 197,004,093157,Eldridge; Justin Matthew,9998,0,9999,1
1651577217362,MATH 197,005,093168,Buss; Samuel R,9998,0,9999,1
1651577217362,MATH 197,006,093462,Chin; Bryan W.,9998,0,9999,1
1651577217362,MATH 197,007,093560,Sam; Steven V,9998,0,9999,1
1651577217362,MATH 197,008,093576,Nie; Jiawang,9998,0,9999,1
1651577223442,COGS 197,001,092973,Mattar; Marcelo G,9998,0,9999,1
1651577229474,CSE 191,A00,093585,Minnes Kemp; Mor Mia,9999,0,9999,0
1651577235510,ECE 45,A01,084418,Staff,27,0,40,13
1651577241535,ECE 191,A00,084419,Silberman; Jack,14,0,25,11
1651577247567,ECE 197,001,091968,Gilja; Vikash,9998,0,9999,1
1651577247567,ECE 197,002,092511,Sievenpiper; Daniel F.,9992,0,9999,7
1651577253603,MATH 2,A01,093433,Staff,0,0,0,0
1651577253603,MATH 2,B01,093436,Staff,0,0,0,0
1651577259640,MATH 3C,A01,093439,Staff,0,0,0,0
1651577259640,MATH 3C,A02,093440,Staff,0,0,0,0
1651577259640,MATH 3C,B01,093443,Staff,0,0,0,0
1651577259640,MATH 3C,B02,093444,Staff,0,0,0,0
1651577259640,MATH 3C,C01,093447,Staff,0,0,0,0
1651577259640,MATH 3C,C02,093448,Staff,0,0,0,0
1651577265673,MATH 4C,A01,093451,Staff,0,0,0,0
1651577271717,MATH 197,001,092329,McAuley; Julian John,9998,0,9999,1
1651577271717,MATH 197,002,093119,Tesler; Glenn,9998,0,9999,1
1651577271717,MATH 197,003,093121,Zhang; Ming,9998,0,9999,1
1651577271717,MATH 197,004,093157,Eldridge; Justin Matthew,9998,0,9999,1
1651577271717,MATH 197,005,093168,Buss; Samuel R,9998,0,9999,1
1651577271717,MATH 197,006,093462,Chin; Bryan W.,9998,0,9999,1
1651577271717,MATH 197,007,093560,Sam; Steven V,9998,0,9999,1
1651577271717,MATH 197,008,093576,Nie; Jiawang,9998,0,9999,1
1651577277801,COGS 197,001,092973,Mattar; Marcelo G,9998,0,9999,1
1651577283830,CSE 191,A00,093585,Minnes Kemp; Mor Mia,9999,0,9999,0
1651577289857,ECE 45,A01,084418,Staff,27,0,40,13
1651577295889,ECE 191,A00,084419,Silberman; Jack,14,0,25,11
1651577301927,ECE 197,001,091968,Gilja; Vikash,9998,0,9999,1
1651577301927,ECE 197,002,092511,Sievenpiper; Daniel F.,9992,0,9999,7
1651577307956,MATH 2,A01,093433,Staff,0,0,0,0
1651577307956,MATH 2,B01,093436,Staff,0,0,0,0
1651577313989,MATH 3C,A01,093439,Staff,0,0,0,0
1651577313989,MATH 3C,A02,093440,Staff,0,0,0,0
1651577313989,MATH 3C,B01,093443,Staff,0,0,0,0
1651577313989,MATH 3C,B02,093444,Staff,0,0,0,0
1651577313989,MATH 3C,C01,093447,Staff,0,0,0,0
1651577313989,MATH 3C,C02,093448,Staff,0,0,0,0
1651577320020,MATH 4C,A01,093451,Staff,0,0,0,0
1651577326062,MATH 197,001,092329,McAuley; Julian John,9998,0,9999,1
1651577326062,MATH 197,002,093119,Tesler; Glenn,9998,0,9999,1
1651577326062,MATH 197,003,093121,Zhang; Ming,9998,0,9999,1
1651577326062,MATH 197,004,093157,Eldridge; Justin Matthew,9998,0,9999,1
1651577326062,MATH 197,005,093168,Buss; Samuel R,9998,0,9999,1
1651577326062,MATH 197,006,093462,Chin; Bryan W.,9998,0,9999,1
1651577326062,MATH 197,007,093560,Sam; Steven V,9998,0,9999,1
1651577326062,MATH 197,008,093576,Nie; Jiawang,9998,0,9999,1
1651577332125,COGS 197,001,092973,Mattar; Marcelo G,9998,0,9999,1
1651577338157,CSE 191,A00,093585,Minnes Kemp; Mor Mia,9999,0,9999,0
1651577344192,ECE 45,A01,084418,Staff,27,0,40,13
1651577350234,ECE 191,A00,084419,Silberman; Jack,14,0,25,11
1651577356266,ECE 197,001,091968,Gilja; Vikash,9998,0,9999,1
1651577356266,ECE 197,002,092511,Sievenpiper; Daniel F.,9992,0,9999,7
1651577362301,MATH 2,A01,093433,Staff,0,0,0,0
1651577362301,MATH 2,B01,093436,Staff,0,0,0,0
1651577368330,MATH 3C,A01,093439,Staff,0,0,0,0
1651577368330,MATH 3C,A02,093440,Staff,0,0,0,0
1651577368330,MATH 3C,B01,093443,Staff,0,0,0,0
1651577368330,MATH 3C,B02,093444,Staff,0,0,0,0
1651577368330,MATH 3C,C01,093447,Staff,0,0,0,0
1651577368330,MATH 3C,C02,093448,Staff,0,0,0,0
1651577374369,MATH 4C,A01,093451,Staff,0,0,0,0
1651577380402,MATH 197,001,092329,McAuley; Julian John,9998,0,9999,1
1651577380402,MATH 197,002,093119,Tesler; Glenn,9998,0,9999,1
1651577380402,MATH 197,003,093121,Zhang; Ming,9998,0,9999,1
1651577380402,MATH 197,004,093157,Eldridge; Justin Matthew,9998,0,9999,1
1651577380402,MATH 197,005,093168,Buss; Samuel R,9998,0,9999,1
1651577380402,MATH 197,006,093462,Chin; Bryan W.,9998,0,9999,1
1651577380402,MATH 197,007,093560,Sam; Steven V,9998,0,9999,1
1651577380402,MATH 197,008,093576,Nie; Jiawang,9998,0,9999,1
1651577386472,COGS 197,001,092973,Mattar; Marcelo G,9998,0,9999,1
1651577392502,CSE 191,A00,093585,Minnes Kemp; Mor Mia,9999,0,9999,0
1651577398534,ECE 45,A01,084418,Staff,27,0,40,13
1651577404566,ECE 191,A00,084419,Silberman; Jack,14,0,25,11
1651577410603,ECE 197,001,091968,Gilja; Vikash,9998,0,9999,1
1651577410603,ECE 197,002,092511,Sievenpiper; Daniel F.,9992,0,9999,7
1651577416637,MATH 2,A01,093433,Staff,0,0,0,0
1651577416637,MATH 2,B01,093436,Staff,0,0,0,0
1651577422668,MATH 3C,A01,093439,Staff,0,0,0,0
1651577422668,MATH 3C,A02,093440,Staff,0,0,0,0
1651577422668,MATH 3C,B01,093443,Staff,0,0,0,0
1651577422668,MATH 3C,B02,093444,Staff,0,0,0,0
1651577422668,MATH 3C,C01,093447,Staff,0,0,0,0
1651577422668,MATH 3C,C02,093448,Staff,0,0,0,0
