time,enrolled,available,waitlisted,total
2022-02-12T07:05:10,0,75,0,75
2022-02-12T07:13:17,0,75,0,75
2022-02-12T07:21:31,0,75,0,75
2022-02-12T07:29:39,0,75,0,75
2022-02-12T07:37:46,0,75,0,75
2022-02-12T07:45:54,0,75,0,75
2022-02-12T07:54:01,0,75,0,75
2022-02-12T08:02:09,0,75,0,75
2022-02-12T08:10:17,0,75,0,75
2022-02-12T08:18:24,0,75,0,75
2022-02-12T08:26:32,0,75,0,75
2022-02-12T08:34:39,0,75,0,75
2022-02-12T08:42:55,0,75,0,75
2022-02-12T08:51:02,0,75,0,75
2022-02-12T08:59:10,0,75,0,75
2022-02-12T09:07:17,0,75,0,75
2022-02-12T09:15:24,0,75,0,75
2022-02-12T09:23:32,0,75,0,75
2022-02-12T09:31:39,0,75,0,75
2022-02-12T09:39:47,0,75,0,75
2022-02-12T09:47:54,0,75,0,75
2022-02-12T09:56:02,0,75,0,75
2022-02-12T10:04:09,1,74,0,75
2022-02-12T10:12:17,1,74,0,75
2022-02-12T10:20:24,1,74,0,75
2022-02-12T10:28:31,1,74,0,75
2022-02-12T10:36:47,1,74,0,75
2022-02-12T10:44:55,2,73,0,75
2022-02-12T10:53:02,2,73,0,75
2022-02-12T11:01:10,2,73,0,75
2022-02-12T11:09:17,2,73,0,75
2022-02-12T11:17:25,2,73,0,75
2022-02-12T11:25:33,2,73,0,75
2022-02-12T11:33:40,2,73,0,75
2022-02-12T11:41:48,2,73,0,75
2022-02-12T11:50:04,2,73,0,75
2022-02-12T11:58:12,2,73,0,75
2022-02-12T12:06:19,2,73,0,75
2022-02-12T12:14:26,2,73,0,75
2022-02-12T12:22:34,2,73,0,75
2022-02-12T12:30:41,2,73,0,75
2022-02-12T12:38:49,2,73,0,75
2022-02-12T12:47:03,3,72,0,75
2022-02-12T12:55:11,3,72,0,75
2022-02-12T13:03:18,3,72,0,75
2022-02-12T13:11:26,3,72,0,75
2022-02-12T13:19:33,3,72,0,75
2022-02-12T13:27:40,3,72,0,75
2022-02-12T13:35:48,3,72,0,75
2022-02-12T13:43:55,3,72,0,75
2022-02-12T13:52:03,3,72,0,75
2022-02-12T14:00:10,3,72,0,75
2022-02-12T14:08:18,3,72,0,75
2022-02-12T14:16:25,3,72,0,75
2022-02-12T14:24:33,3,72,0,75
2022-02-12T14:32:50,3,72,0,75
2022-02-12T14:40:58,3,72,0,75
2022-02-12T14:49:05,3,72,0,75
2022-02-12T14:57:13,3,72,0,75
2022-02-12T15:05:21,3,72,0,75
2022-02-12T15:13:28,3,72,0,75
2022-02-12T15:21:36,3,72,0,75
2022-02-12T15:29:44,3,72,0,75
2022-02-12T15:37:52,3,72,0,75
2022-02-12T15:46:00,3,72,0,75
2022-02-12T15:54:15,3,72,0,75
2022-02-12T16:02:22,3,72,0,75
2022-02-12T16:10:30,3,72,0,75
2022-02-12T16:18:37,3,72,0,75
2022-02-12T16:26:45,3,72,0,75
2022-02-12T16:34:52,3,72,0,75
2022-02-12T16:43:00,3,72,0,75
2022-02-12T16:51:07,3,72,0,75
2022-02-12T16:59:15,3,72,0,75
2022-02-12T17:07:32,3,72,0,75
2022-02-12T17:15:39,3,72,0,75
2022-02-12T17:23:47,3,72,0,75
2022-02-12T17:31:54,3,72,0,75
2022-02-12T17:40:02,3,72,0,75
2022-02-12T17:48:09,3,72,0,75
2022-02-12T17:56:16,3,72,0,75
2022-02-12T18:04:24,3,72,0,75
2022-02-12T18:12:31,3,72,0,75
2022-02-12T18:20:46,4,71,0,75
2022-02-12T18:28:53,4,71,0,75
2022-02-12T18:37:01,4,71,0,75
2022-02-12T18:45:08,4,71,0,75
2022-02-12T18:53:16,4,71,0,75
2022-02-12T19:01:23,5,70,0,75
2022-02-12T19:09:31,5,70,0,75
2022-02-12T19:17:38,5,70,0,75
2022-02-12T19:25:46,5,70,0,75
2022-02-12T19:33:53,5,70,0,75
2022-02-12T19:42:09,5,70,0,75
2022-02-12T19:50:16,5,70,0,75
2022-02-12T19:58:24,5,70,0,75
2022-02-12T20:06:31,5,70,0,75
2022-02-12T20:14:39,5,70,0,75
2022-02-12T20:22:46,5,70,0,75
2022-02-12T20:30:53,5,70,0,75
2022-02-12T20:39:01,5,70,0,75
2022-02-12T20:47:08,5,70,0,75
2022-02-12T20:55:16,5,70,0,75
2022-02-12T21:03:24,5,70,0,75
2022-02-12T21:11:31,5,70,0,75
2022-02-12T21:19:39,5,70,0,75
2022-02-12T21:27:55,5,70,0,75
2022-02-12T21:36:02,5,70,0,75
2022-02-12T21:44:10,5,70,0,75
2022-02-12T21:52:17,5,70,0,75
2022-02-12T22:00:25,5,70,0,75
2022-02-12T22:08:32,5,70,0,75
2022-02-12T22:16:39,5,70,0,75
2022-02-12T22:24:47,5,70,0,75
2022-02-12T22:32:54,5,70,0,75
2022-02-12T22:41:02,5,70,0,75
2022-02-12T22:49:09,5,70,0,75
2022-02-12T22:57:17,5,70,0,75
2022-02-12T23:05:35,5,70,0,75
2022-02-12T23:13:42,5,70,0,75
2022-02-12T23:21:50,5,70,0,75
2022-02-12T23:29:57,5,70,0,75
2022-02-12T23:38:04,5,70,0,75
2022-02-13T00:38:37,5,70,0,75
2022-02-13T00:46:45,5,70,0,75
2022-02-13T00:54:52,5,70,0,75
2022-02-13T01:03:00,5,70,0,75
2022-02-13T01:11:07,5,70,0,75
2022-02-13T01:19:23,5,70,0,75
2022-02-13T01:27:30,5,70,0,75
2022-02-13T01:35:38,5,70,0,75
2022-02-13T01:43:45,5,70,0,75
2022-02-13T01:51:52,5,70,0,75
2022-02-13T02:00:00,5,70,0,75
2022-02-13T02:08:07,5,70,0,75
2022-02-13T02:16:15,5,70,0,75
2022-02-13T02:24:23,5,70,0,75
2022-02-13T02:32:31,5,70,0,75
2022-02-13T02:40:39,5,70,0,75
2022-02-13T02:48:47,5,70,0,75
2022-02-13T02:56:55,5,70,0,75
2022-02-13T03:05:04,5,70,0,75
2022-02-13T03:13:12,5,70,0,75
2022-02-13T03:21:19,5,70,0,75
2022-02-13T03:29:27,5,70,0,75
2022-02-13T03:37:35,5,70,0,75
2022-02-13T03:45:42,5,70,0,75
2022-02-13T03:53:51,5,70,0,75
2022-02-13T04:01:58,5,70,0,75
2022-02-13T04:22:11,5,70,0,75
2022-02-13T04:31:36,5,70,0,75
2022-02-13T04:39:51,5,70,0,75
2022-02-13T04:47:59,5,70,0,75
2022-02-13T04:56:07,5,70,0,75
2022-02-13T05:04:16,5,70,0,75
2022-02-13T05:12:24,5,70,0,75
2022-02-13T05:20:32,5,70,0,75
2022-02-13T05:28:40,5,70,0,75
2022-02-13T05:36:48,5,70,0,75
2022-02-13T05:44:56,5,70,0,75
2022-02-13T05:53:04,5,70,0,75
2022-02-13T06:01:11,5,70,0,75
2022-02-13T06:09:19,5,70,0,75
2022-02-13T06:17:27,5,70,0,75
2022-02-13T06:25:35,5,70,0,75
2022-02-13T06:33:43,5,70,0,75
2022-02-13T06:41:50,5,70,0,75
2022-02-13T06:49:58,5,70,0,75
2022-02-13T06:58:06,5,70,0,75
2022-02-13T07:06:13,5,70,0,75
2022-02-13T07:14:21,5,70,0,75
2022-02-13T07:22:28,5,70,0,75
2022-02-13T07:30:36,5,70,0,75
2022-02-13T07:38:43,5,70,0,75
2022-02-13T07:46:51,5,70,0,75
2022-02-13T07:54:58,5,70,0,75
2022-02-13T08:03:06,5,70,0,75
2022-02-13T08:11:13,5,70,0,75
2022-02-13T08:19:20,5,70,0,75
2022-02-13T08:27:28,5,70,0,75
2022-02-13T08:35:36,5,70,0,75
2022-02-13T08:43:44,5,70,0,75
2022-02-13T08:51:52,5,70,0,75
2022-02-13T08:59:59,5,70,0,75
2022-02-13T09:08:06,5,70,0,75
2022-02-13T09:16:14,5,70,0,75
2022-02-13T09:24:21,5,70,0,75
2022-02-13T09:32:49,5,70,0,75
2022-02-13T09:40:56,5,70,0,75
2022-02-13T09:49:04,5,70,0,75
2022-02-13T09:57:11,5,70,0,75
2022-02-13T10:05:19,5,70,0,75
2022-02-13T10:13:26,5,70,0,75
2022-02-13T10:21:34,5,70,0,75
2022-02-13T10:29:41,5,70,0,75
2022-02-13T10:37:49,5,70,0,75
2022-02-13T10:45:56,5,70,0,75
2022-02-13T10:54:04,5,70,0,75
2022-02-13T11:02:11,5,70,0,75
2022-02-13T11:10:19,5,70,0,75
2022-02-13T11:18:26,5,70,0,75
2022-02-13T11:26:34,5,70,0,75
2022-02-13T11:34:41,5,70,0,75
2022-02-13T11:42:57,5,70,0,75
2022-02-13T11:51:05,5,70,0,75
2022-02-13T11:59:12,5,70,0,75
2022-02-13T12:07:20,5,70,0,75
2022-02-13T12:15:28,5,70,0,75
2022-02-13T12:23:35,5,70,0,75
2022-02-13T12:31:42,5,70,0,75
2022-02-13T12:39:50,6,69,0,75
2022-02-13T12:47:57,6,69,0,75
2022-02-13T12:56:05,6,69,0,75
2022-02-13T13:04:12,6,69,0,75
2022-02-13T13:12:20,6,69,0,75
2022-02-13T13:20:27,6,69,0,75
2022-02-13T13:28:35,6,69,0,75
2022-02-13T13:36:51,6,69,0,75
2022-02-13T13:44:59,6,69,0,75
2022-02-13T13:53:06,6,69,0,75
