time,available,waitlisted,total,normalized_available,normalized_waitlisted
2022-02-12T07:09:03,118,0,120,0.9833333333333333,0.0
2022-02-12T07:17:17,118,0,120,0.9833333333333333,0.0
2022-02-12T07:25:25,118,0,120,0.9833333333333333,0.0
2022-02-12T07:33:32,118,0,120,0.9833333333333333,0.0
2022-02-12T07:41:39,118,0,120,0.9833333333333333,0.0
2022-02-12T07:49:47,118,0,120,0.9833333333333333,0.0
2022-02-12T07:57:55,118,0,120,0.9833333333333333,0.0
2022-02-12T08:06:03,118,0,120,0.9833333333333333,0.0
2022-02-12T08:14:10,118,0,120,0.9833333333333333,0.0
2022-02-12T08:22:18,118,0,120,0.9833333333333333,0.0
2022-02-12T08:30:25,118,0,120,0.9833333333333333,0.0
2022-02-12T08:38:41,118,0,120,0.9833333333333333,0.0
2022-02-12T08:46:48,118,0,120,0.9833333333333333,0.0
2022-02-12T08:54:55,118,0,120,0.9833333333333333,0.0
2022-02-12T09:03:03,118,0,120,0.9833333333333333,0.0
2022-02-12T09:11:10,118,0,120,0.9833333333333333,0.0
2022-02-12T09:19:17,118,0,120,0.9833333333333333,0.0
2022-02-12T09:27:25,118,0,120,0.9833333333333333,0.0
2022-02-12T09:35:32,118,0,120,0.9833333333333333,0.0
2022-02-12T09:43:40,118,0,120,0.9833333333333333,0.0
2022-02-12T09:51:47,118,0,120,0.9833333333333333,0.0
2022-02-12T09:59:55,118,0,120,0.9833333333333333,0.0
2022-02-12T10:08:02,118,0,120,0.9833333333333333,0.0
2022-02-12T10:16:10,118,0,120,0.9833333333333333,0.0
2022-02-12T10:24:17,118,0,120,0.9833333333333333,0.0
2022-02-12T10:32:33,118,0,120,0.9833333333333333,0.0
2022-02-12T10:40:40,118,0,120,0.9833333333333333,0.0
2022-02-12T10:48:48,118,0,120,0.9833333333333333,0.0
2022-02-12T10:56:55,118,0,120,0.9833333333333333,0.0
2022-02-12T11:05:03,118,0,120,0.9833333333333333,0.0
2022-02-12T11:13:11,118,0,120,0.9833333333333333,0.0
2022-02-12T11:21:18,118,0,120,0.9833333333333333,0.0
2022-02-12T11:29:26,118,0,120,0.9833333333333333,0.0
2022-02-12T11:37:33,118,0,120,0.9833333333333333,0.0
2022-02-12T11:45:41,118,0,120,0.9833333333333333,0.0
2022-02-12T11:53:57,118,0,120,0.9833333333333333,0.0
2022-02-12T12:02:05,118,0,120,0.9833333333333333,0.0
2022-02-12T12:10:12,118,0,120,0.9833333333333333,0.0
2022-02-12T12:18:20,118,0,120,0.9833333333333333,0.0
2022-02-12T12:26:27,118,0,120,0.9833333333333333,0.0
2022-02-12T12:34:35,118,0,120,0.9833333333333333,0.0
2022-02-12T12:42:42,118,0,120,0.9833333333333333,0.0
2022-02-12T12:50:56,118,0,120,0.9833333333333333,0.0
2022-02-12T12:59:04,118,0,120,0.9833333333333333,0.0
2022-02-12T13:07:11,118,0,120,0.9833333333333333,0.0
2022-02-12T13:15:19,118,0,120,0.9833333333333333,0.0
2022-02-12T13:23:26,118,0,120,0.9833333333333333,0.0
2022-02-12T13:31:34,117,0,120,0.975,0.0
2022-02-12T13:39:41,117,0,120,0.975,0.0
2022-02-12T13:47:48,117,0,120,0.975,0.0
2022-02-12T13:55:56,117,0,120,0.975,0.0
2022-02-12T14:04:03,117,0,120,0.975,0.0
2022-02-12T14:12:11,117,0,120,0.975,0.0
2022-02-12T14:20:18,117,0,120,0.975,0.0
2022-02-12T14:28:36,117,0,120,0.975,0.0
2022-02-12T14:36:44,117,0,120,0.975,0.0
2022-02-12T14:44:51,117,0,120,0.975,0.0
2022-02-12T14:52:59,117,0,120,0.975,0.0
2022-02-12T15:01:06,117,0,120,0.975,0.0
2022-02-12T15:09:14,117,0,120,0.975,0.0
2022-02-12T15:17:22,117,0,120,0.975,0.0
2022-02-12T15:25:29,117,0,120,0.975,0.0
2022-02-12T15:33:38,117,0,120,0.975,0.0
2022-02-12T15:41:46,117,0,120,0.975,0.0
2022-02-12T15:50:01,116,0,120,0.9666666666666667,0.0
2022-02-12T15:58:08,116,0,120,0.9666666666666667,0.0
2022-02-12T16:06:15,117,0,120,0.975,0.0
2022-02-12T16:14:23,117,0,120,0.975,0.0
2022-02-12T16:22:31,117,0,120,0.975,0.0
2022-02-12T16:30:38,117,0,120,0.975,0.0
2022-02-12T16:38:45,117,0,120,0.975,0.0
2022-02-12T16:46:53,117,0,120,0.975,0.0
2022-02-12T16:55:00,117,0,120,0.975,0.0
2022-02-12T17:03:08,117,0,120,0.975,0.0
2022-02-12T17:11:25,117,0,120,0.975,0.0
2022-02-12T17:19:32,117,0,120,0.975,0.0
2022-02-12T17:27:40,117,0,120,0.975,0.0
2022-02-12T17:35:47,117,0,120,0.975,0.0
2022-02-12T17:43:55,117,0,120,0.975,0.0
2022-02-12T17:52:02,116,0,120,0.9666666666666667,0.0
2022-02-12T18:00:10,116,0,120,0.9666666666666667,0.0
2022-02-12T18:08:17,116,0,120,0.9666666666666667,0.0
2022-02-12T18:16:32,116,0,120,0.9666666666666667,0.0
2022-02-12T18:24:39,116,0,120,0.9666666666666667,0.0
2022-02-12T18:32:47,116,0,120,0.9666666666666667,0.0
2022-02-12T18:40:54,116,0,120,0.9666666666666667,0.0
2022-02-12T18:49:01,116,0,120,0.9666666666666667,0.0
2022-02-12T18:57:09,116,0,120,0.9666666666666667,0.0
2022-02-12T19:05:17,116,0,120,0.9666666666666667,0.0
2022-02-12T19:13:24,116,0,120,0.9666666666666667,0.0
2022-02-12T19:21:31,116,0,120,0.9666666666666667,0.0
2022-02-12T19:29:39,115,0,120,0.9583333333333334,0.0
2022-02-12T19:37:46,115,0,120,0.9583333333333334,0.0
2022-02-12T19:46:02,115,0,120,0.9583333333333334,0.0
2022-02-12T19:54:09,115,0,120,0.9583333333333334,0.0
2022-02-12T20:02:17,115,0,120,0.9583333333333334,0.0
2022-02-12T20:10:24,114,0,120,0.95,0.0
2022-02-12T20:18:32,114,0,120,0.95,0.0
2022-02-12T20:26:39,113,0,120,0.9416666666666667,0.0
2022-02-12T20:34:47,113,0,120,0.9416666666666667,0.0
2022-02-12T20:42:54,113,0,120,0.9416666666666667,0.0
2022-02-12T20:51:02,113,0,120,0.9416666666666667,0.0
2022-02-12T20:59:09,113,0,120,0.9416666666666667,0.0
2022-02-12T21:07:17,113,0,120,0.9416666666666667,0.0
2022-02-12T21:15:24,113,0,120,0.9416666666666667,0.0
2022-02-12T21:23:41,113,0,120,0.9416666666666667,0.0
2022-02-12T21:31:48,113,0,120,0.9416666666666667,0.0
2022-02-12T21:39:55,113,0,120,0.9416666666666667,0.0
2022-02-12T21:48:03,113,0,120,0.9416666666666667,0.0
2022-02-12T21:56:10,113,0,120,0.9416666666666667,0.0
2022-02-12T22:04:18,113,0,120,0.9416666666666667,0.0
2022-02-12T22:12:25,113,0,120,0.9416666666666667,0.0
2022-02-12T22:20:32,113,0,120,0.9416666666666667,0.0
2022-02-12T22:28:40,113,0,120,0.9416666666666667,0.0
2022-02-12T22:36:47,113,0,120,0.9416666666666667,0.0
2022-02-12T22:44:55,113,0,120,0.9416666666666667,0.0
2022-02-12T22:53:02,112,0,120,0.9333333333333333,0.0
2022-02-12T23:01:20,112,0,120,0.9333333333333333,0.0
