time,enrolled,available,waitlisted,total
2022-02-12T07:10:49,0,35,0,35
2022-02-12T07:19:03,0,35,0,35
2022-02-12T07:27:10,0,35,0,35
2022-02-12T07:35:18,0,35,0,35
2022-02-12T07:43:25,0,35,0,35
2022-02-12T07:51:33,0,35,0,35
2022-02-12T07:59:41,0,35,0,35
2022-02-12T08:07:49,0,35,0,35
2022-02-12T08:15:56,0,35,0,35
2022-02-12T08:24:04,0,35,0,35
2022-02-12T08:32:11,0,35,0,35
2022-02-12T08:40:26,0,35,0,35
2022-02-12T08:48:34,0,35,0,35
2022-02-12T08:56:41,0,35,0,35
2022-02-12T09:04:49,0,35,0,35
2022-02-12T09:12:56,0,35,0,35
2022-02-12T09:21:04,0,35,0,35
2022-02-12T09:29:11,0,35,0,35
2022-02-12T09:37:18,0,35,0,35
2022-02-12T09:45:26,0,35,0,35
2022-02-12T09:53:33,0,35,0,35
2022-02-12T10:01:41,0,35,0,35
2022-02-12T10:09:48,0,35,0,35
2022-02-12T10:17:56,0,35,0,35
2022-02-12T10:26:03,0,35,0,35
2022-02-12T10:34:19,0,35,0,35
2022-02-12T10:42:26,0,35,0,35
2022-02-12T10:50:34,0,35,0,35
2022-02-12T10:58:41,0,35,0,35
2022-02-12T11:06:49,0,35,0,35
2022-02-12T11:14:57,0,35,0,35
2022-02-12T11:23:04,0,35,0,35
2022-02-12T11:31:12,0,35,0,35
2022-02-12T11:39:19,0,35,0,35
2022-02-12T11:47:27,0,35,0,35
2022-02-12T11:55:43,0,35,0,35
2022-02-12T12:03:51,0,35,0,35
2022-02-12T12:11:58,0,35,0,35
2022-02-12T12:20:06,0,35,0,35
2022-02-12T12:28:13,0,35,0,35
2022-02-12T12:36:21,0,35,0,35
2022-02-12T12:44:28,0,35,0,35
2022-02-12T12:52:42,0,35,0,35
2022-02-12T13:00:50,0,35,0,35
2022-02-12T13:08:57,0,35,0,35
2022-02-12T13:17:05,0,35,0,35
2022-02-12T13:25:12,0,35,0,35
2022-02-12T13:33:20,0,35,0,35
2022-02-12T13:41:27,0,35,0,35
2022-02-12T13:49:34,0,35,0,35
2022-02-12T13:57:42,0,35,0,35
2022-02-12T14:05:49,0,35,0,35
2022-02-12T14:13:57,0,35,0,35
2022-02-12T14:22:04,0,35,0,35
