time,available,waitlisted,total,normalized_available,normalized_waitlisted
2022-02-12T07:04:54,75,0,75,1.0,0.0
2022-02-12T07:13:02,75,0,75,1.0,0.0
2022-02-12T07:21:16,75,0,75,1.0,0.0
2022-02-12T07:29:24,75,0,75,1.0,0.0
2022-02-12T07:37:31,75,0,75,1.0,0.0
2022-02-12T07:45:39,75,0,75,1.0,0.0
2022-02-12T07:53:46,75,0,75,1.0,0.0
2022-02-12T08:01:54,75,0,75,1.0,0.0
2022-02-12T08:10:02,75,0,75,1.0,0.0
2022-02-12T08:18:09,75,0,75,1.0,0.0
2022-02-12T08:26:17,75,0,75,1.0,0.0
2022-02-12T08:34:24,75,0,75,1.0,0.0
2022-02-12T08:42:40,74,0,75,0.9866666666666667,0.0
2022-02-12T08:50:47,74,0,75,0.9866666666666667,0.0
2022-02-12T08:58:55,74,0,75,0.9866666666666667,0.0
2022-02-12T09:07:02,74,0,75,0.9866666666666667,0.0
2022-02-12T09:15:09,74,0,75,0.9866666666666667,0.0
2022-02-12T09:23:17,74,0,75,0.9866666666666667,0.0
2022-02-12T09:31:24,73,0,75,0.9733333333333334,0.0
2022-02-12T09:39:32,74,0,75,0.9866666666666667,0.0
2022-02-12T09:47:39,72,0,75,0.96,0.0
2022-02-12T09:55:46,70,0,75,0.9333333333333333,0.0
2022-02-12T10:03:54,70,0,75,0.9333333333333333,0.0
2022-02-12T10:12:02,70,0,75,0.9333333333333333,0.0
2022-02-12T10:20:09,70,0,75,0.9333333333333333,0.0
2022-02-12T10:28:16,70,0,75,0.9333333333333333,0.0
2022-02-12T10:36:32,70,0,75,0.9333333333333333,0.0
2022-02-12T10:44:39,70,0,75,0.9333333333333333,0.0
2022-02-12T10:52:47,70,0,75,0.9333333333333333,0.0
2022-02-12T11:00:55,70,0,75,0.9333333333333333,0.0
2022-02-12T11:09:02,69,0,75,0.92,0.0
2022-02-12T11:17:10,69,0,75,0.92,0.0
2022-02-12T11:25:17,69,0,75,0.92,0.0
2022-02-12T11:33:25,68,0,75,0.9066666666666666,0.0
2022-02-12T11:41:32,68,0,75,0.9066666666666666,0.0
2022-02-12T11:49:49,68,0,75,0.9066666666666666,0.0
2022-02-12T11:57:56,68,0,75,0.9066666666666666,0.0
2022-02-12T12:06:04,68,0,75,0.9066666666666666,0.0
2022-02-12T12:14:11,68,0,75,0.9066666666666666,0.0
2022-02-12T12:22:19,67,0,75,0.8933333333333333,0.0
2022-02-12T12:30:26,67,0,75,0.8933333333333333,0.0
2022-02-12T12:38:34,67,0,75,0.8933333333333333,0.0
2022-02-12T12:46:48,67,0,75,0.8933333333333333,0.0
2022-02-12T12:54:55,67,0,75,0.8933333333333333,0.0
2022-02-12T13:03:03,67,0,75,0.8933333333333333,0.0
