time,enrolled,available,waitlisted,total
2022-02-12T07:06:52,0,196,0,196
2022-02-12T07:15:07,0,196,0,196
2022-02-12T07:23:14,0,196,0,196
2022-02-12T07:31:22,0,196,0,196
2022-02-12T07:39:29,0,196,0,196
2022-02-12T07:47:37,0,196,0,196
2022-02-12T07:55:44,0,196,0,196
2022-02-12T08:03:52,0,196,0,196
2022-02-12T08:12:00,0,196,0,196
2022-02-12T08:20:07,0,196,0,196
2022-02-12T08:28:15,0,196,0,196
2022-02-12T08:36:22,0,196,0,196
2022-02-12T08:44:38,0,196,0,196
2022-02-12T08:52:45,0,196,0,196
2022-02-12T09:00:53,0,196,0,196
2022-02-12T09:09:00,0,196,0,196
2022-02-12T09:17:07,0,196,0,196
2022-02-12T09:25:15,0,196,0,196
2022-02-12T09:33:22,0,196,0,196
2022-02-12T09:41:30,0,196,0,196
2022-02-12T09:49:37,0,196,0,196
2022-02-12T09:57:45,1,195,0,196
2022-02-12T10:05:52,1,195,0,196
2022-02-12T10:14:00,1,195,0,196
2022-02-12T10:22:07,1,195,0,196
2022-02-12T10:30:23,1,195,0,196
2022-02-12T10:38:30,1,195,0,196
2022-02-12T10:46:38,1,195,0,196
2022-02-12T10:54:45,1,195,0,196
2022-02-12T11:02:53,2,194,0,196
2022-02-12T11:11:00,2,194,0,196
2022-02-12T11:19:08,3,193,0,196
2022-02-12T11:27:16,4,192,0,196
2022-02-12T11:35:23,5,191,0,196
2022-02-12T11:43:31,5,191,0,196
2022-02-12T11:51:47,5,191,0,196
2022-02-12T11:59:54,5,191,0,196
2022-02-12T12:08:02,5,191,0,196
2022-02-12T12:16:09,5,191,0,196
2022-02-12T12:24:17,5,191,0,196
2022-02-12T12:32:24,5,191,0,196
2022-02-12T12:40:32,5,191,0,196
2022-02-12T12:48:46,6,190,0,196
2022-02-12T12:56:54,6,190,0,196
2022-02-12T13:05:01,6,190,0,196
2022-02-12T13:13:08,6,190,0,196
2022-02-12T13:21:16,6,190,0,196
2022-02-12T13:29:23,6,190,0,196
2022-02-12T13:37:31,6,190,0,196
2022-02-12T13:45:38,6,190,0,196
2022-02-12T13:53:46,6,190,0,196
2022-02-12T14:01:53,6,190,0,196
2022-02-12T14:10:01,6,190,0,196
2022-02-12T14:18:08,8,188,0,196
2022-02-12T14:26:26,8,188,0,196
2022-02-12T14:34:33,9,187,0,196
2022-02-12T14:42:41,9,187,0,196
2022-02-12T14:50:48,9,187,0,196
2022-02-12T14:58:56,9,187,0,196
2022-02-12T15:07:04,9,187,0,196
2022-02-12T15:15:11,9,187,0,196
2022-02-12T15:23:19,9,187,0,196
2022-02-12T15:31:27,9,187,0,196
2022-02-12T15:39:35,9,187,0,196
2022-02-12T15:47:50,9,187,0,196
2022-02-12T15:55:58,9,187,0,196
2022-02-12T16:04:05,9,187,0,196
2022-02-12T16:12:13,9,187,0,196
2022-02-12T16:20:20,9,187,0,196
2022-02-12T16:28:28,9,187,0,196
2022-02-12T16:36:35,9,187,0,196
2022-02-12T16:44:43,9,187,0,196
2022-02-12T16:52:50,9,187,0,196
2022-02-12T17:00:58,9,187,0,196
2022-02-12T17:09:15,9,187,0,196
2022-02-12T17:17:22,9,187,0,196
2022-02-12T17:25:29,9,187,0,196
2022-02-12T17:33:37,9,187,0,196
2022-02-12T17:41:44,9,187,0,196
2022-02-12T17:49:52,9,187,0,196
2022-02-12T17:57:59,9,187,0,196
2022-02-12T18:06:07,9,187,0,196
2022-02-12T18:14:14,9,187,0,196
2022-02-12T18:22:29,9,187,0,196
2022-02-12T18:30:36,9,187,0,196
2022-02-12T18:38:44,9,187,0,196
2022-02-12T18:46:51,10,186,0,196
2022-02-12T18:54:59,11,185,0,196
2022-02-12T19:03:06,11,185,0,196
2022-02-12T19:11:14,11,185,0,196
2022-02-12T19:19:21,11,185,0,196
2022-02-12T19:27:29,11,185,0,196
2022-02-12T19:35:36,11,185,0,196
2022-02-12T19:43:52,12,184,0,196
2022-02-12T19:51:59,12,184,0,196
2022-02-12T20:00:07,12,184,0,196
2022-02-12T20:08:14,12,184,0,196
