time,enrolled,available,waitlisted,total
2022-03-31T14:23:26,0,9999,0,9999
2022-03-31T14:32:11,0,9999,0,9999
2022-03-31T14:40:46,0,9999,0,9999
2022-03-31T14:49:21,0,9999,0,9999
2022-03-31T14:57:57,0,9999,0,9999
2022-03-31T15:06:32,0,9999,0,9999
2022-03-31T15:15:17,0,9999,0,9999
2022-03-31T15:23:53,0,9999,0,9999
2022-03-31T15:32:28,0,9999,0,9999
2022-03-31T15:41:04,0,9999,0,9999
2022-03-31T15:49:39,0,9999,0,9999
2022-03-31T15:58:26,0,9999,0,9999
2022-03-31T16:07:01,0,9999,0,9999
2022-03-31T16:15:36,0,9999,0,9999
2022-03-31T16:24:11,0,9999,0,9999
2022-03-31T16:32:46,0,9999,0,9999
2022-03-31T16:41:32,0,9999,0,9999
2022-03-31T16:50:07,0,9999,0,9999
2022-03-31T16:58:42,0,9999,0,9999
2022-03-31T17:07:17,0,9999,0,9999
2022-03-31T17:15:52,0,9999,0,9999
2022-03-31T17:24:36,0,9999,0,9999
2022-03-31T17:33:11,0,9999,0,9999
2022-03-31T17:41:45,0,9999,0,9999
2022-03-31T17:50:21,0,9999,0,9999
2022-03-31T17:58:55,0,9999,0,9999
2022-03-31T18:07:30,0,9999,0,9999
2022-03-31T18:16:14,0,9999,0,9999
2022-03-31T18:24:49,0,9999,0,9999
2022-03-31T18:33:24,0,9999,0,9999
2022-03-31T18:41:59,0,9999,0,9999
2022-03-31T18:50:34,0,9999,0,9999
2022-03-31T18:59:09,0,9999,0,9999
2022-03-31T19:07:43,0,9999,0,9999
2022-03-31T19:16:29,0,9999,0,9999
2022-03-31T19:25:03,0,9999,0,9999
2022-03-31T19:33:38,0,9999,0,9999
2022-03-31T19:42:13,0,9999,0,9999
2022-03-31T19:50:48,0,9999,0,9999
2022-03-31T19:59:23,0,9999,0,9999
2022-03-31T20:08:07,0,9999,0,9999
2022-03-31T20:16:42,0,9999,0,9999
2022-03-31T20:25:17,0,9999,0,9999
2022-03-31T20:33:52,0,9999,0,9999
2022-03-31T20:42:26,0,9999,0,9999
2022-03-31T20:51:01,0,9999,0,9999
2022-03-31T20:59:36,0,9999,0,9999
2022-03-31T21:08:11,0,9999,0,9999
2022-03-31T21:16:54,0,9999,0,9999
2022-03-31T21:25:29,0,9999,0,9999
2022-03-31T21:34:04,0,9999,0,9999
2022-03-31T21:42:39,0,9999,0,9999
2022-03-31T21:51:14,0,9999,0,9999
2022-03-31T21:59:49,0,9999,0,9999
2022-03-31T22:08:23,0,9999,0,9999
