time,available,waitlisted,total,normalized_available,normalized_waitlisted
2022-02-12T07:10:21,35,0,35,1.0,0.0
2022-02-12T07:18:36,35,0,35,1.0,0.0
2022-02-12T07:26:43,35,0,35,1.0,0.0
2022-02-12T07:34:51,35,0,35,1.0,0.0
2022-02-12T07:42:58,35,0,35,1.0,0.0
2022-02-12T07:51:06,35,0,35,1.0,0.0
2022-02-12T07:59:14,35,0,35,1.0,0.0
2022-02-12T08:07:21,35,0,35,1.0,0.0
2022-02-12T08:15:29,35,0,35,1.0,0.0
2022-02-12T08:23:36,35,0,35,1.0,0.0
2022-02-12T08:31:44,35,0,35,1.0,0.0
2022-02-12T08:39:59,35,0,35,1.0,0.0
2022-02-12T08:48:07,35,0,35,1.0,0.0
2022-02-12T08:56:14,35,0,35,1.0,0.0
2022-02-12T09:04:21,35,0,35,1.0,0.0
2022-02-12T09:12:29,35,0,35,1.0,0.0
2022-02-12T09:20:36,35,0,35,1.0,0.0
2022-02-12T09:28:44,35,0,35,1.0,0.0
2022-02-12T09:36:51,35,0,35,1.0,0.0
2022-02-12T09:44:59,35,0,35,1.0,0.0
2022-02-12T09:53:06,35,0,35,1.0,0.0
2022-02-12T10:01:13,35,0,35,1.0,0.0
2022-02-12T10:09:21,35,0,35,1.0,0.0
2022-02-12T10:17:28,35,0,35,1.0,0.0
2022-02-12T10:25:36,35,0,35,1.0,0.0
2022-02-12T10:33:52,35,0,35,1.0,0.0
2022-02-12T10:41:59,35,0,35,1.0,0.0
2022-02-12T10:50:07,35,0,35,1.0,0.0
2022-02-12T10:58:14,35,0,35,1.0,0.0
2022-02-12T11:06:22,35,0,35,1.0,0.0
2022-02-12T11:14:29,35,0,35,1.0,0.0
2022-02-12T11:22:37,35,0,35,1.0,0.0
2022-02-12T11:30:44,35,0,35,1.0,0.0
2022-02-12T11:38:52,35,0,35,1.0,0.0
2022-02-12T11:46:59,35,0,35,1.0,0.0
2022-02-12T11:55:16,35,0,35,1.0,0.0
2022-02-12T12:03:23,35,0,35,1.0,0.0
2022-02-12T12:11:31,35,0,35,1.0,0.0
2022-02-12T12:19:38,35,0,35,1.0,0.0
2022-02-12T12:27:46,35,0,35,1.0,0.0
2022-02-12T12:35:53,35,0,35,1.0,0.0
2022-02-12T12:44:01,35,0,35,1.0,0.0
2022-02-12T12:52:15,35,0,35,1.0,0.0
2022-02-12T13:00:22,35,0,35,1.0,0.0
2022-02-12T13:08:30,35,0,35,1.0,0.0
2022-02-12T13:16:37,35,0,35,1.0,0.0
2022-02-12T13:24:45,35,0,35,1.0,0.0
2022-02-12T13:32:52,35,0,35,1.0,0.0
2022-02-12T13:41:00,35,0,35,1.0,0.0
2022-02-12T13:49:07,35,0,35,1.0,0.0
2022-02-12T13:57:15,35,0,35,1.0,0.0
2022-02-12T14:05:22,35,0,35,1.0,0.0
2022-02-12T14:13:30,35,0,35,1.0,0.0
2022-02-12T14:21:37,35,0,35,1.0,0.0
2022-02-12T14:29:55,35,0,35,1.0,0.0
2022-02-12T14:38:02,35,0,35,1.0,0.0
2022-02-12T14:46:10,35,0,35,1.0,0.0
2022-02-12T14:54:17,35,0,35,1.0,0.0
2022-02-12T15:02:25,35,0,35,1.0,0.0
2022-02-12T15:10:33,35,0,35,1.0,0.0
2022-02-12T15:18:40,35,0,35,1.0,0.0
2022-02-12T15:26:48,35,0,35,1.0,0.0
2022-02-12T15:34:57,35,0,35,1.0,0.0
2022-02-12T15:43:04,35,0,35,1.0,0.0
2022-02-12T15:51:19,35,0,35,1.0,0.0
2022-02-12T15:59:27,35,0,35,1.0,0.0
2022-02-12T16:07:34,35,0,35,1.0,0.0
2022-02-12T16:15:42,35,0,35,1.0,0.0
2022-02-12T16:23:49,35,0,35,1.0,0.0
2022-02-12T16:31:57,35,0,35,1.0,0.0
2022-02-12T16:40:04,35,0,35,1.0,0.0
2022-02-12T16:48:12,35,0,35,1.0,0.0
2022-02-12T16:56:19,35,0,35,1.0,0.0
2022-02-12T17:04:27,35,0,35,1.0,0.0
2022-02-12T17:12:44,35,0,35,1.0,0.0
2022-02-12T17:20:51,35,0,35,1.0,0.0
2022-02-12T17:28:58,35,0,35,1.0,0.0
2022-02-12T17:37:06,35,0,35,1.0,0.0
2022-02-12T17:45:13,35,0,35,1.0,0.0
2022-02-12T17:53:21,35,0,35,1.0,0.0
2022-02-12T18:01:28,35,0,35,1.0,0.0
2022-02-12T18:09:36,35,0,35,1.0,0.0
2022-02-12T18:17:50,35,0,35,1.0,0.0
2022-02-12T18:25:58,35,0,35,1.0,0.0
2022-02-12T18:34:05,35,0,35,1.0,0.0
2022-02-12T18:42:13,35,0,35,1.0,0.0
2022-02-12T18:50:20,35,0,35,1.0,0.0
2022-02-12T18:58:28,35,0,35,1.0,0.0
2022-02-12T19:06:35,35,0,35,1.0,0.0
2022-02-12T19:14:43,35,0,35,1.0,0.0
2022-02-12T19:22:50,34,0,35,0.9714285714285714,0.0
2022-02-12T19:30:58,34,0,35,0.9714285714285714,0.0
2022-02-12T19:39:05,34,0,35,0.9714285714285714,0.0
2022-02-12T19:47:21,34,0,35,0.9714285714285714,0.0
2022-02-12T19:55:28,33,0,35,0.9428571428571428,0.0
2022-02-12T20:03:35,32,0,35,0.9142857142857143,0.0
2022-02-12T20:11:43,32,0,35,0.9142857142857143,0.0
2022-02-12T20:19:50,32,0,35,0.9142857142857143,0.0
2022-02-12T20:27:58,32,0,35,0.9142857142857143,0.0
2022-02-12T20:36:05,32,0,35,0.9142857142857143,0.0
2022-02-12T20:44:13,32,0,35,0.9142857142857143,0.0
2022-02-12T20:52:20,32,0,35,0.9142857142857143,0.0
2022-02-12T21:00:28,32,0,35,0.9142857142857143,0.0
2022-02-12T21:08:36,32,0,35,0.9142857142857143,0.0
2022-02-12T21:16:43,32,0,35,0.9142857142857143,0.0
2022-02-12T21:24:59,32,0,35,0.9142857142857143,0.0
2022-02-12T21:33:07,32,0,35,0.9142857142857143,0.0
2022-02-12T21:41:14,32,0,35,0.9142857142857143,0.0
2022-02-12T21:49:21,31,0,35,0.8857142857142857,0.0
2022-02-12T21:57:29,31,0,35,0.8857142857142857,0.0
2022-02-12T22:05:36,31,0,35,0.8857142857142857,0.0
2022-02-12T22:13:44,31,0,35,0.8857142857142857,0.0
2022-02-12T22:21:51,31,0,35,0.8857142857142857,0.0
2022-02-12T22:29:59,31,0,35,0.8857142857142857,0.0
2022-02-12T22:38:06,31,0,35,0.8857142857142857,0.0
2022-02-12T22:46:13,31,0,35,0.8857142857142857,0.0
2022-02-12T22:54:21,31,0,35,0.8857142857142857,0.0
