time,enrolled,available,waitlisted,total
2022-02-12T07:09:51,0,248,0,248
2022-02-12T07:18:05,0,248,0,248
2022-02-12T07:26:13,0,248,0,248
2022-02-12T07:34:21,0,248,0,248
2022-02-12T07:42:28,0,248,0,248
2022-02-12T07:50:35,0,248,0,248
2022-02-12T07:58:43,0,248,0,248
2022-02-12T08:06:51,0,248,0,248
2022-02-12T08:14:59,0,248,0,248
2022-02-12T08:23:06,0,248,0,248
2022-02-12T08:31:13,0,248,0,248
2022-02-12T08:39:29,0,248,0,248
2022-02-12T08:47:36,0,248,0,248
2022-02-12T08:55:44,0,248,0,248
2022-02-12T09:03:51,0,248,0,248
2022-02-12T09:11:59,0,248,0,248
2022-02-12T09:20:06,0,248,0,248
2022-02-12T09:28:13,0,248,0,248
2022-02-12T09:36:21,0,248,0,248
2022-02-12T09:44:28,0,248,0,248
2022-02-12T09:52:36,0,248,0,248
2022-02-12T10:00:43,0,248,0,248
2022-02-12T10:08:51,0,248,0,248
2022-02-12T10:16:58,0,248,0,248
2022-02-12T10:25:06,0,248,0,248
2022-02-12T10:33:21,0,248,0,248
2022-02-12T10:41:29,0,248,0,248
2022-02-12T10:49:36,0,248,0,248
2022-02-12T10:57:44,1,247,0,248
2022-02-12T11:05:51,2,246,0,248
2022-02-12T11:13:59,2,246,0,248
2022-02-12T11:22:07,3,245,0,248
2022-02-12T11:30:14,3,245,0,248
2022-02-12T11:38:22,3,245,0,248
2022-02-12T11:46:29,4,244,0,248
2022-02-12T11:54:46,5,243,0,248
2022-02-12T12:02:53,6,242,0,248
2022-02-12T12:11:00,6,242,0,248
2022-02-12T12:19:08,6,242,0,248
2022-02-12T12:27:15,7,241,0,248
2022-02-12T12:35:23,7,241,0,248
2022-02-12T12:43:31,8,240,0,248
2022-02-12T12:51:45,8,240,0,248
2022-02-12T12:59:52,8,240,0,248
2022-02-12T13:08:00,9,239,0,248
2022-02-12T13:16:07,10,238,0,248
2022-02-12T13:24:15,10,238,0,248
2022-02-12T13:32:22,10,238,0,248
2022-02-12T13:40:29,10,238,0,248
2022-02-12T13:48:37,11,237,0,248
2022-02-12T13:56:44,11,237,0,248
2022-02-12T14:04:52,11,237,0,248
2022-02-12T14:12:59,12,236,0,248
2022-02-12T14:21:07,12,236,0,248
2022-02-12T14:29:25,13,235,0,248
2022-02-12T14:37:32,13,235,0,248
2022-02-12T14:45:39,13,235,0,248
2022-02-12T14:53:47,13,235,0,248
2022-02-12T15:01:55,13,235,0,248
2022-02-12T15:10:02,13,235,0,248
2022-02-12T15:18:10,13,235,0,248
2022-02-12T15:26:18,13,235,0,248
2022-02-12T15:34:26,13,235,0,248
2022-02-12T15:42:34,13,235,0,248
2022-02-12T15:50:49,13,235,0,248
2022-02-12T15:58:56,13,235,0,248
2022-02-12T16:07:04,13,235,0,248
2022-02-12T16:15:11,13,235,0,248
2022-02-12T16:23:19,13,235,0,248
2022-02-12T16:31:26,13,235,0,248
2022-02-12T16:39:34,13,235,0,248
2022-02-12T16:47:41,13,235,0,248
2022-02-12T16:55:49,13,235,0,248
