time,enrolled,available,waitlisted,total
2022-04-09T12:45:49,309,0,38,300
2022-04-09T13:02:59,309,0,38,300
2022-04-09T13:20:18,309,0,38,300
2022-04-09T13:35:16,309,0,38,300
2022-04-09T13:52:27,309,0,38,300
2022-04-09T14:09:38,309,0,38,300
2022-04-09T14:26:48,309,0,38,300
2022-04-09T14:43:59,309,0,38,300
2022-04-09T15:01:09,309,0,38,300
2022-04-09T15:18:21,309,0,38,300
2022-04-09T15:35:31,309,0,38,300
2022-04-09T15:52:45,309,0,38,300
2022-04-09T16:09:56,309,0,38,300
2022-04-09T16:27:07,309,0,38,300
2022-04-09T16:44:18,309,0,38,300
2022-04-09T17:01:29,309,0,38,300
2022-04-09T17:18:39,309,0,38,300
2022-04-09T17:35:50,309,0,38,300
2022-04-09T17:53:01,309,0,38,300
2022-04-09T18:10:11,309,0,38,300
2022-04-09T18:27:26,309,0,38,300
2022-04-09T18:44:37,309,0,38,300
2022-04-09T19:01:48,309,0,38,300
2022-04-09T19:18:59,309,0,38,300
2022-04-09T19:36:09,309,0,38,300
2022-04-09T19:53:20,309,0,38,300
2022-04-09T20:10:30,309,0,38,300
2022-04-09T20:27:48,309,0,38,300
2022-04-09T20:44:58,309,0,38,300
2022-04-09T21:02:09,309,0,38,300
2022-04-09T21:19:20,309,0,38,300
2022-04-09T21:36:31,309,0,38,300
2022-04-09T21:53:41,309,0,38,300
2022-04-09T22:10:52,309,0,38,300
2022-04-09T22:28:09,309,0,38,300
2022-04-09T22:45:20,309,0,38,300
2022-04-09T23:02:31,309,0,38,300
2022-04-09T23:19:42,309,0,38,300
2022-04-09T23:36:52,309,0,38,300
2022-04-09T23:54:03,309,0,38,300
2022-04-10T00:11:14,309,0,38,300
2022-04-10T00:28:25,309,0,38,300
2022-04-10T00:45:36,309,0,38,300
2022-04-10T01:02:46,309,0,38,300
2022-04-10T01:20:05,309,0,38,300
2022-04-10T01:37:16,309,0,38,300
2022-04-10T01:54:26,309,0,38,300
2022-04-10T02:11:37,309,0,38,300
2022-04-10T02:28:48,309,0,38,300
2022-04-10T02:46:00,309,0,38,300
2022-04-10T03:03:11,309,0,38,300
2022-04-10T03:20:23,309,0,38,300
2022-04-10T03:37:41,309,0,38,300
2022-04-10T03:54:53,309,0,38,300
2022-04-10T04:20:43,309,0,38,300
2022-04-10T04:38:10,309,0,38,300
2022-04-10T04:55:22,309,0,38,300
2022-04-10T05:12:34,309,0,38,300
2022-04-10T05:29:45,309,0,38,300
2022-04-10T05:46:56,309,0,38,300
2022-04-10T06:04:08,309,0,38,300
2022-04-10T06:21:28,309,0,38,300
2022-04-10T06:38:43,309,0,38,300
2022-04-10T06:55:54,309,0,38,300
2022-04-10T07:13:05,309,0,38,300
2022-04-10T07:30:16,309,0,38,300
2022-04-10T07:47:27,309,0,38,300
2022-04-10T08:04:38,309,0,38,300
2022-04-10T08:21:49,309,0,38,300
2022-04-10T08:39:00,309,0,38,300
2022-04-10T08:56:27,309,0,38,300
2022-04-10T09:13:38,309,0,38,300
2022-04-10T09:30:50,309,0,38,300
2022-04-10T09:48:02,309,0,38,300
2022-04-10T10:05:14,309,0,38,300
2022-04-10T10:22:25,309,0,38,300
2022-04-10T10:39:36,309,0,38,300
2022-04-10T10:56:47,309,0,38,300
2022-04-10T11:13:58,309,0,38,300
2022-04-10T11:31:17,309,0,38,300
2022-04-10T11:48:28,309,0,38,300
2022-04-10T12:05:39,309,0,38,300
2022-04-10T12:22:50,309,0,38,300
2022-04-10T12:40:01,309,0,38,300
2022-04-10T12:57:12,309,0,38,300
2022-04-10T13:14:23,309,0,38,300
2022-04-10T13:31:41,309,0,38,300
2022-04-10T13:48:52,309,0,38,300
2022-04-10T14:06:03,309,0,38,300
2022-04-10T14:23:14,309,0,38,300
2022-04-10T14:40:24,309,0,38,300
2022-04-10T14:57:52,309,0,38,300
2022-04-10T15:15:03,309,0,38,300
2022-04-10T15:32:13,309,0,38,300
2022-04-10T15:49:24,309,0,38,300
2022-04-10T16:06:35,309,0,38,300
2022-04-10T16:23:46,309,0,38,300
2022-04-10T16:41:06,309,0,38,300
2022-04-10T16:58:16,309,0,38,300
2022-04-10T17:15:27,309,0,38,300
2022-04-10T17:32:38,309,0,38,300
2022-04-10T17:49:49,309,0,38,300
2022-04-10T18:07:00,309,0,38,300
2022-04-10T18:24:15,309,0,38,300
2022-04-10T18:41:25,309,0,38,300
2022-04-10T18:58:36,309,0,38,300
2022-04-10T19:15:47,309,0,38,300
2022-04-10T19:32:57,309,0,38,300
2022-04-10T19:50:15,309,0,38,300
2022-04-10T20:07:26,309,0,38,300
2022-04-10T20:24:36,309,0,38,300
2022-04-10T20:41:47,309,0,38,300
2022-04-10T20:58:58,309,0,38,300
2022-04-10T21:16:13,309,0,38,300
2022-04-10T21:33:24,309,0,38,300
2022-04-10T21:50:34,309,0,38,300
2022-04-10T22:07:45,309,0,38,300
2022-04-10T22:24:56,309,0,38,300
2022-04-10T22:42:07,309,0,38,300
2022-04-10T22:59:31,309,0,38,300
2022-04-10T23:16:43,309,0,38,300
2022-04-10T23:33:54,309,0,38,300
2022-04-10T23:51:05,309,0,38,300
2022-04-11T00:08:16,309,0,38,300
2022-04-11T00:25:27,309,0,38,300
2022-04-11T00:42:44,309,0,38,300
2022-04-11T00:59:56,309,0,38,300
2022-04-11T01:17:07,309,0,38,300
2022-04-11T01:34:19,309,0,38,300
2022-04-11T01:51:30,309,0,38,300
2022-04-11T02:08:47,309,0,38,300
2022-04-11T02:26:16,309,0,38,300
2022-04-11T02:43:27,309,0,38,300
2022-04-11T03:00:38,309,0,38,300
2022-04-11T03:17:49,309,0,38,300
2022-04-11T03:34:59,309,0,38,300
2022-04-11T03:52:11,309,0,38,300
2022-04-11T04:09:22,309,0,38,300
2022-04-11T04:28:03,309,0,38,300
2022-04-11T04:45:33,309,0,38,300
2022-04-11T05:02:46,309,0,38,300
2022-04-11T05:19:58,309,0,38,300
2022-04-11T05:37:10,309,0,38,300
2022-04-11T05:54:21,309,0,38,300
2022-04-11T06:11:34,309,0,38,300
2022-04-11T06:28:45,309,0,38,300
2022-04-11T06:45:56,309,0,38,300
2022-04-11T07:03:07,309,0,38,300
2022-04-11T07:20:18,309,0,38,300
2022-04-11T07:37:35,309,0,38,300
2022-04-11T07:54:46,309,0,38,300
2022-04-11T08:11:57,309,0,38,300
2022-04-11T08:29:08,309,0,38,300
2022-04-11T08:46:19,309,0,38,300
2022-04-11T09:03:30,309,0,38,300
2022-04-11T09:20:42,309,0,38,300
2022-04-11T09:38:01,309,0,38,300
2022-04-11T09:55:12,309,0,38,300
2022-04-11T10:12:23,309,0,38,300
2022-04-11T10:29:34,309,0,38,300
2022-04-11T10:46:46,309,0,38,300
2022-04-11T11:04:04,309,0,38,300
2022-04-11T11:21:16,308,0,38,300
2022-04-11T11:38:27,308,0,38,300
2022-04-11T11:55:38,308,0,38,300
2022-04-11T12:12:57,308,0,38,300
2022-04-11T12:30:08,308,0,38,300
2022-04-11T12:47:19,308,0,38,300
2022-04-11T13:04:30,308,0,38,300
2022-04-11T13:21:50,308,0,38,300
2022-04-11T13:39:01,308,0,38,300
2022-04-11T13:56:13,308,0,38,300
2022-04-11T14:13:25,309,0,38,300
2022-04-11T14:30:36,309,0,38,300
2022-04-11T14:47:58,309,0,38,300
2022-04-11T15:05:09,309,0,38,300
2022-04-11T15:22:20,309,0,38,300
2022-04-11T15:39:31,309,0,38,300
2022-04-11T15:56:48,309,0,38,300
2022-04-11T16:13:59,309,0,38,300
2022-04-11T16:31:10,309,0,38,300
2022-04-11T16:48:27,309,0,38,300
2022-04-11T17:05:38,309,0,38,300
2022-04-11T17:22:49,309,0,38,300
