time,enrolled,available,waitlisted,total
2022-04-09T12:46:25,142,38,0,180
2022-04-09T13:03:36,142,38,0,180
2022-04-09T13:20:54,142,38,0,180
2022-04-09T13:35:52,142,38,0,180
2022-04-09T13:53:03,142,38,0,180
2022-04-09T14:10:14,142,38,0,180
2022-04-09T14:27:24,142,38,0,180
2022-04-09T14:44:35,142,38,0,180
2022-04-09T15:01:45,142,38,0,180
2022-04-09T15:18:57,142,38,0,180
2022-04-09T15:36:07,142,38,0,180
2022-04-09T15:53:22,142,38,0,180
2022-04-09T16:10:32,142,38,0,180
2022-04-09T16:27:43,142,38,0,180
2022-04-09T16:44:54,142,38,0,180
2022-04-09T17:02:05,142,38,0,180
2022-04-09T17:19:15,142,38,0,180
2022-04-09T17:36:26,142,38,0,180
2022-04-09T17:53:37,142,38,0,180
2022-04-09T18:10:47,142,38,0,180
2022-04-09T18:28:02,142,38,0,180
2022-04-09T18:45:13,142,38,0,180
2022-04-09T19:02:24,142,38,0,180
2022-04-09T19:19:35,142,38,0,180
2022-04-09T19:36:45,142,38,0,180
2022-04-09T19:53:56,142,38,0,180
2022-04-09T20:11:07,142,38,0,180
2022-04-09T20:28:24,142,38,0,180
2022-04-09T20:45:34,142,38,0,180
2022-04-09T21:02:45,142,38,0,180
2022-04-09T21:19:56,142,38,0,180
2022-04-09T21:37:07,142,38,0,180
2022-04-09T21:54:18,142,38,0,180
2022-04-09T22:11:28,142,38,0,180
2022-04-09T22:28:46,142,38,0,180
2022-04-09T22:45:56,142,38,0,180
2022-04-09T23:03:07,142,38,0,180
2022-04-09T23:20:18,142,38,0,180
2022-04-09T23:37:28,142,38,0,180
2022-04-09T23:54:39,142,38,0,180
2022-04-10T00:11:50,142,38,0,180
2022-04-10T00:29:01,142,38,0,180
2022-04-10T00:46:12,142,38,0,180
2022-04-10T01:03:22,142,38,0,180
2022-04-10T01:20:41,142,38,0,180
2022-04-10T01:37:52,142,38,0,180
2022-04-10T01:55:02,142,38,0,180
2022-04-10T02:12:13,142,38,0,180
2022-04-10T02:29:24,142,38,0,180
2022-04-10T02:46:36,142,38,0,180
2022-04-10T03:03:47,142,38,0,180
2022-04-10T03:20:59,142,38,0,180
2022-04-10T03:38:18,142,38,0,180
2022-04-10T03:55:29,142,38,0,180
2022-04-10T04:21:20,142,38,0,180
2022-04-10T04:38:46,142,38,0,180
2022-04-10T04:55:58,142,38,0,180
2022-04-10T05:13:10,142,38,0,180
2022-04-10T05:30:21,142,38,0,180
2022-04-10T05:47:32,142,38,0,180
2022-04-10T06:04:44,142,38,0,180
2022-04-10T06:22:05,142,38,0,180
2022-04-10T06:39:19,142,38,0,180
2022-04-10T06:56:31,142,38,0,180
2022-04-10T07:13:42,142,38,0,180
2022-04-10T07:30:52,142,38,0,180
2022-04-10T07:48:03,142,38,0,180
2022-04-10T08:05:14,142,38,0,180
2022-04-10T08:22:25,142,38,0,180
2022-04-10T08:39:36,142,38,0,180
2022-04-10T08:57:03,142,38,0,180
2022-04-10T09:14:15,142,38,0,180
2022-04-10T09:31:27,142,38,0,180
2022-04-10T09:48:38,142,38,0,180
2022-04-10T10:05:50,142,38,0,180
2022-04-10T10:23:01,142,38,0,180
2022-04-10T10:40:13,142,38,0,180
2022-04-10T10:57:23,142,38,0,180
2022-04-10T11:14:34,142,38,0,180
2022-04-10T11:31:54,142,38,0,180
2022-04-10T11:49:05,142,38,0,180
2022-04-10T12:06:15,142,38,0,180
2022-04-10T12:23:26,142,38,0,180
2022-04-10T12:40:37,142,38,0,180
2022-04-10T12:57:48,142,38,0,180
2022-04-10T13:14:59,142,38,0,180
2022-04-10T13:32:17,142,38,0,180
2022-04-10T13:49:28,142,38,0,180
2022-04-10T14:06:39,142,38,0,180
2022-04-10T14:23:50,142,38,0,180
2022-04-10T14:41:00,142,38,0,180
2022-04-10T14:58:28,142,38,0,180
2022-04-10T15:15:39,142,38,0,180
2022-04-10T15:32:49,142,38,0,180
2022-04-10T15:50:01,142,38,0,180
