time,enrolled,available,waitlisted,total
2022-04-09T12:52:26,49,0,3,49
2022-04-09T13:09:45,48,1,3,49
2022-04-09T13:26:56,48,1,3,49
2022-04-09T13:41:54,48,1,3,49
2022-04-09T13:59:05,48,1,3,49
2022-04-09T14:16:15,48,1,3,49
2022-04-09T14:33:26,48,1,3,49
2022-04-09T14:50:36,48,1,3,49
2022-04-09T15:07:48,48,1,3,49
2022-04-09T15:24:58,46,3,3,49
2022-04-09T15:42:13,46,3,3,49
2022-04-09T15:59:23,46,3,3,49
2022-04-09T16:16:34,46,3,3,49
2022-04-09T16:33:45,46,3,3,49
2022-04-09T16:50:56,46,3,3,49
2022-04-09T17:08:06,46,3,3,49
2022-04-09T17:25:17,46,3,3,49
2022-04-09T17:42:28,46,3,3,49
2022-04-09T17:59:38,46,3,3,49
2022-04-09T18:16:53,46,3,3,49
2022-04-09T18:34:04,46,3,3,49
2022-04-09T18:51:15,46,3,3,49
2022-04-09T19:08:26,46,3,3,49
2022-04-09T19:25:36,46,3,3,49
2022-04-09T19:42:47,46,3,3,49
2022-04-09T19:59:58,46,3,3,49
2022-04-09T20:17:08,46,3,3,49
2022-04-09T20:34:25,46,3,3,49
2022-04-09T20:51:36,46,3,3,49
2022-04-09T21:08:47,46,3,3,49
2022-04-09T21:25:58,46,3,3,49
2022-04-09T21:43:09,46,3,3,49
2022-04-09T22:00:19,46,3,3,49
2022-04-09T22:17:30,46,3,3,49
2022-04-09T22:34:47,46,3,3,49
2022-04-09T22:51:58,46,3,3,49
2022-04-09T23:09:09,46,3,3,49
2022-04-09T23:26:20,46,3,3,49
2022-04-09T23:43:30,46,3,3,49
2022-04-10T00:00:41,46,3,3,49
2022-04-10T00:17:52,46,3,3,49
2022-04-10T00:35:03,46,3,3,49
2022-04-10T00:52:13,46,3,3,49
2022-04-10T01:09:24,46,3,3,49
2022-04-10T01:26:43,46,3,3,49
2022-04-10T01:43:53,46,3,3,49
2022-04-10T02:01:04,46,3,3,49
2022-04-10T02:18:15,46,3,3,49
2022-04-10T02:35:26,46,3,3,49
2022-04-10T02:52:38,46,3,3,49
2022-04-10T03:09:49,46,3,3,49
2022-04-10T03:27:08,46,3,3,49
2022-04-10T03:44:20,46,3,3,49
2022-04-10T04:02:53,46,3,3,49
2022-04-10T04:27:37,46,3,3,49
2022-04-10T04:44:48,46,3,3,49
2022-04-10T05:02:00,46,3,3,49
2022-04-10T05:19:12,46,3,3,49
2022-04-10T05:36:23,46,3,3,49
2022-04-10T05:53:34,46,3,3,49
2022-04-10T06:10:46,46,3,3,49
2022-04-10T06:28:06,46,3,3,49
2022-04-10T06:45:21,46,3,3,49
2022-04-10T07:02:32,46,3,3,49
2022-04-10T07:19:43,46,3,3,49
2022-04-10T07:36:54,46,3,3,49
2022-04-10T07:54:05,46,3,3,49
2022-04-10T08:11:16,46,3,3,49
2022-04-10T08:28:27,46,3,3,49
2022-04-10T08:45:53,46,3,3,49
2022-04-10T09:03:05,46,3,3,49
