time,enrolled,available,waitlisted,total
2022-04-09T12:58:52,46,11,0,57
2022-04-09T13:16:10,46,11,0,57
2022-04-09T13:33:22,46,11,0,57
2022-04-09T13:48:20,46,11,0,57
2022-04-09T14:05:30,46,11,0,57
2022-04-09T14:22:41,46,11,0,57
2022-04-09T14:39:52,46,11,0,57
2022-04-09T14:57:02,46,11,0,57
2022-04-09T15:14:13,46,11,0,57
2022-04-09T15:31:24,46,11,0,57
2022-04-09T15:48:38,46,11,0,57
2022-04-09T16:05:49,46,11,0,57
2022-04-09T16:23:00,46,11,0,57
2022-04-09T16:40:11,45,12,0,57
2022-04-09T16:57:21,45,12,0,57
2022-04-09T17:14:32,45,12,0,57
2022-04-09T17:31:43,45,12,0,57
2022-04-09T17:48:53,45,12,0,57
2022-04-09T18:06:04,45,12,0,57
2022-04-09T18:23:19,45,12,0,57
2022-04-09T18:40:30,45,12,0,57
2022-04-09T18:57:41,45,12,0,57
2022-04-09T19:14:51,45,12,0,57
2022-04-09T19:32:02,45,12,0,57
2022-04-09T19:49:13,45,12,0,57
2022-04-09T20:06:23,45,12,0,57
2022-04-09T20:23:41,45,12,0,57
2022-04-09T20:40:51,45,12,0,57
2022-04-09T20:58:02,45,12,0,57
2022-04-09T21:15:13,45,12,0,57
2022-04-09T21:32:24,45,12,0,57
2022-04-09T21:49:34,45,12,0,57
2022-04-09T22:06:45,45,12,0,57
2022-04-09T22:23:56,45,12,0,57
2022-04-09T22:41:13,45,12,0,57
2022-04-09T22:58:24,45,12,0,57
2022-04-09T23:15:35,45,12,0,57
2022-04-09T23:32:45,45,12,0,57
2022-04-09T23:49:56,45,12,0,57
2022-04-10T00:07:07,45,12,0,57
2022-04-10T00:24:18,45,12,0,57
2022-04-10T00:41:29,45,12,0,57
2022-04-10T00:58:39,45,12,0,57
2022-04-10T01:15:57,45,12,0,57
2022-04-10T01:33:08,45,12,0,57
2022-04-10T01:50:19,45,12,0,57
2022-04-10T02:07:30,45,12,0,57
2022-04-10T02:24:41,45,12,0,57
2022-04-10T02:41:52,45,12,0,57
2022-04-10T02:59:04,45,12,0,57
2022-04-10T03:16:15,45,12,0,57
2022-04-10T03:33:34,45,12,0,57
2022-04-10T03:50:46,45,12,0,57
2022-04-10T04:09:34,45,12,0,57
2022-04-10T04:34:03,45,12,0,57
2022-04-10T04:51:14,45,12,0,57
2022-04-10T05:08:26,45,12,0,57
2022-04-10T05:25:38,45,12,0,57
2022-04-10T05:42:49,45,12,0,57
2022-04-10T06:00:00,45,12,0,57
2022-04-10T06:17:21,45,12,0,57
2022-04-10T06:34:36,45,12,0,57
2022-04-10T06:51:47,45,12,0,57
2022-04-10T07:08:58,45,12,0,57
2022-04-10T07:26:09,45,12,0,57
2022-04-10T07:43:20,45,12,0,57
2022-04-10T08:00:31,45,12,0,57
2022-04-10T08:17:42,45,12,0,57
2022-04-10T08:34:53,45,12,0,57
2022-04-10T08:52:19,45,12,0,57
2022-04-10T09:09:31,45,12,0,57
2022-04-10T09:26:43,45,12,0,57
2022-04-10T09:43:55,45,12,0,57
2022-04-10T10:01:06,45,12,0,57
2022-04-10T10:18:18,45,12,0,57
2022-04-10T10:35:29,45,12,0,57
2022-04-10T10:52:40,45,12,0,57
2022-04-10T11:09:51,45,12,0,57
2022-04-10T11:27:10,45,12,0,57
2022-04-10T11:44:21,45,12,0,57
2022-04-10T12:01:32,45,12,0,57
2022-04-10T12:18:43,45,12,0,57
2022-04-10T12:35:54,45,12,0,57
2022-04-10T12:53:05,45,12,0,57
2022-04-10T13:10:16,45,12,0,57
2022-04-10T13:27:34,45,12,0,57
2022-04-10T13:44:45,45,12,0,57
2022-04-10T14:01:56,45,12,0,57
2022-04-10T14:19:06,45,12,0,57
2022-04-10T14:36:17,45,12,0,57
2022-04-10T14:53:45,45,12,0,57
2022-04-10T15:10:55,45,12,0,57
2022-04-10T15:28:06,45,12,0,57
2022-04-10T15:45:17,45,12,0,57
2022-04-10T16:02:28,45,12,0,57
2022-04-10T16:19:39,45,12,0,57
2022-04-10T16:36:58,45,12,0,57
2022-04-10T16:54:09,45,12,0,57
2022-04-10T17:11:20,45,12,0,57
2022-04-10T17:28:31,45,12,0,57
2022-04-10T17:45:42,45,12,0,57
2022-04-10T18:02:52,45,12,0,57
2022-04-10T18:20:03,45,12,0,57
2022-04-10T18:37:18,45,12,0,57
2022-04-10T18:54:29,45,12,0,57
2022-04-10T19:11:40,45,12,0,57
2022-04-10T19:28:50,45,12,0,57
2022-04-10T19:46:08,45,12,0,57
2022-04-10T20:03:18,45,12,0,57
2022-04-10T20:20:29,45,12,0,57
2022-04-10T20:37:40,45,12,0,57
2022-04-10T20:54:50,45,12,0,57
2022-04-10T21:12:01,45,12,0,57
2022-04-10T21:29:16,45,12,0,57
2022-04-10T21:46:27,45,12,0,57
2022-04-10T22:03:38,45,12,0,57
2022-04-10T22:20:49,45,12,0,57
2022-04-10T22:37:59,45,12,0,57
2022-04-10T22:55:24,45,12,0,57
2022-04-10T23:12:36,45,12,0,57
2022-04-10T23:29:47,45,12,0,57
2022-04-10T23:46:58,45,12,0,57
2022-04-11T00:04:09,45,12,0,57
2022-04-11T00:21:20,45,12,0,57
2022-04-11T00:38:36,45,12,0,57
2022-04-11T00:55:48,45,12,0,57
2022-04-11T01:12:59,45,12,0,57
2022-04-11T01:30:11,45,12,0,57
2022-04-11T01:47:22,45,12,0,57
2022-04-11T02:04:39,45,12,0,57
2022-04-11T02:22:09,45,12,0,57
2022-04-11T02:39:20,45,12,0,57
2022-04-11T02:56:31,45,12,0,57
2022-04-11T03:13:41,45,12,0,57
2022-04-11T03:30:52,45,12,0,57
2022-04-11T03:48:03,45,12,0,57
2022-04-11T04:05:14,45,12,0,57
2022-04-11T04:41:25,45,12,0,57
2022-04-11T04:58:38,45,12,0,57
2022-04-11T05:15:50,45,12,0,57
2022-04-11T05:33:02,45,12,0,57
2022-04-11T05:50:13,45,12,0,57
2022-04-11T06:07:25,45,12,0,57
2022-04-11T06:24:37,45,12,0,57
2022-04-11T06:41:49,45,12,0,57
2022-04-11T06:58:59,45,12,0,57
2022-04-11T07:16:10,45,12,0,57
2022-04-11T07:33:28,45,12,0,57
2022-04-11T07:50:39,45,12,0,57
2022-04-11T08:07:49,45,12,0,57
2022-04-11T08:25:01,45,12,0,57
2022-04-11T08:42:12,45,12,0,57
2022-04-11T08:59:23,45,12,0,57
2022-04-11T09:16:34,45,12,0,57
2022-04-11T09:33:53,45,12,0,57
2022-04-11T09:51:05,45,12,0,57
2022-04-11T10:08:16,45,12,0,57
2022-04-11T10:25:27,45,12,0,57
2022-04-11T10:42:39,45,12,0,57
2022-04-11T10:59:57,45,12,0,57
2022-04-11T11:17:09,45,12,0,57
2022-04-11T11:34:20,45,12,0,57
2022-04-11T11:51:31,45,12,0,57
2022-04-11T12:08:50,45,12,0,57
2022-04-11T12:26:01,45,12,0,57
2022-04-11T12:43:12,45,12,0,57
2022-04-11T13:00:23,45,12,0,57
2022-04-11T13:17:43,45,12,0,57
2022-04-11T13:34:54,45,12,0,57
2022-04-11T13:52:05,45,12,0,57
2022-04-11T14:09:18,45,12,0,57
2022-04-11T14:26:29,45,12,0,57
2022-04-11T14:43:51,45,12,0,57
2022-04-11T15:01:02,45,12,0,57
2022-04-11T15:18:13,45,12,0,57
2022-04-11T15:35:24,45,12,0,57
2022-04-11T15:52:41,45,12,0,57
2022-04-11T16:09:52,45,12,0,57
2022-04-11T16:27:03,45,12,0,57
2022-04-11T16:44:20,45,12,0,57
2022-04-11T17:01:31,45,12,0,57
2022-04-11T17:18:42,45,12,0,57
2022-04-11T17:35:53,45,12,0,57
2022-04-11T17:53:04,45,12,0,57
2022-04-11T18:10:20,45,12,0,57
2022-04-11T18:27:31,45,12,0,57
2022-04-11T18:44:41,45,12,0,57
2022-04-11T19:01:53,45,12,0,57
2022-04-11T19:19:04,45,12,0,57
2022-04-11T19:36:20,45,12,0,57
2022-04-11T19:53:30,45,12,0,57
2022-04-11T20:10:41,45,12,0,57
2022-04-11T20:27:53,45,12,0,57
2022-04-11T20:45:12,45,12,0,57
2022-04-11T21:02:29,45,12,0,57
2022-04-11T21:19:40,45,12,0,57
2022-04-11T21:37:02,45,12,0,57
2022-04-11T21:54:13,45,12,0,57
2022-04-11T22:11:31,45,12,0,57
2022-04-11T22:28:42,45,12,0,57
2022-04-11T22:45:52,45,12,0,57
2022-04-11T23:03:09,45,12,0,57
2022-04-11T23:20:19,45,12,0,57
2022-04-11T23:37:30,45,12,0,57
2022-04-11T23:54:49,45,12,0,57
2022-04-12T00:12:00,45,12,0,57
2022-04-12T00:29:12,45,12,0,57
2022-04-12T00:46:24,45,12,0,57
2022-04-12T01:03:44,45,12,0,57
2022-04-12T01:20:55,45,12,0,57
2022-04-12T01:38:06,45,12,0,57
2022-04-12T01:55:17,45,12,0,57
2022-04-12T02:12:28,45,12,0,57
2022-04-12T02:29:39,45,12,0,57
2022-04-12T02:46:58,45,12,0,57
2022-04-12T03:04:10,45,12,0,57
2022-04-12T03:21:21,45,12,0,57
2022-04-12T03:38:33,45,12,0,57
2022-04-12T03:55:44,45,12,0,57
2022-04-12T04:13:04,45,12,0,57
2022-04-12T04:47:39,45,12,0,57
2022-04-12T05:04:50,45,12,0,57
