time,enrolled,available,waitlisted,total
2022-04-09T12:58:28,668,84,1,752
2022-04-09T13:15:46,668,84,1,752
2022-04-09T13:32:57,668,84,1,752
2022-04-09T13:47:56,668,84,1,752
2022-04-09T14:05:06,668,84,1,752
2022-04-09T14:22:17,668,84,1,752
2022-04-09T14:39:27,668,84,1,752
2022-04-09T14:56:38,668,84,1,752
2022-04-09T15:13:49,668,84,1,752
2022-04-09T15:31:00,668,84,1,752
2022-04-09T15:48:14,668,84,1,752
2022-04-09T16:05:25,668,84,1,752
2022-04-09T16:22:36,668,84,1,752
2022-04-09T16:39:47,668,84,1,752
2022-04-09T16:56:57,668,84,1,752
2022-04-09T17:14:08,668,84,1,752
2022-04-09T17:31:19,668,84,1,752
2022-04-09T17:48:29,668,84,1,752
2022-04-09T18:05:40,668,84,1,752
2022-04-09T18:22:55,668,84,1,752
2022-04-09T18:40:06,668,84,1,752
2022-04-09T18:57:17,668,84,1,752
2022-04-09T19:14:27,668,84,1,752
2022-04-09T19:31:38,668,84,1,752
2022-04-09T19:48:48,668,84,1,752
2022-04-09T20:05:59,668,84,1,752
2022-04-09T20:23:16,668,84,1,752
2022-04-09T20:40:27,668,84,1,752
2022-04-09T20:57:38,668,84,1,752
2022-04-09T21:14:49,668,84,1,752
2022-04-09T21:31:59,668,84,1,752
2022-04-09T21:49:10,668,84,1,752
2022-04-09T22:06:21,668,84,1,752
2022-04-09T22:23:32,668,84,1,752
2022-04-09T22:40:49,668,84,1,752
2022-04-09T22:57:59,668,84,1,752
2022-04-09T23:15:10,668,84,1,752
2022-04-09T23:32:21,668,84,1,752
2022-04-09T23:49:32,668,84,1,752
2022-04-10T00:06:42,668,84,1,752
2022-04-10T00:23:53,668,84,1,752
2022-04-10T00:41:05,668,84,1,752
2022-04-10T00:58:15,668,84,1,752
2022-04-10T01:15:33,668,84,1,752
2022-04-10T01:32:44,668,84,1,752
2022-04-10T01:49:55,668,84,1,752
2022-04-10T02:07:06,668,84,1,752
2022-04-10T02:24:17,668,84,1,752
2022-04-10T02:41:28,668,84,1,752
2022-04-10T02:58:40,668,84,1,752
2022-04-10T03:15:51,668,84,1,752
2022-04-10T03:33:10,668,84,1,752
2022-04-10T03:50:22,668,84,1,752
2022-04-10T04:09:10,668,84,1,752
2022-04-10T04:33:39,668,84,1,752
2022-04-10T04:50:50,668,84,1,752
2022-04-10T05:08:02,667,85,1,752
2022-04-10T05:25:13,667,85,1,752
2022-04-10T05:42:25,667,85,1,752
2022-04-10T05:59:36,667,85,1,752
2022-04-10T06:16:57,667,85,1,752
2022-04-10T06:34:12,667,85,1,752
2022-04-10T06:51:23,667,85,1,752
2022-04-10T07:08:34,667,85,1,752
2022-04-10T07:25:45,667,85,1,752
2022-04-10T07:42:56,667,85,1,752
2022-04-10T08:00:06,667,85,1,752
2022-04-10T08:17:17,667,85,1,752
2022-04-10T08:34:29,667,85,1,752
2022-04-10T08:51:55,667,85,1,752
2022-04-10T09:09:07,667,85,1,752
2022-04-10T09:26:18,667,85,1,752
2022-04-10T09:43:31,667,85,1,752
2022-04-10T10:00:42,667,85,1,752
2022-04-10T10:17:54,667,85,1,752
2022-04-10T10:35:05,667,85,1,752
2022-04-10T10:52:16,667,85,1,752
2022-04-10T11:09:27,667,85,1,752
2022-04-10T11:26:46,667,85,1,752
2022-04-10T11:43:57,667,85,1,752
2022-04-10T12:01:08,667,85,1,752
2022-04-10T12:18:19,667,85,1,752
2022-04-10T12:35:30,667,85,1,752
2022-04-10T12:52:41,667,85,1,752
2022-04-10T13:09:52,667,85,1,752
2022-04-10T13:27:09,667,85,1,752
2022-04-10T13:44:21,667,85,1,752
2022-04-10T14:01:31,667,85,1,752
2022-04-10T14:18:42,667,85,1,752
2022-04-10T14:35:53,667,85,1,752
2022-04-10T14:53:20,667,85,1,752
2022-04-10T15:10:31,667,85,1,752
2022-04-10T15:27:42,667,85,1,752
2022-04-10T15:44:53,667,85,1,752
2022-04-10T16:02:04,667,85,1,752
2022-04-10T16:19:15,667,85,1,752
2022-04-10T16:36:34,667,85,1,752
2022-04-10T16:53:45,667,85,1,752
2022-04-10T17:10:56,667,85,1,752
2022-04-10T17:28:07,667,85,1,752
2022-04-10T17:45:17,667,85,1,752
2022-04-10T18:02:28,667,85,1,752
2022-04-10T18:19:39,667,85,1,752
2022-04-10T18:36:54,667,85,1,752
2022-04-10T18:54:05,667,85,1,752
2022-04-10T19:11:16,667,85,1,752
2022-04-10T19:28:26,667,85,1,752
2022-04-10T19:45:44,667,85,1,752
2022-04-10T20:02:54,667,85,1,752
2022-04-10T20:20:05,667,85,1,752
2022-04-10T20:37:16,667,85,1,752
2022-04-10T20:54:26,667,85,1,752
2022-04-10T21:11:37,667,85,1,752
2022-04-10T21:28:52,667,85,1,752
2022-04-10T21:46:03,667,85,1,752
2022-04-10T22:03:14,667,85,1,752
2022-04-10T22:20:24,667,85,1,752
2022-04-10T22:37:35,667,85,1,752
2022-04-10T22:55:00,667,85,1,752
2022-04-10T23:12:11,667,85,1,752
2022-04-10T23:29:23,667,85,1,752
2022-04-10T23:46:34,667,85,1,752
2022-04-11T00:03:45,667,85,1,752
2022-04-11T00:20:56,667,85,1,752
2022-04-11T00:38:12,667,85,1,752
2022-04-11T00:55:24,667,85,1,752
2022-04-11T01:12:35,667,85,1,752
2022-04-11T01:29:47,667,85,1,752
2022-04-11T01:46:58,667,85,1,752
2022-04-11T02:04:15,667,85,1,752
2022-04-11T02:21:44,667,85,1,752
2022-04-11T02:38:56,667,85,1,752
2022-04-11T02:56:07,667,85,1,752
2022-04-11T03:13:17,667,85,1,752
2022-04-11T03:30:28,667,85,1,752
2022-04-11T03:47:39,667,85,1,752
2022-04-11T04:04:50,667,85,1,752
2022-04-11T04:41:01,667,85,1,752
2022-04-11T04:58:14,667,85,1,752
2022-04-11T05:15:26,667,85,1,752
2022-04-11T05:32:38,667,85,1,752
2022-04-11T05:49:49,667,85,1,752
2022-04-11T06:07:01,667,85,1,752
2022-04-11T06:24:13,667,85,1,752
2022-04-11T06:41:24,667,85,1,752
2022-04-11T06:58:35,667,85,1,752
2022-04-11T07:15:46,667,85,1,752
2022-04-11T07:33:04,667,85,1,752
2022-04-11T07:50:14,667,85,1,752
2022-04-11T08:07:25,667,85,1,752
2022-04-11T08:24:37,667,85,1,752
2022-04-11T08:41:48,667,85,1,752
2022-04-11T08:58:59,667,85,1,752
2022-04-11T09:16:10,667,85,1,752
2022-04-11T09:33:29,667,85,1,752
2022-04-11T09:50:40,667,85,1,752
2022-04-11T10:07:52,667,85,1,752
2022-04-11T10:25:03,667,85,1,752
2022-04-11T10:42:15,667,85,1,752
2022-04-11T10:59:33,667,85,1,752
2022-04-11T11:16:45,667,85,1,752
2022-04-11T11:33:56,666,86,1,752
2022-04-11T11:51:07,666,86,1,752
2022-04-11T12:08:26,666,86,1,752
2022-04-11T12:25:37,666,86,1,752
2022-04-11T12:42:48,666,86,1,752
2022-04-11T12:59:59,666,86,1,752
2022-04-11T13:17:19,666,86,1,752
2022-04-11T13:34:30,666,86,1,752
2022-04-11T13:51:41,666,86,1,752
2022-04-11T14:08:54,666,86,1,752
2022-04-11T14:26:05,666,86,1,752
2022-04-11T14:43:27,666,86,1,752
2022-04-11T15:00:37,666,86,1,752
2022-04-11T15:17:49,666,86,1,752
2022-04-11T15:35:00,666,86,1,752
2022-04-11T15:52:16,666,86,1,752
2022-04-11T16:09:28,666,86,1,752
2022-04-11T16:26:38,666,86,1,752
2022-04-11T16:43:56,666,86,1,752
2022-04-11T17:01:07,666,86,1,752
2022-04-11T17:18:18,666,86,1,752
2022-04-11T17:35:29,666,86,1,752
2022-04-11T17:52:40,666,86,1,752
2022-04-11T18:09:56,666,86,1,752
2022-04-11T18:27:06,666,86,1,752
2022-04-11T18:44:17,666,86,1,752
2022-04-11T19:01:28,666,86,1,752
2022-04-11T19:18:40,666,86,1,752
2022-04-11T19:35:55,667,85,1,752
2022-04-11T19:53:06,667,85,1,752
2022-04-11T20:10:17,667,85,1,752
2022-04-11T20:27:28,667,85,1,752
2022-04-11T20:44:48,667,85,1,752
2022-04-11T21:02:05,667,85,1,752
2022-04-11T21:19:16,667,85,1,752
2022-04-11T21:36:38,667,85,1,752
2022-04-11T21:53:49,667,85,1,752
2022-04-11T22:11:07,667,85,1,752
2022-04-11T22:28:18,667,85,1,752
2022-04-11T22:45:28,667,85,1,752
2022-04-11T23:02:45,667,85,1,752
2022-04-11T23:19:55,667,85,1,752
2022-04-11T23:37:06,667,85,1,752
2022-04-11T23:54:25,667,85,1,752
2022-04-12T00:11:36,667,85,1,752
2022-04-12T00:28:48,666,86,1,752
2022-04-12T00:46:00,666,86,1,752
2022-04-12T01:03:20,666,86,1,752
2022-04-12T01:20:31,666,86,1,752
2022-04-12T01:37:42,666,86,1,752
2022-04-12T01:54:53,666,86,1,752
2022-04-12T02:12:04,666,86,1,752
2022-04-12T02:29:15,666,86,1,752
2022-04-12T02:46:34,666,86,1,752
2022-04-12T03:03:45,666,86,1,752
2022-04-12T03:20:57,666,86,1,752
2022-04-12T03:38:08,666,86,1,752
