time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1650182976336,COGS 1,A01,072894,Boyle; Mary E. T.,0,1,60,67
1650182976336,COGS 1,A02,072895,Boyle; Mary E. T.,0,1,60,64
1650182976336,COGS 1,A03,072896,Boyle; Mary E. T.,0,1,60,63
1650182976336,COGS 1,A04,072897,Boyle; Mary E. T.,0,1,60,62
1650182976336,COGS 1,A05,072898,Boyle; Mary E. T.,0,1,60,64
1650182976336,COGS 1,A06,072899,Boyle; Mary E. T.,0,1,60,64
1650182976336,COGS 1,A07,072900,Boyle; Mary E. T.,0,1,57,59
1650182982361,COGS 8,A01,072902,Leonardis; Eric Jeffrey,0,0,35,35
1650182988386,COGS 10,A01,072904,Klemmer; Scott R,3,1,60,57
1650182988386,COGS 10,A02,072905,Klemmer; Scott R,3,0,60,57
1650182988386,COGS 10,A03,072906,Klemmer; Scott R,2,1,60,58
1650182988386,COGS 10,A04,072907,Klemmer; Scott R,0,0,60,60
1650182988386,COGS 10,A05,072908,Klemmer; Scott R,1,0,60,59
1650182994408,COGS 11,A01,072910,Boroditsky; Lera,11,3,149,138
1650183000431,COGS 12,A00,072911,Boroditsky; Lera,0,0,50,50
1650183006458,COGS 14A,A01,072913,Davis; Joshua Daniel,0,1,75,76
1650183006458,COGS 14A,A02,072914,Davis; Joshua Daniel,2,2,70,68
1650183006458,COGS 14A,A03,072915,Davis; Joshua Daniel,0,1,70,71
1650183006458,COGS 14A,A04,072916,Davis; Joshua Daniel,0,2,70,72
1650183012485,COGS 14B,A01,072918,Barrera; Steven James,0,4,60,63
1650183012485,COGS 14B,A02,072919,Barrera; Steven James,0,2,60,61
1650183012485,COGS 14B,A03,072920,Barrera; Steven James,2,4,60,58
1650183018510,COGS 17,A01,072922,Johnson; Christine M.,0,3,60,60
1650183018510,COGS 17,A02,072923,Johnson; Christine M.,0,4,60,60
1650183018510,COGS 17,A03,072924,Johnson; Christine M.,0,0,60,62
1650183018510,COGS 17,A04,072925,Johnson; Christine M.,1,1,60,59
1650183018510,COGS 17,A05,072926,Johnson; Christine M.,0,4,60,60
1650183018510,COGS 17,A06,085929,Johnson; Christine M.,4,0,56,52
1650183024537,COGS 18,B01,083188,Green; Daniel Richard,0,4,0,16
1650183030564,COGS 87,A00,073397,Deak; Gedeon O.,2,1,20,18
1650183036587,COGS 99,001,084891,Johnson; Christine M.,9996,0,9999,3
1650183036587,COGS 99,002,091952,Fleischer; Jason G,9998,0,9999,1
1650183042624,COGS 100,A01,072942,Scott; Taylor Jackson,0,7,60,63
1650183042624,COGS 100,A02,072943,Scott; Taylor Jackson,0,7,60,60
1650183042624,COGS 100,A03,072944,Scott; Taylor Jackson,0,9,60,62
1650183042624,COGS 100,A04,072945,Scott; Taylor Jackson,0,7,60,62
1650183042624,COGS 100,A05,072946,Scott; Taylor Jackson,0,8,60,60
1650183048653,COGS 101A,A01,072948,Barrera; Steven James,0,7,60,69
1650183048653,COGS 101A,A02,072949,Barrera; Steven James,0,7,60,64
1650183048653,COGS 101A,A03,072950,Barrera; Steven James,0,3,60,67
1650183048653,COGS 101A,A04,072951,Barrera; Steven James,0,6,60,67
1650183054681,COGS 101C,A01,072953,Trott; Sean Thomas,0,1,60,69
1650183054681,COGS 101C,A02,072954,Trott; Sean Thomas,0,0,60,65
1650183054681,COGS 101C,A03,072955,Trott; Sean Thomas,0,2,60,67
1650183060707,COGS 102C,A01,072958,Scott; Taylor Jackson,5,0,60,55
1650183060707,COGS 102C,A02,072959,Scott; Taylor Jackson,6,0,60,54
1650183066732,COGS 107A,A01,072961,Alfonso; Stephanie Isabel,0,0,60,62
1650183066732,COGS 107A,A02,072962,Alfonso; Stephanie Isabel,0,1,60,60
1650183066732,COGS 107A,A03,072963,Alfonso; Stephanie Isabel,1,0,60,59
1650183066732,COGS 107A,A04,072964,Alfonso; Stephanie Isabel,1,1,60,59
1650183066732,COGS 107A,A05,072965,Alfonso; Stephanie Isabel,0,0,60,60
1650183072758,COGS 107B,A01,072967,Mooshagian; Eric Frederick,0,2,70,76
1650183072758,COGS 107B,A05,072971,Mooshagian; Eric Frederick,0,1,70,73
1650183078785,COGS 107C,A01,072973,Chiba; Andrea,1,0,60,59
1650183078785,COGS 107C,A02,072974,Chiba; Andrea,15,0,60,45
1650183078785,COGS 107C,A03,072975,Chiba; Andrea,24,0,60,36
1650183084810,COGS 108,A01,072977,Fleischer; Jason G,0,5,60,61
1650183084810,COGS 108,A02,072978,Fleischer; Jason G,0,4,60,63
1650183084810,COGS 108,A03,072979,Fleischer; Jason G,0,4,60,61
1650183084810,COGS 108,A04,072980,Fleischer; Jason G,0,4,60,62
1650183084810,COGS 108,A05,072981,Fleischer; Jason G,0,5,60,65
1650183084810,COGS 108,A06,072982,Fleischer; Jason G,0,4,60,62
1650183084810,COGS 108,A07,072983,Fleischer; Jason G,0,5,57,60
1650183090834,COGS 116,A01,072989,Greene; Deanna Jacquelyn,0,1,50,53
1650183096862,COGS 118A,A01,072991,Fleischer; Jason G,0,0,70,73
1650183096862,COGS 118A,A02,072992,Fleischer; Jason G,0,0,70,73
1650183096862,COGS 118A,A03,072993,Fleischer; Jason G,0,2,60,61
1650183096862,COGS 118A,A04,086568,Fleischer; Jason G,0,1,41,49
1650183102891,COGS 121,A01,072995,Drosos; Ian Zachariah,8,0,149,141
1650183108914,COGS 122,A01,072997,Dow; Steven P,2,1,60,58
1650183114954,COGS 123,A01,072999,Dow; Steven P,2,0,40,38
1650183114954,COGS 123,A02,073000,Dow; Steven P,0,0,40,41
1650183114954,COGS 123,A03,081916,Dow; Steven P,1,1,40,39
1650183114954,COGS 123,A04,081917,Dow; Steven P,0,1,40,40
1650183120979,COGS 142,A01,081914,Bastos; Amalia Pinkusfeld,1,0,50,49
1650183127013,COGS 153,A00,073001,Davis; Joshua Daniel,0,5,75,79
1650183133039,COGS 160,A00,073005,Deak; Gedeon O.,8,0,20,12
1650183139063,COGS 163,A01,073007,Boyle; Mary E. T.,6,0,68,62
1650183145087,COGS 164,A01,073009,Chiba; Andrea,0,5,101,105
1650183151114,COGS 170,A01,073011,Rangel; Lara M,0,5,70,80
1650183157139,COGS 178,A00,073014,Jernigan; Terry Lynne,0,2,75,77
1650183163163,COGS 184,A01,073018,Johnson; Christine M.,19,1,75,56
1650183169196,COGS 190C,A00,073019,Jernigan; Terry Lynne,9998,0,9999,1
1650183169196,COGS 190C,B00,073020,Chiba; Andrea,9998,0,9999,1
1650183169196,COGS 190C,C00,073021,Fleischer; Jason G,9999,0,9999,0
1650183169196,COGS 190C,D00,073022,Scott; Taylor Jackson,9999,0,9999,0
1650183169196,COGS 190C,E00,073023,Johnson; Christine M.,9998,0,9999,1
1650183169196,COGS 190C,F00,073024,Boyle; Mary E. T.,9997,0,9999,2
1650183169196,COGS 190C,G00,073025,Hoffman; Drew Ellen,9999,0,9999,0
1650183169196,COGS 190C,H00,073026,Mattar; Marcelo G,9998,0,9999,1
1650183169196,COGS 190C,I00,073027,Nitz; Douglas A.,9997,0,9999,2
1650183169196,COGS 190C,J00,073028,Rossano; Federico,9998,0,9999,1
1650183169196,COGS 190C,K00,073029,Ellis; Shannon Elizabeth,9998,0,9999,1
1650183169196,COGS 190C,L00,073030,De Sa; Virginia,9998,0,9999,1
1650183169196,COGS 190C,M00,073031,Bergen; Benjamin,9998,0,9999,1
1650183175221,COGS 190D,A00,073032,Kutas; Marta,9,0,20,11
1650183181243,COGS 194,A00,073033,Hill; Seth J,9999,0,9999,0
1650183187269,COGS 197,001,083552,Fleischer; Jason G,9998,0,9999,1
1650183187269,COGS 197,002,091775,Dow; Steven P,9998,0,9999,1
1650183187269,COGS 197,003,091987,Klemmer; Scott R,9990,0,9999,9
1650183193293,COGS 198,001,085175,Johnson; Christine M.,9998,0,9999,1
1650183193293,COGS 198,002,091845,Weibel; Nadir,9997,0,9999,2
1650183199327,CSE 6R,A01,077385,Moshiri; Alexander Niema,3,17,150,147
1650183199327,CSE 6R,B01,082832,Moshiri; Alexander Niema,4,0,49,45
1650183205358,CSE 8A,A50,077387,Soosai Raj; Adalbert Geral,0,0,45,45
1650183205358,CSE 8A,A51,077388,Soosai Raj; Adalbert Geral,3,2,45,42
1650183205358,CSE 8A,A52,077389,Soosai Raj; Adalbert Geral,2,1,45,43
1650183205358,CSE 8A,B50,077391,Soosai Raj; Adalbert Geral,1,0,45,44
1650183205358,CSE 8A,B51,077392,Soosai Raj; Adalbert Geral,1,1,45,44
1650183205358,CSE 8A,B52,077393,Soosai Raj; Adalbert Geral,4,1,45,41
1650183205358,CSE 8A,C50,077395,Elsherif; May Elhussein,1,0,42,41
1650183205358,CSE 8A,C51,077396,Elsherif; May Elhussein,0,1,41,41
1650183205358,CSE 8A,C52,077397,Elsherif; May Elhussein,0,0,41,41
1650183205358,CSE 8A,D50,077399,Elsherif; May Elhussein,0,0,41,41
1650183205358,CSE 8A,D51,077400,Elsherif; May Elhussein,0,0,40,40
1650183205358,CSE 8A,D52,077401,Elsherif; May Elhussein,1,0,40,39
1650183211386,CSE 8B,A01,079903,Ochoa; Benjamin Lawrence,32,0,196,164
1650183217411,CSE 11,A01,079904,Miranda; Gregory Joseph,0,11,146,166
1650183217411,CSE 11,B01,079905,Miranda; Gregory Joseph,0,13,146,171
1650183223442,CSE 12,A01,077408,Cao; Yingjun,2,0,98,96
1650183223442,CSE 12,A02,077409,Cao; Yingjun,3,0,98,95
1650183223442,CSE 12,B01,077411,Cao; Yingjun,1,0,98,97
1650183223442,CSE 12,B02,077412,Cao; Yingjun,0,0,98,98
1650183223442,CSE 12,C01,079906,Miranda; Gregory Joseph,6,2,196,190
1650183229470,CSE 15L,A01,077415,Soosai Raj; Adalbert Geral,1,0,50,49
1650183229470,CSE 15L,A02,077416,Soosai Raj; Adalbert Geral,0,1,50,50
1650183229470,CSE 15L,A03,077417,Soosai Raj; Adalbert Geral,0,1,50,50
1650183229470,CSE 15L,A04,077418,Soosai Raj; Adalbert Geral,3,1,50,47
1650183229470,CSE 15L,A05,077419,Soosai Raj; Adalbert Geral,0,0,50,50
1650183229470,CSE 15L,A06,077420,Soosai Raj; Adalbert Geral,1,0,50,49
1650183229470,CSE 15L,A07,077421,Soosai Raj; Adalbert Geral,2,0,50,48
1650183229470,CSE 15L,A08,077422,Soosai Raj; Adalbert Geral,0,0,45,45
1650183229470,CSE 15L,B01,077424,Gungor; Onat,2,0,34,32
1650183229470,CSE 15L,B02,077425,Gungor; Onat,0,0,33,33
1650183229470,CSE 15L,B03,077426,Gungor; Onat,0,0,33,33
1650183229470,CSE 15L,C01,084620,Gungor; Onat,1,0,46,45
1650183235500,CSE 20,A01,079907,Jones; Miles E,1,0,196,195
1650183235500,CSE 20,A02,082805,Jones; Miles E,37,0,196,159
1650183241525,CSE 21,A01,079908,Jones; Miles E,56,0,196,140
1650183241525,CSE 21,A02,082804,Jones; Miles E,42,0,199,157
1650183247550,CSE 30,A01,079909,Muller; P Keith,42,0,295,253
1650183247550,CSE 30,A02,081935,Muller; P Keith,86,0,295,209
1650183253575,CSE 87,A00,077431,Moshiri; Alexander Niema,5,0,20,15
1650183253575,CSE 87,B00,077432,Cottrell; Garrison W,3,1,20,17
1650183259600,CSE 95,A00,077433,Minnes Kemp; Mor Mia,29,0,75,46
1650183265631,CSE 100,A01,079911,Sahoo; Debashis,154,0,395,241
1650183265631,CSE 100,B01,079912,Cao; Yingjun,0,0,98,98
1650183265631,CSE 100,B02,079913,Cao; Yingjun,1,0,98,97
1650183271661,CSE 101,A01,079914,Dasgupta; Sanjoy,1,12,196,195
1650183271661,CSE 101,B01,079915,Impagliazzo; Russell,1,9,196,195
1650183277685,CSE 105,A01,079916,Minnes Kemp; Mor Mia,3,0,395,392
1650183283710,CSE 107,A01,079917,Thome; Emmanuel,13,1,146,133
1650183289740,CSE 109,A01,079918,Shang; Jingbo,10,25,70,60
