time,enrolled,available,waitlisted,total
2022-04-09T12:48:56,99,1,0,100
2022-04-09T13:06:14,99,1,0,100
2022-04-09T13:23:24,99,1,0,100
2022-04-09T13:38:23,99,1,0,100
2022-04-09T13:55:34,99,1,0,100
2022-04-09T14:12:44,99,1,0,100
2022-04-09T14:29:55,99,1,0,100
2022-04-09T14:47:06,99,1,0,100
2022-04-09T15:04:16,99,1,0,100
2022-04-09T15:21:27,99,1,0,100
2022-04-09T15:38:38,99,1,0,100
2022-04-09T15:55:52,99,1,0,100
2022-04-09T16:13:03,99,1,0,100
2022-04-09T16:30:14,99,1,0,100
2022-04-09T16:47:25,99,1,0,100
2022-04-09T17:04:35,99,1,0,100
2022-04-09T17:21:46,99,1,0,100
2022-04-09T17:38:57,99,1,0,100
2022-04-09T17:56:07,99,1,0,100
2022-04-09T18:13:18,99,1,0,100
2022-04-09T18:30:33,99,1,0,100
2022-04-09T18:47:44,99,1,0,100
2022-04-09T19:04:55,99,1,0,100
2022-04-09T19:22:05,99,1,0,100
2022-04-09T19:39:16,99,1,0,100
2022-04-09T19:56:27,99,1,0,100
2022-04-09T20:13:37,99,1,0,100
2022-04-09T20:30:55,99,1,0,100
2022-04-09T20:48:05,99,1,0,100
2022-04-09T21:05:16,99,1,0,100
2022-04-09T21:22:27,99,1,0,100
2022-04-09T21:39:38,99,1,0,100
2022-04-09T21:56:48,99,1,0,100
2022-04-09T22:13:59,99,1,0,100
2022-04-09T22:31:16,99,1,0,100
2022-04-09T22:48:27,99,1,0,100
2022-04-09T23:05:38,99,1,0,100
2022-04-09T23:22:49,99,1,0,100
2022-04-09T23:39:59,99,1,0,100
2022-04-09T23:57:10,99,1,0,100
2022-04-10T00:14:21,99,1,0,100
2022-04-10T00:31:32,99,1,0,100
2022-04-10T00:48:43,99,1,0,100
2022-04-10T01:05:53,99,1,0,100
2022-04-10T01:23:12,99,1,0,100
2022-04-10T01:40:22,99,1,0,100
2022-04-10T01:57:33,99,1,0,100
2022-04-10T02:14:44,99,1,0,100
2022-04-10T02:31:55,99,1,0,100
2022-04-10T02:49:07,99,1,0,100
2022-04-10T03:06:18,99,1,0,100
2022-04-10T03:23:37,99,1,0,100
2022-04-10T03:40:49,99,1,0,100
2022-04-10T03:58:00,99,1,0,100
2022-04-10T04:23:50,99,1,0,100
2022-04-10T04:41:17,99,1,0,100
2022-04-10T04:58:28,99,1,0,100
2022-04-10T05:15:41,99,1,0,100
2022-04-10T05:32:52,99,1,0,100
2022-04-10T05:50:03,99,1,0,100
2022-04-10T06:07:14,99,1,0,100
2022-04-10T06:24:35,99,1,0,100
2022-04-10T06:41:50,99,1,0,100
2022-04-10T06:59:01,99,1,0,100
2022-04-10T07:16:12,99,1,0,100
2022-04-10T07:33:23,99,1,0,100
2022-04-10T07:50:34,99,1,0,100
2022-04-10T08:07:45,99,1,0,100
2022-04-10T08:24:56,99,1,0,100
2022-04-10T08:42:07,99,1,0,100
2022-04-10T08:59:34,99,1,0,100
2022-04-10T09:16:45,99,1,0,100
2022-04-10T09:33:57,99,1,0,100
2022-04-10T09:51:09,99,1,0,100
2022-04-10T10:08:21,99,1,0,100
2022-04-10T10:25:32,99,1,0,100
2022-04-10T10:42:43,99,1,0,100
2022-04-10T10:59:54,99,1,0,100
2022-04-10T11:17:14,99,1,0,100
2022-04-10T11:34:24,99,1,0,100
2022-04-10T11:51:35,99,1,0,100
2022-04-10T12:08:46,99,1,0,100
2022-04-10T12:25:57,99,1,0,100
2022-04-10T12:43:08,99,1,0,100
2022-04-10T13:00:19,99,1,0,100
2022-04-10T13:17:36,99,1,0,100
2022-04-10T13:34:48,99,1,0,100
2022-04-10T13:51:59,99,1,0,100
2022-04-10T14:09:10,99,1,0,100
2022-04-10T14:26:20,99,1,0,100
2022-04-10T14:43:31,99,1,0,100
2022-04-10T15:00:59,99,1,0,100
2022-04-10T15:18:09,99,1,0,100
2022-04-10T15:35:20,99,1,0,100
2022-04-10T15:52:31,99,1,0,100
2022-04-10T16:09:42,99,1,0,100
2022-04-10T16:26:53,99,1,0,100
2022-04-10T16:44:12,99,1,0,100
2022-04-10T17:01:23,99,1,0,100
2022-04-10T17:18:34,99,1,0,100
2022-04-10T17:35:45,99,1,0,100
2022-04-10T17:52:56,99,1,0,100
2022-04-10T18:10:06,99,1,0,100
2022-04-10T18:27:21,99,1,0,100
2022-04-10T18:44:32,99,1,0,100
2022-04-10T19:01:43,99,1,0,100
2022-04-10T19:18:54,99,1,0,100
2022-04-10T19:36:04,99,1,0,100
2022-04-10T19:53:22,99,1,0,100
2022-04-10T20:10:32,99,1,0,100
2022-04-10T20:27:43,99,1,0,100
2022-04-10T20:44:54,99,1,0,100
2022-04-10T21:02:05,99,1,0,100
2022-04-10T21:19:20,99,1,0,100
2022-04-10T21:36:30,99,1,0,100
2022-04-10T21:53:41,99,1,0,100
2022-04-10T22:10:52,99,1,0,100
2022-04-10T22:28:03,99,1,0,100
2022-04-10T22:45:14,99,1,0,100
2022-04-10T23:02:39,99,1,0,100
2022-04-10T23:19:50,99,1,0,100
2022-04-10T23:37:01,99,1,0,100
2022-04-10T23:54:12,99,1,0,100
2022-04-11T00:11:23,99,1,0,100
2022-04-11T00:28:34,99,1,0,100
2022-04-11T00:45:51,99,1,0,100
2022-04-11T01:03:03,99,1,0,100
2022-04-11T01:20:14,99,1,0,100
2022-04-11T01:37:25,99,1,0,100
2022-04-11T01:54:37,99,1,0,100
2022-04-11T02:11:54,99,1,0,100
2022-04-11T02:29:23,99,1,0,100
2022-04-11T02:46:34,99,1,0,100
2022-04-11T03:03:45,99,1,0,100
2022-04-11T03:20:55,99,1,0,100
2022-04-11T03:38:06,99,1,0,100
2022-04-11T03:55:17,99,1,0,100
2022-04-11T04:12:29,99,1,0,100
2022-04-11T04:31:10,99,1,0,100
2022-04-11T04:48:40,99,1,0,100
2022-04-11T05:05:53,99,1,0,100
2022-04-11T05:23:05,99,1,0,100
2022-04-11T05:40:16,99,1,0,100
2022-04-11T05:57:28,99,1,0,100
2022-04-11T06:14:41,99,1,0,100
2022-04-11T06:31:52,99,1,0,100
2022-04-11T06:49:03,99,1,0,100
2022-04-11T07:06:13,99,1,0,100
2022-04-11T07:23:24,99,1,0,100
2022-04-11T07:40:42,99,1,0,100
2022-04-11T07:57:53,99,1,0,100
2022-04-11T08:15:04,99,1,0,100
2022-04-11T08:32:15,99,1,0,100
2022-04-11T08:49:26,99,1,0,100
2022-04-11T09:06:37,99,1,0,100
2022-04-11T09:23:56,99,1,0,100
2022-04-11T09:41:08,99,1,0,100
2022-04-11T09:58:19,99,1,0,100
2022-04-11T10:15:30,99,1,0,100
2022-04-11T10:32:41,99,1,0,100
2022-04-11T10:49:53,99,1,0,100
2022-04-11T11:07:11,99,1,0,100
2022-04-11T11:24:23,99,1,0,100
2022-04-11T11:41:34,99,1,0,100
2022-04-11T11:58:45,99,1,0,100
2022-04-11T12:16:04,99,1,0,100
2022-04-11T12:33:15,99,1,0,100
2022-04-11T12:50:26,99,1,0,100
2022-04-11T13:07:37,99,1,0,100
2022-04-11T13:24:57,99,1,0,100
2022-04-11T13:42:08,99,1,0,100
2022-04-11T13:59:20,99,1,0,100
2022-04-11T14:16:32,99,1,0,100
2022-04-11T14:33:43,99,1,0,100
2022-04-11T14:51:05,99,1,0,100
2022-04-11T15:08:16,99,1,0,100
2022-04-11T15:25:27,99,1,0,100
2022-04-11T15:42:44,99,1,0,100
2022-04-11T15:59:55,99,1,0,100
2022-04-11T16:17:06,99,1,0,100
2022-04-11T16:34:17,99,1,0,100
2022-04-11T16:51:34,99,1,0,100
2022-04-11T17:08:45,99,1,0,100
2022-04-11T17:25:56,99,1,0,100
2022-04-11T17:43:07,99,1,0,100
2022-04-11T18:00:18,99,1,0,100
2022-04-11T18:17:34,99,1,0,100
2022-04-11T18:34:45,99,1,0,100
2022-04-11T18:51:56,99,1,0,100
2022-04-11T19:09:07,99,1,0,100
2022-04-11T19:26:18,99,1,0,100
2022-04-11T19:43:34,99,1,0,100
2022-04-11T20:00:44,99,1,0,100
2022-04-11T20:17:56,99,1,0,100
2022-04-11T20:35:07,99,1,0,100
2022-04-11T20:52:26,99,1,0,100
2022-04-11T21:09:44,99,1,0,100
2022-04-11T21:27:05,99,1,0,100
2022-04-11T21:44:16,99,1,0,100
2022-04-11T22:01:27,99,1,0,100
2022-04-11T22:18:45,99,1,0,100
2022-04-11T22:35:56,99,1,0,100
2022-04-11T22:53:12,99,1,0,100
2022-04-11T23:10:23,99,1,0,100
2022-04-11T23:27:33,99,1,0,100
2022-04-11T23:44:44,99,1,0,100
2022-04-12T00:02:04,99,1,0,100
2022-04-12T00:19:15,99,1,0,100
2022-04-12T00:36:27,99,1,0,100
2022-04-12T00:53:47,99,1,0,100
2022-04-12T01:10:58,99,1,0,100
2022-04-12T01:28:09,99,1,0,100
2022-04-12T01:45:20,99,1,0,100
2022-04-12T02:02:31,99,1,0,100
2022-04-12T02:19:42,99,1,0,100
2022-04-12T02:36:53,99,1,0,100
2022-04-12T02:54:12,99,1,0,100
2022-04-12T03:11:24,99,1,0,100
2022-04-12T03:28:35,99,1,0,100
2022-04-12T03:45:47,99,1,0,100
2022-04-12T04:02:58,99,1,0,100
